ID_REF,GSM546233,GSM546234,GSM546235,GSM546236
10338117,7.39011,7.51562,7.34389,7.27653
10338118,2.09324,2.15342,2.16071,1.6395
10338119,3.29337,2.82782,2.70909,3.13542
10338120,7.8063,7.68603,8.02961,7.84259
10338121,1.99326,2.18358,2.93269,1.76206
10338122,2.15412,1.9002,1.80907,2.50952
10338123,6.80354,6.81286,6.48783,6.39057
10338124,2.90773,1.93017,3.14026,2.44851
10338125,2.02334,2.13249,2.47233,2.14139
10338126,1.52983,1.34424,1.59922,1.30459
10338127,2.89257,2.94765,2.90627,2.86451
10338128,5.47935,5.57085,5.07083,5.3189
10338129,7.39805,7.55207,7.74291,7.67157
10338130,1.71652,1.8228,1.81514,1.64958
10338131,2.30151,2.29313,2.21443,2.62222
10338132,1.70858,1.37711,1.605,1.56356
10338133,2.41028,2.87535,3.13228,3.19608
10338134,8.48549,8.33947,8.40113,8.90668
10338135,4.13775,3.75742,4.05359,4.36834
10338136,4.24965,5.32085,4.83634,4.80812
10338137,2.63174,3.75037,3.50019,3.80453
10338138,6.47662,6.53127,6.8105,6.41537
10338139,4.26504,3.26518,3.47491,3.89673
10338140,2.49235,2.42439,2.45979,2.73881
10338141,2.20007,2.02242,2.65717,2.19752
10338142,3.67288,3.65127,2.99893,3.81237
10338143,1.36019,1.18518,1.26121,1.18462
10338144,5.89791,4.90986,5.4578,5.08902
10338145,4.71024,4.22659,3.59788,3.67117
10338146,2.19683,1.78778,1.79248,1.89209
10338147,8.83311,8.83176,8.52191,8.57209
10338148,2.89986,2.84554,4.92681,4.26307
10338149,2.08006,2.29488,2.3322,2.2341
10338150,6.95865,6.75749,6.98605,6.69599
10338151,3.29156,3.77529,4.62174,4.50991
10338152,2.03565,2.7435,3.0043,2.48449
10338153,2.49446,3.43867,3.00846,2.37488
10338154,4.12974,3.48597,4.02709,3.47163
10338155,5.05806,5.73385,5.6927,5.17849
10338156,2.11367,2.15878,2.38987,2.5554
10338157,1.54155,1.58988,2.00951,1.81603
10338158,3.27273,2.31153,2.85057,2.91315
10338159,3.10701,3.22769,3.5629,3.41186
10338160,5.00844,4.77708,4.87733,4.34762
10338161,5.11804,5.57484,5.36132,5.51635
10338162,4.52947,5.01508,5.07555,4.61203
10338163,6.51096,6.39792,6.50818,5.80396
10338164,4.22966,3.85751,4.20017,4.48439
10338165,1.75565,1.888,2.90773,1.9754
10338166,7.26156,7.07972,7.30786,7.17432
10338167,1.48049,1.39575,1.42561,1.41033
10338168,4.42711,4.94309,6.17454,5.25909
10338169,2.34702,2.14046,2.33168,2.40783
10338170,2.97899,2.96066,2.48694,1.62544
10338171,1.61947,1.65789,1.69861,1.9216
10338172,3.22307,3.168,3.18756,3.05825
