ensembl_gene_id,hgnc_symbol,entrezgene_id
ENSG00000229776,C4B-AS1,102060414
ENSG00000269136,BRI3BPP1,641367
ENSG00000269845, CCNYL6,641367
ENSG00000281756, C2-AS1,102060414
