entrezgene
G1820
G1386
G466
G467
G571
G10538
G53335
G602
G8553
G9774
G55814
G84733
G672
G11335
G55290
G2972
G1051
G57332
G905
G1052
G1105
G10153
G1106
G55636
G1385
G1108
G10664
G1488
G1387
G140690
G1874
G1523
G1869
G1876
G1879
G1958
G1997
G2002
G2033
G2005
G2099
G2113
G2101
G2146
G2353
G8061
G3169
G2355
G3170
G2305
G2551
G93986
G2623
G2624
G2625
G2959
G2962
G2976
G3065
G3066
G3054
G23462
G3172
G3174
G55869
G9324
G10013
G3297
G10320
G3661
G3659
G3662
G3725
G3727
G3726
G8850
G2648
G5927
G23764
G10765
G9682
G23028
G7975
G4149
G4150
G8930
G4601
G57504
G4205
G4208
G4605
G4609
G4782
G79923
G4772
G4778
G9611
G7936
G4800
G4801
G7182
G7026
G2908
G4899
G5079
G3164
G23133
G5090
G5371
G5430
G5452
G11128
G5460
G10622
G5885
G639
G10891
G5929
G23186
G5970
G5978
G6256
G5993
G864
G6045
G25942
G8819
G9869
G51548
G147912
G6597
G6667
G9126
G6598
G6599
G6601
G6671
G6668
G6688
G6720
G6722
G6721
G6772
G6774
G6773
G23512
G6776
G6872
G55578
G79718
G6886
G6908
G6879
G6938
G7004
G6934
G6929
G7020
G7022
G7391
G10155
G7343
G55145
G56897
G7392
G7468
G7528
G7518
G10009
G51341
G9877
G6935
G7764
G7702
G7586
G57178
G10127
G10782
G171017
G26009
