sex,geneChange,genename,M28L.wt,P522R.wt,P2KOhet.wt
ALL,upreg,Prl.mRNA2,NA,1,1
ALL,upreg,Gabrp.mRNA2,NA,1,1
ALL,upreg,App.mRNA2,NA,1,1
ALL,upreg,Cacna2d3.mRNA3,NA,1,NA
ALL,upreg,Grm1.mRNA2,NA,1,1
ALL,upreg,Tgm1.mRNA2,NA,1,1
ALL,upreg,Gpr17.mRNA2,NA,1,1
ALL,upreg,Btrc.mRNA2,NA,1,1
ALL,upreg,Kcnd2.mRNA2,NA,1,1
ALL,upreg,Smad3.mRNA2,NA,1,1
ALL,upreg,Msr1.mRNA2,NA,1,1
ALL,upreg,Pdha1.mRNA3,NA,1,NA
ALL,upreg,Kcnv1.mRNA3,NA,1,NA
ALL,upreg,Shank2.mRNA2,NA,1,1
ALL,upreg,Spib.mRNA2,NA,1,1
ALL,upreg,Ywhag.mRNA2,NA,1,1
ALL,upreg,Gaa.mRNA2,NA,1,1
ALL,upreg,Tcl1.mRNA2,NA,1,1
ALL,upreg,Gsn.mRNA2,NA,1,1
ALL,upreg,Kcnj10.mRNA2,NA,1,1
ALL,upreg,Fbxl3.mRNA2,NA,1,1
ALL,upreg,Syn1.mRNA2,NA,1,1
ALL,upreg,Dbh.mRNA2,NA,1,1
ALL,upreg,Islr2.mRNA2,NA,1,1
ALL,upreg,Prkacb.mRNA2,NA,1,1
ALL,upreg,Aplp2.mRNA2,NA,1,1
ALL,upreg,Mthfr.mRNA2,NA,1,1
ALL,upreg,Nos1ap.mRNA2,NA,1,1
ALL,upreg,Chrnb2.mRNA2,NA,1,1
ALL,upreg,Arhgef10.mRNA2,NA,1,1
ALL,upreg,Slc18a3.mRNA2,NA,1,1
ALL,upreg,Ugt8a.mRNA3,NA,1,NA
ALL,upreg,Cd8b1.mRNA2,NA,1,1
ALL,upreg,Slc10a6.mRNA2,NA,1,1
ALL,upreg,Egfr.mRNA2,NA,1,1
ALL,upreg,Etv5.mRNA2,NA,1,1
ALL,upreg,Lamb2.mRNA2,NA,1,1
ALL,upreg,Pla2g4f.mRNA2,NA,1,1
ALL,upreg,Olig2.mRNA2,NA,1,1
ALL,upreg,Atp6v1a.mRNA2,NA,1,1
ALL,upreg,Tnfrsf21.mRNA2,NA,1,NA
ALL,upreg,Nsf.mRNA2,NA,1,NA
ALL,upreg,Tnr.mRNA4,NA,1,1
ALL,upreg,Nckap1.mRNA2,NA,1,1
ALL,upreg,Gzma.mRNA2,NA,1,1
ALL,upreg,Th.mRNA2,NA,1,1
ALL,upreg,Cntn1.mRNA2,NA,1,1
ALL,upreg,Hcn1.mRNA4,NA,1,NA
ALL,upreg,Bdnf.mRNA2,NA,1,NA
ALL,upreg,Epha2.mRNA2,NA,1,1
ALL,upreg,Plp1.mRNA2,NA,1,NA
ALL,upreg,Ntrk1.mRNA2,NA,1,1
ALL,upreg,Tsc1.mRNA2,NA,1,1
ALL,upreg,Cacna1e.mRNA3,NA,1,1
ALL,upreg,Cd163.mRNA2,NA,1,1
ALL,upreg,Atp1b1.mRNA3,NA,1,NA
ALL,upreg,Tmem88b.mRNA2,NA,1,1
ALL,upreg,Atrn.mRNA2,NA,1,NA
ALL,upreg,Itgax.mRNA4,NA,1,1
ALL,upreg,Ms4a1.mRNA1,NA,1,1
ALL,upreg,Unc80.mRNA2,NA,1,1
ALL,upreg,Stxbp1.mRNA2,NA,1,1
ALL,upreg,Snap25.mRNA3,NA,1,NA
ALL,upreg,Hk1.mRNA2,NA,1,1
ALL,upreg,Rhob.mRNA2,NA,1,1
ALL,upreg,Cntnap1.mRNA2,NA,1,1
ALL,upreg,Grin1.mRNA2,NA,1,1
ALL,upreg,Atp2b4.mRNA2,NA,1,1
ALL,upreg,Ncr1.mRNA2,NA,1,1
ALL,upreg,Nkg7.mRNA2,NA,1,1
ALL,upreg,Prkcd.mRNA2,NA,1,1
ALL,upreg,Trem1.mRNA2,NA,1,1
ALL,upreg,Tbk1.mRNA2,NA,1,1
ALL,upreg,Eomes.mRNA2,NA,1,1
ALL,upreg,Fig4.mRNA2,NA,1,NA
ALL,upreg,Slc1a3.mRNA2,NA,1,1
ALL,upreg,Marco.mRNA2,NA,1,1
ALL,upreg,Grin3b.mRNA2,NA,1,1
ALL,upreg,Cacna1a.mRNA2,NA,1,1
ALL,upreg,Gabrr3.mRNA2,NA,1,1
ALL,upreg,Camk2g.mRNA2,NA,1,1
ALL,upreg,Plcb1.mRNA3,NA,1,1
ALL,upreg,Amigo2.mRNA2,NA,1,1
ALL,upreg,Npc1.mRNA2,NA,1,1
ALL,upreg,Sorl1.mRNA2,NA,1,NA
ALL,upreg,Prf1.mRNA2,NA,1,1
ALL,upreg,Tanc2.mRNA2,NA,1,1
ALL,upreg,Htr5a.mRNA2,NA,1,1
ALL,upreg,Rad23b.mRNA2,NA,1,1
ALL,upreg,Kel.mRNA2,NA,1,1
ALL,upreg,Arhgap44.mRNA2,NA,1,1
ALL,upreg,Gria2.mRNA3,NA,1,1
ALL,upreg,B4galt6.mRNA2,NA,1,NA
ALL,upreg,Plaa.mRNA2,NA,1,1
ALL,upreg,Psen1.mRNA2,NA,1,1
ALL,upreg,Pmepa1.mRNA2,NA,1,1
ALL,upreg,Fcrlb.mRNA2,NA,1,1
ALL,upreg,Cxcl10.mRNA2,NA,1,1
ALL,upreg,Ldhc.mRNA2,NA,1,1
ALL,upreg,Pah.mRNA2,NA,1,1
ALL,upreg,Adrb2.mRNA2,NA,1,1
ALL,upreg,Grn.mRNA2,NA,1,1
ALL,upreg,Chat.mRNA2,NA,1,1
ALL,upreg,Drd4.mRNA2,NA,1,1
ALL,upreg,Ptgs2.mRNA2,NA,1,1
ALL,upreg,Fa2h.mRNA2,NA,1,1
ALL,upreg,Gba.mRNA2,NA,1,1
ALL,upreg,U2af2.mRNA2,NA,1,1
ALL,upreg,Notch3.mRNA2,NA,1,1
ALL,upreg,Cnr1.mRNA3,NA,1,NA
ALL,upreg,Itgal.mRNA2,NA,1,1
ALL,upreg,Pla2g2a.mRNA2,NA,1,1
ALL,upreg,Sgpl1.mRNA1,NA,1,1
ALL,upreg,Sla.mRNA2,NA,1,1
ALL,upreg,Inpp4a.mRNA2,NA,1,1
ALL,upreg,Ptk2b.mRNA2,NA,1,1
ALL,upreg,Ticam1.mRNA1,NA,1,1
ALL,upreg,Elmo1.mRNA2,NA,1,NA
ALL,upreg,Pnoc.mRNA1,NA,1,NA
ALL,upreg,Ubqln2.mRNA2,NA,1,1
ALL,upreg,Gas6.mRNA2,NA,1,NA
ALL,upreg,Nptn.mRNA3,NA,1,NA
ALL,upreg,Gnao1.mRNA2,NA,1,1
ALL,upreg,Nos2.mRNA2,NA,1,1
ALL,upreg,Notch4.mRNA2,NA,1,1
ALL,upreg,Ywhaz.mRNA2,NA,1,NA
ALL,upreg,Sqstm1.mRNA2,NA,1,1
ALL,upreg,Alas1.mRNA2,NA,1,NA
ALL,upreg,Ryr3.mRNA2,NA,1,1
ALL,upreg,Dll4.mRNA2,NA,1,1
ALL,upreg,Slc2a5.mRNA2,NA,1,1
ALL,upreg,C1s1.mRNA2,NA,1,1
ALL,upreg,Kitl.mRNA1,NA,1,1
ALL,upreg,Avp.mRNA2,NA,1,1
ALL,upreg,Adcyap1r1.mRNA2,NA,1,1
ALL,upreg,Blk.mRNA2,NA,1,1
ALL,upreg,Cd4.mRNA1,NA,1,NA
ALL,upreg,Ank.mRNA2,NA,1,NA
ALL,upreg,Crtc2.mRNA2,NA,1,1
ALL,upreg,Stat3.mRNA1,NA,1,1
ALL,upreg,Nmnat2.mRNA2,NA,1,1
ALL,upreg,Cux2.mRNA2,NA,1,1
ALL,upreg,Grin3a.mRNA2,NA,1,NA
ALL,upreg,Sh2d1a.mRNA1,NA,1,1
ALL,upreg,Cacna1s.mRNA2,NA,1,1
ALL,upreg,Cd40.mRNA2,NA,1,1
ALL,upreg,Klrk1.mRNA2,NA,1,1
ALL,upreg,Gpr4.mRNA2,NA,1,1
ALL,upreg,C6.mRNA2,NA,1,1
ALL,upreg,Trac.mRNA2,NA,1,1
ALL,upreg,Nos1.mRNA2,NA,1,1
ALL,upreg,Gpnmb.mRNA4,NA,1,NA
ALL,upreg,Tnfrsf11b.mRNA2,NA,1,1
ALL,upreg,Mbtps1.mRNA2,NA,1,NA
ALL,upreg,Lama2.mRNA1,NA,1,1
ALL,upreg,Dnajc5.mRNA2,NA,1,NA
ALL,upreg,Ins2.mRNA2,NA,1,1
ALL,upreg,Cacna1c.mRNA2,NA,1,1
ALL,upreg,Chrm2.mRNA2,NA,1,1
ALL,upreg,H2.Ea.ps.mRNA2,NA,1,1
ALL,upreg,Htt.mRNA2,NA,1,1
ALL,upreg,Man2b1.mRNA2,NA,1,1
ALL,upreg,Mx1.mRNA1,NA,1,1
ALL,upreg,Tnfrsf1a.mRNA2,NA,1,1
ALL,upreg,Il10.mRNA1,NA,1,NA
ALL,upreg,Cacna1f.mRNA1,NA,1,1
ALL,upreg,Cd8a.mRNA2,NA,1,1
ALL,upreg,Ulk1.mRNA1,NA,1,1
ALL,upreg,Tgfbr2.mRNA4,NA,1,1
ALL,upreg,Got1.mRNA2,NA,1,NA
ALL,upreg,Cyp2u1.mRNA2,NA,1,1
ALL,upreg,Scamp2.mRNA2,NA,1,1
ALL,upreg,Ryr1.mRNA1,NA,1,NA
ALL,upreg,Inhbb.mRNA2,NA,1,1
ALL,upreg,Mmp19.mRNA2,NA,1,1
ALL,upreg,Stat2.mRNA1,NA,1,1
ALL,upreg,Notch1.mRNA2,NA,1,1
ALL,upreg,AI464131.mRNA2,NA,1,1
ALL,upreg,Mafb.mRNA3,NA,1,1
ALL,upreg,Klrb1.mRNA2,NA,1,1
ALL,upreg,Pla2g6.mRNA1,NA,1,NA
ALL,upreg,Chd4.mRNA2,NA,1,1
ALL,upreg,Trim46.mRNA2,NA,1,NA
ALL,upreg,Adcy8.mRNA2,NA,1,NA
ALL,upreg,Cfi.mRNA2,NA,1,1
ALL,upreg,Arg2.mRNA3,NA,1,NA
ALL,upreg,Des.mRNA2,NA,1,1
ALL,upreg,Gdnf.mRNA2,NA,1,1
ALL,upreg,Tbx21.mRNA2,NA,1,1
ALL,upreg,Nap1l2.mRNA1,NA,1,NA
ALL,upreg,Gnai3.mRNA2,NA,1,1
ALL,upreg,Vcp.mRNA2,NA,1,NA
ALL,upreg,Csf1.mRNA3,NA,1,1
ALL,upreg,Kir3dl1.2.mRNA1,NA,1,1
ALL,upreg,Ggt1.mRNA1,NA,1,1
ALL,upreg,Serpina3n.mRNA2,NA,1,1
ALL,upreg,Dnah1.mRNA2,NA,1,1
ALL,upreg,Pkd2.mRNA2,NA,1,1
ALL,upreg,Cd47.mRNA1,NA,1,NA
ALL,upreg,Slc46a1.mRNA1,NA,1,NA
ALL,upreg,Sorcs3.mRNA3,NA,1,NA
ALL,upreg,Myorg.mRNA2,NA,1,NA
ALL,upreg,Abcc8.mRNA2,NA,1,NA
ALL,upreg,Pla2g4b.mRNA1,NA,1,NA
ALL,upreg,Sh3tc2.mRNA2,NA,1,NA
ALL,upreg,Mkrn1.mRNA2,NA,1,NA
ALL,upreg,Sybu.mRNA2,NA,1,NA
ALL,upreg,Igf1r.mRNA2,NA,1,1
ALL,upreg,Entpd4.mRNA2,NA,1,NA
ALL,upreg,Cers6.mRNA2,NA,1,1
ALL,upreg,Jak1.mRNA2,NA,1,1
ALL,upreg,Slc6a1.mRNA2,NA,1,1
ALL,upreg,Itpr3.mRNA2,NA,1,1
ALL,upreg,Gpm6a.mRNA2,NA,1,NA
ALL,upreg,Gzmb.mRNA1,NA,1,1
ALL,upreg,Ctse.mRNA1,NA,1,1
ALL,upreg,Mecp2.mRNA2,NA,1,1
ALL,upreg,Tpsab1.mRNA,NA,1,1
ALL,upreg,Wasf1.mRNA2,NA,1,NA
ALL,upreg,Syt1.mRNA3,NA,1,NA
ALL,upreg,Cpne2.mRNA2,NA,1,NA
ALL,upreg,Mmp9.mRNA2,NA,1,1
ALL,upreg,Wdr35.mRNA1,NA,1,NA
ALL,upreg,Ccl5.mRNA1,NA,1,NA
ALL,upreg,Tpi1.mRNA2,NA,1,NA
ALL,upreg,Ltc4s.mRNA2,NA,1,1
ALL,upreg,Cpa3.mRNA1,NA,1,1
ALL,upreg,Hacd3.mRNA2,NA,1,NA
ALL,upreg,Abcc3.mRNA1,NA,1,NA
ALL,upreg,Phyh.mRNA2,NA,1,NA
ALL,upreg,Pdgfrb.mRNA2,NA,1,1
ALL,upreg,Slpi.mRNA1,NA,1,NA
ALL,upreg,Lpo.mRNA1,NA,1,1
ALL,upreg,Ndufb5.mRNA1,NA,1,NA
ALL,upreg,Lif.mRNA1,NA,1,1
ALL,upreg,Camk2d.mRNA3,NA,1,NA
ALL,upreg,Cacna1b.mRNA3,NA,1,NA
ALL,upreg,Rela.mRNA2,NA,1,1
ALL,upreg,Cers1.mRNA2,NA,1,1
ALL,upreg,Pias1.mRNA2,NA,1,NA
ALL,upreg,Bcl2l1.mRNA2,NA,1,1
ALL,upreg,Cacnb2.mRNA2,NA,1,1
ALL,upreg,Rfx4.mRNA1,NA,1,1
ALL,upreg,Dnm1.mRNA1,NA,1,NA
ALL,upreg,Gphn.mRNA1,NA,1,NA
ALL,upreg,Dnm3.mRNA2,NA,1,NA
ALL,upreg,Slc24a3.mRNA1,NA,1,NA
ALL,upreg,Cldn15.mRNA2,NA,1,1
ALL,upreg,Ager.mRNA1,NA,1,1
ALL,upreg,Kcnk13.mRNA1,NA,1,NA
ALL,upreg,Agmo.mRNA2,NA,1,NA
ALL,upreg,Calm4.mRNA1,NA,1,1
ALL,upreg,Sec23a.mRNA2,NA,1,NA
ALL,upreg,Tbp.mRNA2,NA,1,1
ALL,upreg,Syn2.mRNA2,NA,1,NA
ALL,upreg,Ap3m2.mRNA2,NA,1,NA
ALL,upreg,Cd3e.mRNA2,NA,1,NA
ALL,upreg,Nlrp3.mRNA1,NA,1,1
ALL,upreg,Myc.mRNA2,NA,1,1
ALL,upreg,Il10ra.mRNA2,NA,1,1
ALL,upreg,Emp1.mRNA1,NA,1,NA
ALL,upreg,P2ry14.mRNA1,NA,1,NA
ALL,upreg,Atp13a2.mRNA2,NA,1,1
ALL,upreg,Pde1b.mRNA2,NA,1,NA
ALL,upreg,Gabra1.mRNA3,NA,1,NA
ALL,upreg,Slc4a10.mRNA1,NA,1,NA
ALL,upreg,Prkcg.mRNA1,NA,1,NA
ALL,upreg,Csf1r.mRNA1,NA,1,1
ALL,upreg,Pfn1.mRNA1,NA,1,1
ALL,upreg,Lta4h.mRNA1,NA,1,NA
ALL,upreg,Ube3c.mRNA1,NA,1,NA
ALL,upreg,Mutyh.mRNA1,NA,1,NA
ALL,upreg,Itga5.mRNA2,NA,1,NA
ALL,upreg,Slc6a4.mRNA2,NA,1,NA
ALL,upreg,Dnm2.mRNA2,NA,1,1
ALL,upreg,Hspa1a.b.mRNA2,NA,1,NA
ALL,upreg,Grin2d.mRNA1,NA,1,1
ALL,upreg,Eif2ak1.mRNA2,NA,1,1
ALL,upreg,Gngt1.mRNA1,NA,1,1
ALL,upreg,Igfbp5.mRNA2,NA,1,1
ALL,upreg,Atp6v1b2.mRNA1,NA,1,NA
ALL,upreg,Dock3.mRNA3,NA,1,1
ALL,upreg,Eno2.mRNA1,NA,1,NA
ALL,upreg,Dgke.mRNA2,NA,1,NA
ALL,upreg,Hdac6.mRNA2,NA,1,1
ALL,upreg,Gucy1b3.mRNA1,NA,1,NA
ALL,upreg,Trpm2.mRNA1,NA,1,1
ALL,upreg,Cdk5.mRNA1,NA,1,NA
ALL,upreg,Plcb4.mRNA2,NA,1,NA
ALL,upreg,Rab3a.mRNA2,NA,1,NA
ALL,upreg,Becn1.mRNA1,NA,1,NA
ALL,upreg,Fgf2.mRNA1,NA,1,1
ALL,upreg,Atp5g3.mRNA2,NA,1,NA
ALL,upreg,Ctsl.mRNA3,NA,1,NA
ALL,upreg,Cxcr4.mRNA2,NA,1,1
ALL,upreg,Plxnb3.mRNA2,NA,1,NA
ALL,upreg,Lgmn.mRNA3,NA,1,NA
ALL,upreg,Hc.mRNA1,NA,1,1
ALL,upreg,Slc6a3.mRNA1,NA,1,1
ALL,upreg,Ctsw.mRNA2,NA,1,NA
ALL,upreg,Nr4a2.mRNA2,NA,1,1
ALL,upreg,Adora3.mRNA1,NA,1,1
ALL,upreg,Fpr1.mRNA1,NA,1,1
ALL,upreg,Ppm1l.mRNA2,NA,1,NA
ALL,upreg,C4a.mRNA2,NA,1,1
ALL,upreg,Msn.mRNA2,NA,NA,1
ALL,upreg,Diaph1.mRNA2,NA,NA,1
ALL,upreg,Ccl2.mRNA1,NA,NA,1
ALL,upreg,Epo.mRNA2,NA,NA,1
ALL,upreg,Rapgef2.mRNA2,NA,NA,1
ALL,upreg,Ddc.mRNA2,NA,NA,1
ALL,upreg,Tjp1.mRNA1,NA,NA,1
ALL,upreg,Itpr2.mRNA2,NA,NA,1
ALL,upreg,Nf1.mRNA1,NA,NA,1
ALL,upreg,Plcb3.mRNA2,NA,NA,1
ALL,upreg,Atp7a.mRNA2,NA,NA,1
ALL,upreg,Npas4.mRNA2,NA,NA,1
ALL,upreg,Trim28.mRNA2,NA,NA,1
ALL,upreg,Il1b.mRNA1,NA,NA,1
ALL,upreg,Abl1.mRNA2,NA,NA,1
ALL,upreg,Sox10.mRNA1,NA,NA,1
ALL,upreg,Cln3.mRNA1,NA,NA,1
ALL,upreg,Cables1.mRNA2,NA,NA,1
ALL,upreg,Gprasp1.mRNA2,NA,NA,1
ALL,upreg,Ptpn11.mRNA2,NA,NA,1
ALL,upreg,Ache.mRNA2,NA,NA,1
ALL,upreg,Slc11a1.mRNA2,NA,NA,1
ALL,upreg,Acin1.mRNA2,NA,NA,1
ALL,upreg,Stat1.mRNA2,NA,NA,1
ALL,upreg,Grk3.mRNA1,NA,NA,1
ALL,upreg,Ccr5.mRNA1,NA,NA,1
ALL,upreg,Tnfrsf1b.mRNA1,NA,NA,1
ALL,upreg,Cd200r1.mRNA1,NA,NA,1
ALL,upreg,Kcnd1.mRNA1,NA,NA,1
ALL,upreg,Ep300.mRNA2,NA,NA,1
ALL,upreg,Tfec.mRNA1,NA,NA,1
ALL,upreg,Axl.mRNA2,NA,NA,1
ALL,upreg,Myrf.mRNA1,NA,NA,1
ALL,upreg,Aldh1l1.mRNA1,NA,NA,1
ALL,downreg,Ccl3.mRNA2,1,NA,1
ALL,downreg,Gpnmb.mRNA5,1,NA,NA
ALL,downreg,Lpl.mRNA2,1,NA,1
ALL,downreg,Cybb.mRNA2,1,NA,NA
ALL,downreg,Olfr110.mRNA2,1,1,1
ALL,downreg,Lilrb4a.mRNA2,1,NA,NA
ALL,downreg,Itgax.mRNA5,1,NA,NA
ALL,downreg,Ptprc.mRNA2,1,1,1
ALL,downreg,Cd68.mRNA2,1,NA,NA
ALL,downreg,Cd74.mRNA2,1,NA,NA
ALL,downreg,Cd14.mRNA2,1,NA,NA
ALL,downreg,Gusb.mRNA2,1,1,1
ALL,downreg,Lgals3.mRNA2,1,NA,1
ALL,downreg,Prkab1.mRNA2,1,NA,1
ALL,downreg,Spi1.mRNA2,1,NA,1
ALL,downreg,Tgfbr2.mRNA5,1,NA,NA
ALL,downreg,H2.D1.mRNA3,1,NA,NA
ALL,downreg,Cst7.mRNA2,1,NA,NA
ALL,downreg,H2.T23.mRNA2,1,1,1
ALL,downreg,Ctsd.mRNA2,1,NA,NA
ALL,downreg,C3ar1.mRNA2,1,NA,NA
ALL,downreg,Tlr2.mRNA2,1,NA,NA
ALL,downreg,Olfm3.mRNA2,1,NA,1
ALL,downreg,Csf1.mRNA4,1,NA,NA
ALL,downreg,Spp1.mRNA3,1,NA,NA
ALL,downreg,Cldn5.mRNA2,1,1,1
ALL,downreg,Plxdc2.mRNA2,1,NA,NA
ALL,downreg,Cd33.mRNA1,1,NA,NA
ALL,downreg,Hexb.mRNA2,1,NA,NA
ALL,downreg,Ctsl.mRNA4,1,NA,NA
ALL,downreg,Gria3.mRNA3,1,NA,NA
ALL,downreg,B2m.mRNA2,1,NA,NA
ALL,downreg,Csf3r.mRNA2,1,NA,NA
ALL,downreg,Aqp4.mRNA2,1,NA,NA
ALL,downreg,Trem2.mRNA2,1,1,NA
ALL,downreg,Cx3cr1.mRNA2,1,NA,NA
ALL,downreg,Lgmn.mRNA4,1,NA,NA
ALL,downreg,C1qa.mRNA2,1,1,1
ALL,downreg,Tap1.mRNA2,1,NA,NA
ALL,downreg,F11r.mRNA1,1,NA,NA
ALL,downreg,Lyz2.mRNA2,1,NA,NA
ALL,downreg,Ggta1.mRNA1,1,NA,NA
ALL,downreg,Serpina3n.mRNA3,1,NA,NA
ALL,downreg,Glra3.mRNA2,1,NA,NA
ALL,downreg,Clec7a.mRNA2,1,1,1
ALL,downreg,Hpgds.mRNA2,1,1,1
ALL,downreg,Cd34.mRNA2,1,NA,1
ALL,downreg,Psmb8.mRNA2,1,1,1
ALL,downreg,Axl.mRNA3,1,NA,NA
ALL,downreg,Cnr1.mRNA4,1,NA,NA
ALL,downreg,Tgfbr1.mRNA2,1,1,NA
ALL,downreg,Slc11a1.mRNA3,1,NA,NA
ALL,downreg,Fcgr4.mRNA1,1,1,1
ALL,downreg,Tyrobp.mRNA2,1,NA,1
ALL,downreg,Scp2.mRNA2,1,1,NA
ALL,downreg,Chrm3.mRNA1,1,NA,NA
ALL,downreg,Casp7.mRNA2,1,1,1
ALL,downreg,Ncam2.mRNA2,1,1,1
ALL,downreg,Serpini1.mRNA3,1,NA,1
ALL,downreg,Ctss.mRNA2,1,NA,NA
ALL,downreg,Plcb4.mRNA3,1,NA,NA
ALL,downreg,Cd244a.mRNA1,1,NA,NA
ALL,downreg,Srgn.mRNA1,1,NA,NA
ALL,downreg,Cd84.mRNA2,1,NA,NA
ALL,downreg,Gfap.mRNA2,1,NA,NA
ALL,downreg,Tnfrsf11a.mRNA1,1,NA,NA
ALL,downreg,Irf8.mRNA1,1,NA,NA
ALL,downreg,Cd9.mRNA2,1,1,1
ALL,downreg,Tgfb1.mRNA2,1,NA,NA
ALL,downreg,Grin2a.mRNA4,1,NA,NA
ALL,downreg,Hif1a.mRNA2,1,NA,NA
ALL,downreg,C4a.b.mRNA4,1,NA,NA
ALL,downreg,C1qc.mRNA2,1,1,1
ALL,downreg,Lox.mRNA,1,NA,NA
ALL,downreg,Gabrb3.mRNA2,1,NA,1
ALL,downreg,Csf1r.mRNA2,1,NA,NA
ALL,downreg,Stat1.mRNA3,1,NA,NA
ALL,downreg,Gpr84.mRNA1,1,NA,NA
ALL,downreg,Sp100.mRNA1,1,1,NA
ALL,downreg,Sh3gl2.mRNA2,1,NA,NA
ALL,downreg,Adam22.mRNA5,1,NA,NA
ALL,downreg,P2ry13.mRNA,1,NA,NA
ALL,downreg,Cacna2d3.mRNA4,1,NA,NA
ALL,downreg,Gabra1.mRNA4,1,NA,NA
ALL,downreg,Adamts1.mRNA2,1,NA,NA
ALL,downreg,Kctd12.mRNA2,1,NA,NA
ALL,downreg,Acsl4.mRNA2,1,NA,NA
ALL,downreg,Cyp4x1.mRNA1,1,NA,NA
ALL,downreg,Calb1.mRNA2,1,NA,NA
ALL,downreg,C1qb.mRNA2,1,1,1
ALL,downreg,Hcn1.mRNA5,1,NA,NA
ALL,downreg,Aif1.mRNA2,NA,1,1
ALL,downreg,Calm1.mRNA2,NA,1,1
ALL,downreg,Bcas1.mRNA2,NA,1,1
ALL,downreg,Prkca.mRNA2,NA,1,1
ALL,downreg,Pten.mRNA2,NA,1,1
ALL,downreg,Cdc27.mRNA2,NA,1,1
ALL,downreg,Sugt1.mRNA2,NA,1,1
ALL,downreg,Fth1.mRNA3,NA,1,1
ALL,downreg,Ccnh.mRNA2,NA,1,1
ALL,downreg,Inpp5f.mRNA2,NA,1,1
ALL,downreg,Pvalb.mRNA2,NA,1,1
ALL,downreg,Dnm1l.mRNA2,NA,1,1
ALL,downreg,Tfam.mRNA2,NA,1,1
ALL,downreg,Cul1.mRNA2,NA,1,1
ALL,downreg,Lrrc4.mRNA2,NA,1,1
ALL,downreg,Skp1a.mRNA2,NA,1,1
ALL,downreg,Atf6.mRNA2,NA,1,1
ALL,downreg,Plekhb1.mRNA2,NA,1,1
ALL,downreg,Eif2s1.mRNA2,NA,1,1
ALL,downreg,Bcas2.mRNA2,NA,1,1
ALL,downreg,Arpc5l.mRNA2,NA,1,1
ALL,downreg,Prkcb.mRNA2,NA,1,1
ALL,downreg,Kif3a.mRNA2,NA,1,1
ALL,downreg,Pik3r1.mRNA2,NA,1,1
ALL,downreg,Kras.mRNA2,NA,1,1
ALL,downreg,Hras.mRNA2,NA,1,1
ALL,downreg,Eloc.mRNA2,NA,1,1
ALL,downreg,Arpc1a.mRNA2,NA,1,1
ALL,downreg,Rock2.mRNA2,NA,1,1
ALL,downreg,Ube2k.mRNA2,NA,1,1
ALL,downreg,Ppp2r5e.mRNA2,NA,1,1
ALL,downreg,Ccnd1.mRNA2,NA,1,1
ALL,downreg,Psma5.mRNA2,NA,1,1
ALL,downreg,Dcx.mRNA2,NA,1,1
ALL,downreg,Txnl1.mRNA2,NA,1,1
ALL,downreg,Cycs.mRNA2,NA,1,1
ALL,downreg,Atp6v1h.mRNA2,NA,1,1
ALL,downreg,Gabrb2.mRNA2,NA,1,1
ALL,downreg,Selenos.mRNA2,NA,1,1
ALL,downreg,S100b.mRNA2,NA,1,1
ALL,downreg,Akt3.mRNA2,NA,1,1
ALL,downreg,Atp6v1e1.mRNA2,NA,1,1
ALL,downreg,Xiap.mRNA2,NA,1,1
ALL,downreg,Sp1.mRNA2,NA,1,1
ALL,downreg,Cab39.mRNA2,NA,1,1
ALL,downreg,Lypla1.mRNA2,NA,1,1
ALL,downreg,Rab3c.mRNA2,NA,1,1
ALL,downreg,Mnat1.mRNA2,NA,1,1
ALL,downreg,Sod2.mRNA2,NA,1,1
ALL,downreg,Acsl3.mRNA2,NA,1,1
ALL,downreg,Zfp365.mRNA2,NA,1,1
ALL,downreg,Ppp2r5c.mRNA2,NA,1,1
ALL,downreg,Rbx1.mRNA2,NA,1,1
ALL,downreg,Bnip3.mRNA2,NA,1,1
ALL,downreg,Atp6v0e2.mRNA2,NA,1,1
ALL,downreg,Ube3a.mRNA2,NA,1,1
ALL,downreg,Cul2.mRNA2,NA,1,1
ALL,downreg,Ppp3ca.mRNA2,NA,1,1
ALL,downreg,Mmut.mRNA2,NA,1,1
ALL,downreg,Scn1a.mRNA2,NA,1,1
ALL,downreg,Ccl12.mRNA4,NA,1,1
ALL,downreg,Ermn.mRNA2,NA,1,1
ALL,downreg,Zfp24.mRNA2,NA,1,1
ALL,downreg,Rdx.mRNA2,NA,1,1
ALL,downreg,Grin2b.mRNA2,NA,1,1
ALL,downreg,Crot.mRNA2,NA,1,1
ALL,downreg,Sod1.mRNA2,NA,1,1
ALL,downreg,Chmp2b.mRNA2,NA,1,1
ALL,downreg,Kcna1.mRNA2,NA,1,1
ALL,downreg,Rasa1.mRNA2,NA,1,1
ALL,downreg,Serpine2.mRNA2,NA,1,1
ALL,downreg,Prpf31.mRNA2,NA,1,1
ALL,downreg,Tomm70a.mRNA2,NA,1,1
ALL,downreg,Cdc40.mRNA2,NA,1,1
ALL,downreg,Sumo1.mRNA2,NA,1,1
ALL,downreg,Opa1.mRNA2,NA,1,1
ALL,downreg,Ltbr.mRNA2,NA,1,1
ALL,downreg,Ap1s1.mRNA4,NA,1,1
ALL,downreg,Nrxn1.mRNA2,NA,1,1
ALL,downreg,Rims1.mRNA2,NA,1,NA
ALL,downreg,Ddit3.mRNA4,NA,1,1
ALL,downreg,Cacnb4.mRNA2,NA,1,1
