Array_Data_File	CELL_NAME
5500994158987071513201_F10.cel	RCC-MF
5500994172383112813930_F10.cel	SW1463
5500994172948120113978_F10.cel	SU-DHL-6
5500994157493061613625_F11.cel	CAL-33
5500994158987071513209_F11.cel	DB
5500994172383112813929_F11.cel	HH
5500994158987071513202_F11.cel	MOLT-13
5500994158987071513207_F11.cel	SW620
5500994172383112813928_F11.cel	JHH-7
5500994158987071513201_F11.cel	OV-90
5500994172383112813930_F11.cel	SW13
5500994172948120113978_F11.cel	RERF-LC-KJ
5500994158987071513209_F12.cel	EW-22
5500994172383112813929_F12.cel	HT-144
5500994158987071513202_F12.cel	ME-180
5500994158987071513207_F12.cel	T47D
5500994172383112813928_F12.cel	IGR-37
5500994158987071513201_F12.cel	PL-21
5500994172383112813930_F12.cel	SNU-398
5500994173212120213068_G01.cel	SNU-81
5500994157493061613625_G01.cel	CAL-29
5500994158987071513209_G01.cel	A101D
5500994172383112813929_G01.cel	EC-GI-10
5500994158987071513202_G01.cel	KYSE-140
5500994158987071513207_G01.cel	MKN28
5500994172383112813928_G01.cel	SAT
5500994172383112813930_G01.cel	NCI-H2126
5500994172948120113978_G01.cel	COR-L95
5500994173212120213068_G02.cel	SK-MEL-31
5500994157493061613625_G02.cel	UACC-257
5500994158987071513209_G02.cel	A549
5500994172383112813929_G02.cel	ABC-1
5500994158987071513202_G02.cel	KALS-1
5500994158987071513207_G02.cel	MMAC-SF
5500994172383112813928_G02.cel	SW1573
5500994158987071513201_G02.cel	RERF-LC-Sq1
5500994172383112813930_G02.cel	NCI-H2342
5500994172948120113978_G02.cel	MHH-CALL-2
5500994173212120213068_G03.cel	Sci-1
5500994157493061613625_G03.cel	PA-1
5500994158987071513209_G03.cel	BALL-1
5500994172383112813929_G03.cel	CAL-27
5500994158987071513202_G03.cel	KNS-81-FD
5500994158987071513207_G03.cel	U251
5500994172383112813928_G03.cel	SKN-3
5500994158987071513201_G03.cel	RPMI-6666
5500994172383112813930_G03.cel	NCI-H630
5500994172948120113978_G03.cel	COR-L303
5500994173212120213068_G04.cel	ME-1
5500994157493061613625_G04.cel	H2591
5500994158987071513209_G04.cel	BICR78
5500994172383112813929_G04.cel	CGTH-W-1
5500994158987071513202_G04.cel	LB647-SCLC
5500994158987071513207_G04.cel	VA-ES-BJ
5500994172383112813928_G04.cel	SKM-1
5500994158987071513201_G04.cel	P30-OHK
5500994172383112813930_G04.cel	NCI-H596
5500994172948120113978_G04.cel	MDA-MB-415
5500994173212120213068_G05.cel	HSC-39
5500994157493061613625_G05.cel	H513
5500994158987071513209_G05.cel	C3A
5500994172383112813929_G05.cel	DND-41
5500994158987071513202_G05.cel	LU-139
5500994158987071513207_G05.cel	WSU-DLCL2
5500994172383112813928_G05.cel	SK-MEL-30
5500994158987071513201_G05.cel	PCI-15A
5500994172383112813930_G05.cel	NCI-H82
5500994172948120113978_G05.cel	JHOS-3
5500994173212120213068_G06.cel	CAL-148
5500994157493061613625_G06.cel	H2461
5500994158987071513209_G06.cel	CHL-1
5500994172383112813929_G06.cel	EW-24
5500994158987071513202_G06.cel	LS-123
5500994158987071513207_G06.cel	SAS
5500994172383112813928_G06.cel	HUTU-80
5500994158987071513201_G06.cel	OAW-28
5500994172383112813930_G06.cel	NB12
5500994172948120113978_G06.cel	NB4
5500994173212120213068_G07.cel	P31-FUJ
5500994157493061613625_G07.cel	KELLY
5500994158987071513209_G07.cel	CAL-39
5500994172383112813929_G07.cel	EMC-BAC-1
5500994158987071513207_G07.cel	TE-5
5500994172383112813928_G07.cel	HOP-62
5500994158987071513201_G07.cel	NCI-H1688
5500994172383112813930_G07.cel	NH-12
5500994172948120113978_G07.cel	IOSE-397
5500994173212120213068_G08.cel	NCCIT
5500994157493061613625_G08.cel	NCI-H661
5500994158987071513209_G08.cel	COLO-824
5500994172383112813929_G08.cel	HCC70
5500994158987071513202_G08.cel	GCIY
5500994158987071513207_G08.cel	TUR
5500994172383112813928_G08.cel	IHH-4
5500994158987071513201_G08.cel	NCI-H1568
5500994172383112813930_G08.cel	NB5
5500994172948120113978_G08.cel	HCE-7
5500994157493061613625_G09.cel	ES8
5500994158987071513209_G09.cel	CTV-1
5500994172383112813929_G09.cel	H3118
5500994158987071513202_G09.cel	GOTO
5500994158987071513207_G09.cel	SJRH30
5500994172383112813928_G09.cel	IST-SL1
5500994172383112813930_G09.cel	SCC-3
5500994172948120113978_G09.cel	UE6E7T-3
5500994157493061613625_G10.cel	H2795
5500994158987071513209_G10.cel	DG-75
5500994172383112813929_G10.cel	HCC1569
5500994158987071513202_G10.cel	G-402
5500994158987071513207_G10.cel	SW872
5500994172383112813928_G10.cel	JAR
5500994158987071513201_G10.cel	OCUB-M
5500994172383112813930_G10.cel	SW48
5500994172948120113978_G10.cel	OV-7
5500994157493061613625_G11.cel	SW1417
5500994158987071513209_G11.cel	EFM-19
5500994172383112813929_G11.cel	HARA
5500994158987071513202_G11.cel	MONO-MAC-6
5500994158987071513207_G11.cel	SNU-387
5500994172383112813928_G11.cel	JHU-011
5500994158987071513201_G11.cel	OVCAR-5
5500994172383112813930_G11.cel	SU-DHL-4
5500994172948120113978_G11.cel	BICR31
5500994158987071513209_G12.cel	EW-11
5500994172383112813929_G12.cel	HT-115
5500994158987071513202_G12.cel	MEL-HO
5500994158987071513207_G12.cel	T98G
5500994172383112813928_G12.cel	IGROV-1
5500994158987071513201_G12.cel	NCI-H1944
5500994172383112813930_G12.cel	SF268
5500994173212120213068_H01.cel	SNU-407
5500994157493061613625_H01.cel	H2369
5500994158987071513209_H01.cel	A172
5500994172383112813929_H01.cel	EB2
5500994158987071513202_H01.cel	KYSE-150
5500994158987071513207_H01.cel	MKN1
5500994172383112813928_H01.cel	SBC-3
5500994158987071513201_H01.cel	RD
5500994172948120113978_H01.cel	MDA-MB-330
5500994173212120213068_H02.cel	SIMA
5500994157493061613625_H02.cel	647-V
5500994158987071513209_H02.cel	A673
5500994172383112813929_H02.cel	ALL-PO
5500994158987071513202_H02.cel	KARPAS-620
5500994158987071513207_H02.cel	MC116
5500994172383112813928_H02.cel	SUP-B8
5500994158987071513201_H02.cel	RH-1
5500994172383112813930_H02.cel	NCI-H23
5500994172948120113978_H02.cel	MHH-CALL-4
5500994173212120213068_H03.cel	AGS
5500994157493061613625_H03.cel	TGBC24TKB
5500994158987071513209_H03.cel	BC-1
5500994172383112813929_H03.cel	BICR22
5500994158987071513202_H03.cel	KGN
5500994158987071513207_H03.cel	U-87-MG
5500994172383112813928_H03.cel	SK-MEL-3
5500994158987071513201_H03.cel	RPMI-8226
5500994172383112813930_H03.cel	NCI-H522
5500994172948120113978_H03.cel	MC-CAR
5500994173212120213068_H04.cel	LC-1F
5500994157493061613625_H04.cel	H2595
5500994172383112813929_H04.cel	CTB-1
5500994158987071513202_H04.cel	LC4-1
5500994158987071513207_H04.cel	UMC-11
5500994172383112813928_H04.cel	IM-9
5500994158987071513201_H04.cel	PANC-03-27
5500994172383112813930_H04.cel	NCI-H835
5500994172948120113978_H04.cel	TGW
5500994173212120213068_H05.cel	EW-12
5500994157493061613625_H05.cel	MPP-89
5500994158987071513209_H05.cel	C8166
5500994172383112813929_H05.cel	DOHH-2
5500994158987071513202_H05.cel	LU-165
5500994158987071513207_H05.cel	WM-266-4
5500994172383112813928_H05.cel	KYSE-50
5500994158987071513201_H05.cel	PCI-38
5500994172383112813930_H05.cel	NCI-H647
5500994172948120113978_H05.cel	NCI-H1436
5500994173212120213068_H06.cel	RCC-ER
5500994157493061613625_H06.cel	IGR-1
5500994158987071513209_H06.cel	CHP-134
5500994172383112813929_H06.cel	ESO26
5500994158987071513202_H06.cel	LS-1034
5500994158987071513207_H06.cel	SCaBER
5500994172383112813928_H06.cel	HeLaSF
5500994158987071513201_H06.cel	OC-314
5500994172383112813930_H06.cel	NB69
5500994172948120113978_H06.cel	CADO-ES1
5500994173212120213068_H07.cel	OCI-AML5
5500994157493061613625_H07.cel	NCI-H2030
5500994158987071513209_H07.cel	CAL-72
5500994172383112813929_H07.cel	Hs-944-T
5500994158987071513202_H07.cel	LOUCY
5500994158987071513207_H07.cel	TE-6
5500994172383112813928_H07.cel	HDQ-P1
5500994158987071513201_H07.cel	NCI-H1993
5500994172383112813930_H07.cel	no-10
5500994172948120113978_H07.cel	JHOS-2
5500994173212120213068_H08.cel	MM1S
5500994157493061613625_H08.cel	SK-MEL-1
5500994158987071513209_H08.cel	COLO-320
5500994172383112813929_H08.cel	HCC1806
5500994158987071513202_H08.cel	GB-1
5500994158987071513207_H08.cel	TCCSUP
5500994172383112813928_H08.cel	IST-SL2
5500994158987071513201_H08.cel	NCI-H1155
5500994172383112813930_H08.cel	NTERA-S-cl-D1
5500994157493061613625_H09.cel	COLO-205
5500994158987071513209_H09.cel	ChaGo-K-1
5500994172383112813929_H09.cel	Hs-683
5500994158987071513202_H09.cel	GT3TKB
5500994158987071513207_H09.cel	SU-DHL-10
5500994172383112813928_H09.cel	IMR-5
5500994158987071513201_H09.cel	NCI-H1781
5500994172383112813930_H09.cel	SCC-4
5500994172948120113978_H09.cel	YT
5500994157493061613625_H10.cel	BFTC-905
5500994158987071513209_H10.cel	DJM-1
5500994172383112813929_H10.cel	HCC1428
5500994158987071513202_H10.cel	MKN7
5500994158987071513207_H10.cel	SK-MEL-28
5500994172383112813928_H10.cel	JEKO-1
5500994158987071513201_H10.cel	OE21
5500994172383112813930_H10.cel	NCI-H1975
5500994172948120113978_H10.cel	SK-GT-4
5500994157493061613625_H11.cel	H2804
5500994158987071513209_H11.cel	EFO-27
5500994172383112813929_H11.cel	HuH-7
5500994158987071513202_H11.cel	Mo-T
5500994158987071513207_H11.cel	SU-DHL-1
5500994172383112813928_H11.cel	JHU-022
5500994158987071513201_H11.cel	OS-RC-2
5500994172383112813930_H11.cel	SW982
5500994172948120113978_H11.cel	RWPE2-W99
5500994158987071513209_H12.cel	EW-1
5500994172383112813929_H12.cel	HT-3
5500994158987071513202_H12.cel	MEC-1
5500994158987071513207_H12.cel	T84
5500994172383112813928_H12.cel	I-9-2
5500994158987071513201_H12.cel	NCI-H187
5500994172383112813930_H12.cel	SF126
5500994175999120813240_A01.cel	SNG-M
5500994175999120813240_A08.cel	NCI-H1770
5500994175999120813240_A02.cel	NB6
5500994175999120813240_A09.cel	RCC-JF
5500994175999120813240_A10.cel	NCI-H446
5500994175999120813240_A04.cel	JVM-2
5500994175999120813240_A11.cel	TK10
5500994175999120813240_A05.cel	TK
5500994175999120813240_A06.cel	DBTRG-05MG
5500994175999120813240_A07.cel	KP-N-YN
5500994173603120813304_A10.cel	KARPAS-45
5500994173603120813304_A11.cel	PA-TU-8902
5500994173603120813304_A12.cel	ES6
5500994175999120813240_B01.cel	L-428
5500994175999120813240_B08.cel	OCI-AML3
5500994175999120813240_B02.cel	Daudi
5500994175999120813240_B09.cel	HCC38
5500994175999120813240_B03.cel	CW-2
5500994175999120813240_B10.cel	RL95-2
5500994175999120813240_B04.cel	GDM-1
5500994175999120813240_B11.cel	NCI-H2087
5500994175999120813240_B05.cel	KYSE-220
5500994175999120813240_B06.cel	MDA-MB-436
5500994175999120813240_B07.cel	MOLM-16
5500994173603120813304_B10.cel	GA-10-Clone-4
5500994173603120813304_B11.cel	HO-1-u-1
5500994173603120813304_B12.cel	M00921
5500994175999120813240_C01.cel	D-423MG
5500994175999120813240_C08.cel	CAL-62
5500994175999120813240_C02.cel	8505C
5500994175999120813240_C09.cel	SW626
5500994175999120813240_C03.cel	JM1
5500994175999120813240_C10.cel	TASK1
5500994175999120813240_C04.cel	CML-T1
5500994175999120813240_C11.cel	DMS-273
5500994175999120813240_C05.cel	M059J
5500994175999120813240_C06.cel	CHSA0108
5500994175999120813240_C07.cel	CL-34
5500994173603120813304_C10.cel	SNU-C1
5500994173603120813304_C11.cel	NB1
5500994173603120813304_C12.cel	SCC90
5500994175999120813240_D01.cel	HCC1599
5500994175999120813240_D08.cel	TE-4
5500994175999120813240_D02.cel	Hey
5500994175999120813240_D09.cel	TGBC1TKB
5500994175999120813240_D03.cel	MSTO-211H
5500994175999120813240_D10.cel	NOS-1
5500994175999120813240_D04.cel	RCH-ACV
5500994175999120813240_D11.cel	SJSA-1
5500994175999120813240_D05.cel	SU-DHL-16
5500994175999120813240_D06.cel	GRANTA-519
5500994175999120813240_D07.cel	K2
5500994173603120813304_D10.cel	KG-1
5500994173603120813304_D11.cel	K-562
5500994173603120813304_D12.cel	NCI-H292
5500994175999120813240_E01.cel	MN-60
5500994175999120813240_E08.cel	DOV13
5500994175999120813240_E02.cel	KM12
5500994175999120813240_E09.cel	NCI-H720
5500994175999120813240_E03.cel	NCC010
5500994175999120813240_E10.cel	VMRC-RCZ
5500994175999120813240_E11.cel	NCI-H345
5500994175999120813240_E05.cel	KARPAS-1106P
5500994175999120813240_E06.cel	LB771-HNC
5500994175999120813240_E07.cel	CP50-MEL-B
5500994173603120813304_E10.cel	PANC-04-03
5500994173603120813304_E12.cel	C-4-I
5500994175999120813240_F01.cel	LB1047-RCC
5500994175999120813240_F08.cel	Hs-445
5500994175999120813240_F02.cel	KU-19-19
5500994175999120813240_F09.cel	NCI-H1876
5500994175999120813240_F03.cel	ACN
5500994175999120813240_F10.cel	U-2-OS
5500994175999120813240_F04.cel	OV-56
5500994175999120813240_F11.cel	NCI-H2122
5500994175999120813240_F05.cel	OVTOKO
5500994175999120813240_F06.cel	FLO-1
5500994175999120813240_F07.cel	KMS-11
5500994173603120813304_F10.cel	ESS-1
5500994173603120813304_F11.cel	TC-71
5500994173603120813304_F12.cel	KP-2
5500994175999120813240_G01.cel	OCI-LY7
5500994175999120813240_G08.cel	NCI-H226
5500994175999120813240_G02.cel	COLO-829
5500994175999120813240_G09.cel	SU8686
5500994175999120813240_G03.cel	MFE-296
5500994175999120813240_G10.cel	SW1271
5500994175999120813240_G04.cel	D-566MG
5500994175999120813240_G11.cel	KM-H2
5500994175999120813240_G05.cel	JHU-028
5500994175999120813240_G06.cel	K5
5500994175999120813240_G07.cel	LC-1-sq
5500994173603120813304_G10.cel	HCC1395
5500994173603120813304_G11.cel	M980513
5500994173603120813304_G12.cel	JHU-029
5500994175999120813240_H01.cel	NCI-H716
5500994175999120813240_H08.cel	PEO1
5500994175999120813240_H02.cel	LB831-BLC
5500994175999120813240_H09.cel	PL4
5500994175999120813240_H03.cel	HC-1
5500994175999120813240_H10.cel	TT
5500994175999120813240_H04.cel	JURKAT
5500994175999120813240_H11.cel	SK-MEL-28
5500994175999120813240_H05.cel	MOG-G-UVW
5500994175999120813240_H06.cel	MET-2B
5500994175999120813240_H07.cel	JIMT-1
5500994173603120813304_H10.cel	HSC-2
5500994173603120813304_H12.cel	LB996-RCC
5500994158987071513202_A11.cel	MFE-319
5500994158987071513202_B01.cel	KLE
5500994158987071513202_B12.cel	MES-SA
5500994158987071513202_D11.cel	MFE-280
5500994158987071513209_D03.cel	AN3-CA
5500994158987071513209_D12.cel	EN
5500994172383112813928_A11.cel	JEG-3
5500994172383112813928_C09.cel	SW954
5500994172383112813928_D09.cel	SW962
5500994172383112813928_F03.cel	SKN
5500994172383112813929_C09.cel	HEC-1
5500994172383112813929_F04.cel	COLO-684
5500994172948120113978_C08.cel	Ishikawa
5500994172948120113978_E05.cel	DIFI
5500994173603120813304_E11.cel	LNCaP-Clone-FGC
5500994173603120813304_H11.cel	STS-0421
5500994175999120813240_A03.cel	Ishikawa_Heraklio_02ER-
5500994175999120813240_E04.cel	22RV1
5500994157493061613625_A01.cel	CAL-120
