fileName,targetName
ENCFF610JVZ.bed.gz,HNRNPUL1
ENCFF266TKW.bed.gz,HNRNPL
ENCFF899AWZ.bed.gz,DDX59
ENCFF883KCN.bed.gz,MTPAP
ENCFF674BUM.bed.gz,GPKOW
ENCFF027UTH.bed.gz,KHDRBS1
ENCFF050VVI.bed.gz,GEMIN5
ENCFF573DXD.bed.gz,UCHL5
ENCFF592WIH.bed.gz,ZC3H11A
ENCFF056UAW.bed.gz,EIF3D
ENCFF002HYO.bed.gz,GTF2F1
ENCFF726PFJ.bed.gz,TRA2A
ENCFF736RYV.bed.gz,SMNDC1
ENCFF045HSV.bed.gz,NKRF
ENCFF721PWF.bed.gz,U2AF2
ENCFF445ENC.bed.gz,HNRNPM
ENCFF650LMV.bed.gz,IGF2BP1
ENCFF813JIK.bed.gz,EIF3H
ENCFF591BUK.bed.gz,POLR2G
ENCFF191XRG.bed.gz,SUGP2
ENCFF927KRA.bed.gz,RBM5
ENCFF121RVH.bed.gz,SLTM
ENCFF614NUP.bed.gz,DDX6
ENCFF524ZZB.bed.gz,IGF2BP2
ENCFF752JNY.bed.gz,HNRNPM
ENCFF612HOP.bed.gz,TIAL1
ENCFF644EIR.bed.gz,UTP18
ENCFF198ULC.bed.gz,DDX52
ENCFF404HHM.bed.gz,WRN
ENCFF472CCL.bed.gz,APOBEC3C
ENCFF452MJL.bed.gz,PABPC4
ENCFF709FEU.bed.gz,PABPN1
ENCFF972DFZ.bed.gz,FUS
ENCFF244JER.bed.gz,WDR43
ENCFF588ITW.bed.gz,PHF6
ENCFF378OYA.bed.gz,DDX21
ENCFF941GJK.bed.gz,ABCF1
ENCFF382URH.bed.gz,ZC3H8
ENCFF861KMV.bed.gz,FUS
ENCFF112MVG.bed.gz,FXR2
ENCFF848JWA.bed.gz,SSB
ENCFF094MQV.bed.gz,PUM1
ENCFF955LYD.bed.gz,AATF
ENCFF033MGP.bed.gz,NIP7
ENCFF343TCO.bed.gz,ZNF800
ENCFF105HMJ.bed.gz,ZNF800
ENCFF098REE.bed.gz,PCBP1
ENCFF953WTP.bed.gz,SAFB
ENCFF114EUH.bed.gz,SDAD1
ENCFF899HHP.bed.gz,G3BP1
ENCFF048FDF.bed.gz,HLTF
ENCFF678FCX.bed.gz,STAU2
ENCFF862EKD.bed.gz,EXOSC5
ENCFF949QGM.bed.gz,AQR
ENCFF749IUB.bed.gz,AKAP1
ENCFF185OEI.bed.gz,YBX3
ENCFF167CDB.bed.gz,HNRNPC
ENCFF560RWD.bed.gz,WDR3
ENCFF810EUA.bed.gz,BCLAF1
ENCFF005GER.bed.gz,DDX52
ENCFF799ERK.bed.gz,DDX51
ENCFF825UVD.bed.gz,SDAD1
ENCFF227EJF.bed.gz,PRPF4
ENCFF033EFV.bed.gz,AKAP1
ENCFF351ZDU.bed.gz,FTO
ENCFF246EPM.bed.gz,MATR3
ENCFF554NIV.bed.gz,NIPBL
ENCFF328KJW.bed.gz,SSB
ENCFF945NFS.bed.gz,WDR43
ENCFF028GAJ.bed.gz,UTP3
