sig_id	DER001.A549.96H.TRCN0000001401..666	DER001.A549.96H.TRCN0000196310..666	DER001.A549.96H.TRCN0000297346..666	DER001.A549.96H.TRCN0000195283..666	DER001.A549.96H.TRCN0000350250..666	DER001.A549.96H.TRCN0000005421..666	DER001.A549.96H.TRCN0000195274..666	KDD004.A549.96H.TRCN0000006180..666	DER001.A549.96H.TRCN0000230575..666
pert_id	TRCN0000001401	TRCN0000196310	TRCN0000297346	TRCN0000195283	TRCN0000350250	TRCN0000005421	TRCN0000195274	TRCN0000006180	TRCN0000230575
pert_iname	EIF2AK3	PTK2	MELK	PIK3C2A	PTP4A1	RIOK3	GNE	PGK1	ALDH9A1
pert_type	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh
cell_id	A549	A549	A549	A549	A549	A549	A549	A549	A549
pert_dose	1	1	1	1	1	1	1	1	1
pert_dose_unit	µL	µL	µL	µL	µL	µL	µL	µL	µL
pert_idose	1 µL	1 µL	1 µL	1 µL	1 µL	1 µL	1 µL	1 µL	1 µL
pert_time	96	96	96	96	96	96	96	96	96
pert_time_unit	h	h	h	h	h	h	h	h	h
pert_itime	96 h	96 h	96 h	96 h	96 h	96 h	96 h	96 h	96 h
distil_id	DER001_A549_96H_X1_B7_DUO52HI53LO:G19|DER001_A549_96H_X2_B7_DUO52HI53LO:G19|DER001_A549_96H_X3_B7_DUO52HI53LO:G19	DER001_A549_96H_X1_B7_DUO52HI53LO:L21|DER001_A549_96H_X2_B7_DUO52HI53LO:L21|DER001_A549_96H_X3_B7_DUO52HI53LO:L21	DER001_A549_96H_X1_B7_DUO52HI53LO:A18|DER001_A549_96H_X2_B7_DUO52HI53LO:A18|DER001_A549_96H_X3_B7_DUO52HI53LO:A18	DER001_A549_96H_X1_B7_DUO52HI53LO:D22|DER001_A549_96H_X2_B7_DUO52HI53LO:D22|DER001_A549_96H_X3_B7_DUO52HI53LO:D22	DER001_A549_96H_X1_B7_DUO52HI53LO:A06|DER001_A549_96H_X2_B7_DUO52HI53LO:A06|DER001_A549_96H_X3_B7_DUO52HI53LO:A06	DER001_A549_96H_X1_B7_DUO52HI53LO:J11|DER001_A549_96H_X2_B7_DUO52HI53LO:J11|DER001_A549_96H_X3_B7_DUO52HI53LO:J11	DER001_A549_96H_X1_B7_DUO52HI53LO:C05|DER001_A549_96H_X2_B7_DUO52HI53LO:C05|DER001_A549_96H_X3_B7_DUO52HI53LO:C05	KDD004_A549_96H_X1_B5_DUO52HI53LO:D01|KDD004_A549_96H_X2_F1B5_DUO52HI53LO:D01|KDD004_A549_96H_X3_B5_DUO52HI53LO:D01	DER001_A549_96H_X1_B7_DUO52HI53LO:B14|DER001_A549_96H_X2_B7_DUO52HI53LO:B14|DER001_A549_96H_X3_B7_DUO52HI53LO:B14
region	CDS	CDS	CDS	CDS	3UTR	CDS	3UTR	CDS	CDS
NCBI_geneId	9451	5747	9833	5286	7803	8780	10020	5230	223
4316	-0.7894049	0.611445	-0.7232829	0.9508748	-0.3842893	0.1310986	2.220764	0.3447395	0.9337786
1114	1.421645	0.8754561	0.06665534	0.6247563	2.03051	0.505097	1.251164	0.4228598	0.2663079
5664	1.727399	0.8318111	1.031001	1.609473	0.2305323	-0.286114	-0.007138044	-0.4656437	-0.6752732
1376	0.157272	0.5146264	0.1610866	0.04653966	0.9181628	0.4557207	1.113801	-0.5627227	-0.7919856
9088	-0.3200732	-0.02770212	-1.105746	-0.3376202	-0.06747545	-0.3316672	-0.5973605	0.01293039	0.5000502
6273	-0.5929648	-0.04296455	-0.2895222	0.8041527	-1.488275	-0.9217902	0.45487	-0.7078596	-0.8591719
11040	1.185662	0.02957469	1.721996	0.8847836	0.05883736	-0.01845392	0.1340923	-0.5148457	-0.3800742
3960	0.3837932	-0.858466	0.7526549	0.552354	-0.06924391	0.8551759	1.200374	-0.7312525	0.7813145
6650	-0.1865376	-0.07235938	0.2038521	1.128559	1.192528	0.3499038	0.7657667	-1.453583	0.5669828
9166	0.4227721	-0.7863281	0.03948757	-1.051451	0.5363567	0.4058999	-0.3828858	-0.9675865	-0.2950143
5698	-0.4775805	-0.6523731	2.098959	-0.9065874	0.9239381	-0.7736489	-0.6106913	-0.8893111	1.208938
10667	0.2244093	-0.517324	2.0283	1.836546	0.4592969	-0.3356721	0.4554757	-0.1646965	1.179575
8470	-0.5921479	-0.4742659	0.4694753	1.014102	-0.08025992	-0.2640109	-0.403556	1.082018	0.2512893
9849	-1.014546	0.2765283	0.008135602	0.5955311	0.8630571	0.1342665	0.1535639	0.2019931	-0.5269256
6794	0.9401574	-0.06016079	1.476706	2.273205	0.1442323	-0.4582377	0.9221916	-1.51272	0.3794652
6448	-0.2015829	-1.074767	0.3104102	1.060301	0.8469822	0.05511905	0.6765891	-0.4442236	-0.6594391
6834	1.222533	-0.7632614	-0.6391406	-0.4241672	-1.946749	1.321484	0.8957203	0.02759597	-0.5844952
5188	0.9787529	0.4718131	-0.256216	-1.429129	-0.1550649	0.1837059	-0.6528053	-0.960326	0.3398668
9920	-0.461659	0.153731	1.194594	1.522426	-0.3200784	0.3639044	-1.317936	1.219871	-0.6710482
9811	-0.1398974	0.9535601	0.5693985	1.364297	0.5089524	0.3075089	-1.349439	0.4432771	0.8695235
8842	0.1375173	-0.02973032	-0.9078271	0.2216702	-0.1557851	-0.773091	-0.8038844	0.8598351	-0.9623734
977	-0.5746271	-0.2617662	-0.1216362	1.051613	-0.2507205	-1.088836	-0.07536173	0.7165202	-0.8571205
9895	0.590122	0.1328003	0.6246965	1.371126	-0.1848242	-0.2974238	-0.2727996	-0.3157454	1.208878
4882	0.7573633	0.3061281	1.46877	1.366384	-0.3997109	0.4794033	0.1501962	0.4558463	0.3285058
51512	-0.8144296	-0.6880796	-1.30336	-2.12515	-0.01892789	-0.3000694	-1.482501	-0.0176824	0.408777
6001	0.5985372	-0.7812843	-0.8833913	0.4320342	-0.3245437	0.7871077	1.53215	-1.121628	-0.8287985
4756	0.130166	0.237619	1.18454	1.677743	0.5881675	0.9063123	-0.02729534	0.5763892	-0.6658691
4501	-4.012747	0	0	-3.252344	-5.753612	-4.331351	-0.9313725	-0.6714202	-2.173536
7753	-0.2000718	0.05684886	1.824581	1.689197	2.253064	-0.1438481	-0.3887257	-2.090294	0.6111574
6183	-1.357752	0.04105718	-7.250278	-0.1907382	-2.625078	-0.2039278	-0.138566	-0.6217562	-5.572216
175	0.2699624	-1.014293	-0.6357896	0.2299433	-0.3711378	0.385857	1.218489	-1.365696	0.7465084
8609	-1.704826	-0.1861397	0.1955152	-0.3970746	0.2719091	-0.5062995	-0.8261178	-0.8752362	1.266605
55702	0.0271228	-0.4377899	0.2404664	1.862901	0.4849793	-0.1136588	-0.807259	-0.79561	-0.341691
10287	0.1088992	-0.6739945	-1.203071	-0.4614151	0.2158317	0.9675957	0.7914894	-0.1051057	0.07751444
5999	0.1226203	1.562721	-0.9955381	0.7281886	0.96165	-0.5305378	-0.5833874	0.2449417	-0.7868749
8269	-0.4992499	-0.02458844	-0.2194653	0.4936273	0.5889443	0.03724505	1.118303	0.3384169	-0.5892551
10626	0.08860637	0.01787841	-1.383901	0.5917647	-1.067995	-0.5134278	-1.01039	0.7671044	-0.6673521
29957	0.5558981	0.9467274	0.1444296	-0.7248957	0.5141976	-0.3400043	1.745023	-1.627098	0.3239581
21	-0.8960789	-0.0388129	-0.2058607	-0.07124104	-0.836674	-0.5378926	-0.434824	1.632143	-0.05980399
1307	1.857729	-0.509183	0.4180935	-0.01603559	-0.267277	0.4537534	0.1195227	-0.07787059	1.273263
11186	-1.203475	0.4062334	-0.6773957	0.4264593	-0.1821264	-1.376832	-0.04449728	0.1101094	-0.3154399
205	-0.3596055	0.5695535	-0.9936006	-0.6752888	0.7107337	0.05812712	0.03313574	-1.794777	0.1890042
9443	-0.6999272	0.9092472	-0.6373389	-1.035599	-0.08574085	-0.1165766	0.002759576	-0.8119879	-0.4649031
6286	0.2583907	-1.426272	-1.024559	-2.19747	-1.203108	-3.548787	-0.1262299	0.3710395	0.5280037
7188	0.1512588	0.8896424	1.687588	-0.912837	1.711181	-0.3342773	-0.2185194	-0.01641881	1.86926
25913	-0.6304246	-0.7751295	-0.1106744	0.6952121	0.5450449	0.3061264	-0.9752768	-1.187999	0.7165321
22907	0.8074728	0.1036577	0.247951	0.2958534	0.3501578	-0.1281817	-1.367238	0.6893234	-0.5694318
3984	-0.848974	0.05164936	0.8324682	1.063162	-2.316514	0.008806348	-0.3777227	0.3053018	0.2659012
4669	1.090249	0.3950238	0.8072224	0.7179184	0.2549548	0.7807159	0.4981094	-0.8452989	0.04122841
8935	0.9564371	0.2488402	-0.4691433	-1.322106	-0.4044238	-0.2681512	-0.3861766	-0.6782525	-0.3307787
2152	-0.7965746	0.2236338	0.1224782	1.403656	0.471798	-0.801099	1.529703	-0.4665695	1.594596
65055	0.2582583	0.6935115	1.512593	1.942466	1.323251	-0.03649475	0.3971402	0.2501366	0.2683714
6668	-0.7376616	-0.301322	0.8472099	0.6629698	0.4001079	0.318482	-0.01336065	0.5409309	-1.914556
10978	-0.07553467	-1.006485	-0.3136157	1.413739	1.950177	0.5416226	-0.7568007	0.04110661	-0.1300353
8570	-0.4593637	-0.3793708	0.3129544	0.8195346	-0.001530826	-0.2105946	0.4960979	0.3413537	-0.6157934
9857	1.305347	-0.851295	-1.315018	-0.8490673	-0.03662618	0.5454866	1.298043	0.2994496	-0.1719117
2584	0.1384272	0.3461267	1.069697	1.454405	0.3578723	-0.2998844	0.8349945	0.2236357	0.9454077
9746	0.4796748	-0.2973838	1.67074	1.887417	1.408412	-0.5619716	1.015208	-0.4591464	0.9151829
8537	0.6529876	-0.2444555	0.944886	0.4472066	-0.7486547	1.483829	-0.07305114	-1.433878	1.138063
2261	0.13833	-0.7853533	1.141774	-0.8393526	-0.2973142	-0.1646496	-0.3845286	1.526973	-0.6285385
4037	0.2458045	0.3712191	0.2352657	1.390414	-0.6762431	0.230545	0.2837707	-0.5550351	-0.3859357
26151	0.3087419	-0.2770426	-0.02330652	1.493435	1.230312	0.6425639	-0.1519197	0.6417449	-0.4322166
2801	-0.1243178	-0.4219804	1.178924	0.6014541	1.360547	-0.4434395	1.016151	-0.1669694	1.086811
78988	1.02777	-0.3217331	-0.1142996	0.8183189	-0.593492	0.8540757	-0.8840699	0.01513132	-0.7927197
8805	-0.08302642	-0.8151594	-0.6278836	0.7196876	0.04386031	0.2047706	-0.1734658	0.5763487	0.2569656
8501	0.02385187	0.7534388	1.449963	1.660924	0.7666553	0.9091741	0.1541182	-2.040395	-0.2972646
24139	0.5758129	0.09774694	0.9634112	1.529334	0.5887444	-0.4215819	-0.5829886	-0.3088274	0.459249
3783	-0.9871432	0.04269924	-0.2963432	-0.1239372	-0.2027515	-0.4976745	0.4138598	0.08220027	0.7242473
25807	0.0006791949	0.7960228	1.799888	1.840044	1.170631	-1.084541	-1.084797	-0.1441092	0.4889745
6558	0.4414685	-0.41676	0.7134445	-0.567255	-0.1742977	1.31651	0.8999602	0.1253251	0.8077501
27301	0.8167324	0.8001443	-0.4829846	0.09522575	0.959816	0.3194807	0.9331825	-0.9187263	-0.0460186
9086	-0.9923588	0.8521974	-0.3708504	0.6699485	-0.6179578	-0.4346051	-0.6057549	1.001325	-0.8999423
7186	-0.6433728	-0.8696774	1.241213	0.8809026	0.5944461	-1.834497	-0.6744273	-0.3842052	0.9253374
2537	0.3388611	0.09318522	0.007933766	-0.3198527	0.02691182	-0.4804274	0.4267874	0.8414772	0.6035756
341	0.5034666	-0.2746407	-0.417455	-1.286438	1.047731	-0.8900053	0.6090122	0.09071465	0.5740546
2581	-1.130796	0.7131677	-0.5469736	0.8910292	-1.761634	-0.1928779	-0.40802	0.5137933	-0.06998327
2247	-0.4221465	0.4131686	-0.3746475	0.1708552	0.3118073	-1.321662	0.5201544	-0.44282	-0.9437612
4289	-0.3389871	0.4778527	0.3326152	0.03057697	-1.66538	0.3706161	-0.5377287	1.278207	-0.02221864
393	-0.1786388	0.1940131	-0.09658623	0.5183005	-0.1837981	0.04512519	0.4071448	-0.2397069	-1.70092
3931	0.07724588	0.1085228	0.6571904	0.7923526	-0.5851648	-1.145704	-0.819216	-0.3398123	-0.07176751
6666	-0.512857	-0.2286198	-0.8947768	0.4846341	-0.2100966	0.5795367	-0.6641494	1.951285	-0.06329474
9825	0.6318867	-0.09572031	2.272065	1.735291	1.687565	0.4610445	0.5445645	0.03011929	0.6142583
9818	0.4910046	0.06085929	-0.1474632	0.9588294	-0.9256157	-0.2928387	-1.012148	0.9199294	-0.2469776
2348	-0.3908369	-0.7146892	-0.4551087	0.570188	0.7027135	0.3942574	-1.367339	0.426935	0.008979134
10964	-0.5035499	-0.2446558	-0.1974449	-0.4094267	-0.06398961	-0.2634597	0.33506	-0.3804833	0.02925491
9308	0.3785995	-0.8834175	1.540883	1.33095	0.7688157	0.7356194	-0.4178846	-1.435519	-1.185522
23649	-0.1517852	0.2160654	-1.0966	-0.7987506	-0.1202334	-0.268721	-0.5473851	-0.265338	-0.5512002
8425	-0.3266902	-1.066095	1.19232	0.357201	-0.01706553	0.1782587	0.458653	0.621335	-0.7451441
3832	-1.655327	-0.7313437	-0.7367483	-1.645418	0.1716277	0.3756058	-1.315268	-0.1546891	-0.5660359
9762	-0.2619967	-0.8050654	-1.02292	0.3432427	-1.26809	-0.7167455	0.1779167	0.7396575	0.2408287
5082	0.2154664	0.07816412	0.1676068	-0.6532431	-0.5045344	0.9418474	1.574916	-0.1746728	-0.04420084
7637	0.509214	0.03462793	-0.9638659	0.7525271	-0.619299	0.1342328	-1.633207	0.1151795	-0.05341446
2619	0.1131912	0.7489523	-0.7638584	0.587124	1.734841	-0.645106	-0.4305264	0.1141366	-0.1863872
1478	0.6699003	0.6992253	0.4726833	2.024564	-0.9898891	0.4438396	-0.3276973	-1.701292	0.8768266
2919	-0.8096205	0.5236415	-1.137917	-0.6581818	-1.295655	-1.004714	-0.3990394	-0.05086963	-0.6208889
2669	0.09126705	0.2265427	1.131459	0.1571764	-0.3572321	-0.7908349	-1.46675	0.3690951	1.299476
9640	-0.7415898	0.4478416	0.5565121	1.410274	1.858247	-0.8702888	0.4120679	0.3286667	0.6730886
5091	0.1571383	0.5023553	0.3930837	-0.2287966	-0.2210668	-0.3372325	2.292263	-0.8155026	-0.3782153
26578	-0.2104298	-0.8641284	0.7807995	0.4849818	-1.41364	-0.765863	-0.2129032	-1.028111	0.4619431
7862	-1.948529	-0.05743328	-0.6318927	1.079299	-0.4885178	0.0881459	0.7481127	-0.136304	-0.7967734
2027	-1.205179	-0.2909237	-0.09096072	-1.062794	-0.07708251	-1.17751	-0.09049869	1.321629	0.3243456
10040	1.518122	-1.243495	-0.227796	-1.327103	0.2933956	0.1095555	-0.2825933	0.6546123	-0.4012445
3784	0.4618703	0.4494406	0.6385561	0.5557833	-0.4740898	0.1367311	-0.5136231	-0.5032547	0.1451066
22845	0.1841427	0.5007989	-1.253024	1.035041	-1.845998	-0.2358151	-0.4968997	2.639034	-0.5370582
5144	-0.4348866	0.06928986	0.9731039	1.609239	-0.5883628	-0.9294528	-0.8963922	0.5916485	-0.4306956
56905	-0.2812775	-0.1504318	-0.3393537	1.584659	1.179292	0.3629247	-1.909899	-1.116295	-0.4992408
29966	-0.4302899	-0.2712047	-0.9132136	-1.069835	0.8776686	-0.667355	0.7113491	0.2515967	0.01220691
23287	-1.49063	0.2056887	0.05386502	-0.8699235	-0.2702346	1.392823	1.296867	-0.2438881	-0.5729213
8479	0.2282146	0.0207822	0.2412312	-0.7224132	-0.2361789	0.1309206	-0.3329257	-1.241616	0.4888161
2039	-0.163162	-0.1748361	-0.2057404	0.6695232	0.8161778	-0.3627525	0.4661488	0.2385509	0.01396836
5534	-0.4011264	0.1941477	0.02046788	0.04267053	-0.3065377	-0.5849282	-0.7140682	-0.7148175	-0.6993085
8317	-0.3051271	-0.007679291	-0.4063459	-1.326054	0.6013339	1.268577	-0.7852613	1.369488	0.3354952
3096	0.1501094	-0.2718879	1.393486	-0.1883924	0.9966924	0.8176805	0.03059589	-0.5817082	-0.008044302
6314	-0.9440919	0.4004497	0.6016653	1.089187	0.3477839	0.2137546	-0.4918462	0.1639196	-0.04841322
51090	-0.9589869	-0.5233648	0.3726681	0.0236492	0.1156926	-0.1044147	1.697984	-0.9542454	-0.003044819
23774	-0.7831783	-0.50634	1.113265	0.1077299	0.4128343	0.2031815	-0.481057	0.06958317	-0.6614793
29902	-0.5593076	0.3125841	-1.150568	0.4294268	-0.9124967	-1.551757	-0.8511529	0.8618301	-0.9169413
7699	0.4648154	0.09082277	0.7118526	0.1839347	0.195791	-0.07615611	-0.4681254	-0.5495404	0.08774228
5170	-0.2202555	-0.5342646	-0.2172106	-0.3841062	-1.198274	0.587577	-0.01725031	0.6885074	0.1740365
11138	-0.4882291	-0.02832936	-0.863251	-0.5268949	-0.6106449	-0.1300931	-0.08535673	1.399691	-0.6345615
4644	0.7041728	0.5510311	-0.0106764	-1.11557	-1.080651	0.1283369	2.169366	-1.283567	0.1996123
4673	-1.164291	0.1429774	-1.578872	-0.3547498	-0.9421535	-0.03106096	-0.5727843	0.3290896	-0.5850561
2564	-0.8141162	0.6896431	0.2084449	0.7862575	-0.06908277	-0.2655311	-1.42221	1.016113	0.06585565
9284	0.05390844	-0.08528528	0.7773959	0.04742879	-1.137431	0.2207703	-0.639267	0.05784642	-0.2900064
1917	-0.6884488	0.345233	-1.298616	-2.02523	-1.695079	-0.5670114	0.3149591	0	-1.919843
23541	0.3219196	-0.2834782	1.565661	0.6771681	-0.4105711	-0.8167958	0.3811532	-0.3074466	1.009537
11234	1.583008	0.1364904	-0.3797454	-0.02661303	-0.8753115	0.2933943	0.6021979	0.6909412	-1.707337
5190	-0.1516528	-0.8194931	-0.4429545	1.818189	0.7484455	-0.4449677	-0.0698739	0.2942913	1.315478
9764	-0.2907567	0.602721	0.7310628	0.4588538	0.7672964	-0.2097429	0.5627512	-0.5548577	-0.3317167
10966	-0.4680807	-1.770586	-0.9568067	-1.179646	0.2949741	0.6437948	0.1460085	1.144645	0.09980518
8438	-0.04606266	0.1272316	-0.03532872	-1.750035	0.5746102	0.06771873	-0.04956049	-0.1206307	0.940883
51690	-0.08819017	0.304276	-1.104475	0.6750521	-0.1917239	-0.02617965	-0.381863	0.18045	-0.06818047
2289	0.8186648	0.3223092	-0.8976738	-0.9076865	-0.5823276	-0.23984	0.29625	-0.04939388	0.4279386
3662	0.7990458	0.9401363	1.059695	0.5781251	0.6863012	0.201421	0.09796798	-2.153194	-0.01999995
6402	-0.6734892	-0.2572635	-0.389943	1.803943	-0.2956897	2.19847	-0.6748771	1.682675	-0.6031261
55856	1.030988	0.4630272	0.7781056	0.3351032	0.5902184	0.6287858	0.2844948	0.179542	1.067229
8493	0.4362188	0.9029633	-0.1494683	0.7276373	0.01586989	1.294795	-0.7724383	1.037775	-1.170706
9619	0.9665899	0.5997953	2.612933	-0.7355181	-0.3465843	-0.2868541	1.021778	0.1057115	0.4371035
22863	1.030731	-1.507801	-0.2124741	-0.4853058	1.151162	0.4453972	-0.1809868	1.208701	-0.1592311
5303	0.8338074	0.03810157	0.1574448	0.01160583	-0.6077835	-0.03669816	1.111241	0.5552317	0.7658479
54677	0.6154685	-1.36087	-0.1494137	-0.6652141	0.06778242	0.244075	0.7081015	-0.1039407	0.6910591
9677	0.4096201	0.6879284	0.4776988	1.115927	0.8053372	0.9793333	0.9638317	-0.7137623	-0.2129042
3897	0.6673229	-0.4579659	-0.8593835	-0.6289577	0.7048798	0.09198243	1.395037	-0.5023195	-0.5858028
9056	0.2798113	0.8967427	-0.005987823	0.2117231	-0.4151466	-0.05536649	-1.227766	-0.1243297	-0.3472508
10752	0.3376281	0.3660471	-0.3661026	1.244579	-1.488581	-0.3526545	1.137624	0.3401095	0.4082803
54471	-0.7970603	-0.2293013	-0.9107989	-0.01709403	-0.569585	0.5083477	-1.217952	1.297239	-0.5343477
6781	0.2498899	-0.1169489	1.43598	0.4832911	0.2106955	-0.02708535	-0.5816302	-0.8117588	0.2431479
10573	1.190522	-1.100132	-0.7285669	-0.3109818	-1.468642	0.070198	0.5237267	-1.474242	0.3488251
22943	-1.137925	0.4001729	-0.8823451	0.7100098	-0.8639715	-1.380896	-0.8506035	-0.7116336	-1.064163
9156	-0.1867418	-0.1739551	-1.609197	-1.266891	-0.4711121	0.9826581	-1.18572	-0.3342822	-0.3257409
3158	0.08860032	-0.1721904	-0.02936445	1.456694	1.137459	0.2536448	0.008801118	-1.153394	0.4919593
5569	-1.597064	-1.678758	0.2538486	-1.370083	-0.2164215	0.5411237	0.4499783	-0.8790796	0.03167093
5055	-0.7413027	1.186963	0.6633129	3.264279	0.7603826	-1.050915	0.3539219	-2.911386	0.7298143
3422	0.3756956	0.607899	-2.51751	-1.694857	-1.453181	0.07671236	-0.04633237	1.136185	-0.1388993
7347	-0.3146343	-1.135918	0.08340015	-0.8039793	-2.081481	0.3327051	1.014236	-0.6206653	-0.3664465
1462	0.2171217	0.6365454	-1.109651	-0.4955088	-0.2673587	-0.8806778	-2.315531	1.027444	-0.824411
4929	0.2841052	0.4681197	1.114291	1.158585	0.8579512	0.9638289	0.5024626	-0.9103325	-0.03437366
7033	-0.3009888	0.09370223	0.6238088	1.894211	0.9545593	0.3252526	0.07729123	0.127858	1.25103
540	1.655121	-0.9966033	0.798586	1.776822	0.841274	0.3375473	-0.4498421	1.263971	0.3471805
3690	-0.2733168	0.2722924	0.1976345	0.5863414	-0.7156457	-0.5952902	-0.01670131	-0.313928	-0.1630323
29780	-0.1465479	-0.8267844	0.2767563	0.7377877	-0.321579	0.04572809	-0.3548895	-0.733933	0.1866223
8986	-0.2290553	-0.2614783	0.5776846	0.9356677	1.029404	-0.9338398	-0.1206871	-0.1594213	0.5149311
9252	-0.917387	-0.2343674	0.4244744	-0.4245717	1.329548	0.04544979	-1.322653	-0.8780353	0.3291854
6787	-0.3526469	-0.3691779	-0.01520565	-0.2928244	-1.32848	-0.1612156	-0.1735757	0.6265149	-0.1219894
1308	0.9057636	-0.5779576	0.6906433	0.3162247	-0.7875147	0.3269291	1.113758	-0.8476489	0.7176269
54	2.005601	-0.6299592	0.5654884	-0.1457791	-1.052319	-0.009947166	0.368706	-0.2668113	0.6337191
100	-1.25729	0.4930912	1.476927	0.103944	1.184	-0.4318413	0.4006704	-1.34832	0.9155344
4751	-0.3561944	-0.8032063	-1.833981	-1.220264	-1.633586	-0.1198674	-0.426873	1.156159	0.02423424
905	-0.7241729	-0.08040801	-0.8854201	0.3646812	0.07642168	1.473753	0.8641534	0.1348141	-0.849879
9454	-0.06796146	0.03371021	1.279365	0.4425222	1.894535	0.2501892	1.201929	-0.9021029	0.9700401
10024	-0.5380661	-0.6760265	-0.8539545	-0.8976318	0.220332	0.0658003	-2.212455	0.1850592	-0.1420035
4899	-0.429546	-1.06459	0.6792727	0.7731351	-0.4254972	-0.6357105	-0.5011299	-0.4868233	-0.05984311
29896	0.3783119	-0.7641993	-1.237938	-1.69306	0.0139261	-0.3306541	-0.7982501	0.1103026	-0.4944223
2671	0.5222514	0.5933711	0.4275038	0.1341729	-1.990267	0.303843	0.1481378	-1.38179	0.2187468
10873	0.2520791	0.5512061	2.553164	1.474798	-0.2772014	-0.9444584	-0.0992768	0.7769596	1.888795
3169	0.3460987	-1.26087	0.01093089	1.357683	0.3346223	-0.04203575	0.4214552	0.8069452	0.4900915
25880	0.5817062	-0.5603631	-0.5508113	1.500081	1.15761	0.1281593	0.3627157	0.8235928	-0.0552775
4053	0.3132063	0.0341759	0.9700227	-0.5200339	0.07124946	-0.5069487	-1.167703	0.8030819	0.9761226
3667	0.7413347	0.1397063	0.1420278	0.9267907	1.037019	0.6490911	0.703668	0.4502808	0.1339753
8910	0.1934668	-0.8191754	-1.925737	-1.570792	-1.418444	-0.5645244	0.1595836	-0.9396533	0.4894034
9482	0.884014	-0.268775	1.180569	-0.2760007	0.9236705	-0.1366307	1.296822	-0.08777745	1.611456
3669	1.686024	-0.5075689	0.2743828	-0.3733475	-0.2387712	-0.2395719	1.289497	-0.5640985	-0.001401823
27042	1.888421	-0.3772089	-0.3222947	1.251401	1.399209	0.4268993	-0.3586819	-0.4484181	0.1453532
9603	-0.1549913	-0.1235001	1.034393	-0.5117875	0.0269979	-0.07720026	-0.571168	-0.5046654	0.8554396
8100	1.94955	-2.031997	0.641907	2.821462	-0.6705061	-0.0008384287	0.1662039	1.123933	0.3001351
56623	-0.003817856	-0.6581118	0.7010835	1.168416	0.8115279	0.1309767	0.3814989	-0.3046455	0.9186631
9493	-0.6833061	-0.5761176	-1.503248	-1.478571	-0.8685939	0.2420961	-1.064403	0.6081476	-1.31381
26100	0.8157238	-0.5866375	0.9715704	0.2568994	0.5643038	0.4299779	0.8760381	-0.3774433	-1.358022
11197	-0.2858336	-0.5212389	1.60108	-0.4951465	-0.3456393	-0.5490903	-1.249843	2.034155	-0.1912123
2153	-0.07833125	0.7826991	0.6230205	1.994377	-0.8231287	0.5288974	-0.5617717	1.40247	-0.906268
24145	0.8255958	-0.09125239	0.6674395	0.7979228	0.9912019	-0.4688981	-0.1528223	-0.7774584	0.9728631
8030	-1.081135	0.5649638	0.3698452	-0.05728821	0.3892254	0.1244877	-0.9735446	1.005355	-0.6141089
3177	-0.2505778	-0.5956626	0.2909421	-0.005077422	-0.03186169	0.8757775	-0.7526882	0.7528886	-0.2405728
10351	-0.7506825	0.395997	-1.800532	-0.1908602	0.4250999	-0.3541804	1.437878	0.5192318	0.4958875
9829	0.4540669	0.787089	0.6992568	0.9310645	1.322406	0.4713447	0.2843314	-0.1064207	0.4812318
1299	-0.1679136	0.09149238	0.8182408	0.2902795	0.781812	-0.9989331	-0.4724329	-0.270036	0.6385738
11169	-0.8423256	0.4944133	-0.2618007	0.7411819	0.463273	0.2646067	-0.6521354	-0.3869314	-0.693219
7049	-1.118464	0.2527629	-0.3291681	0.2531187	1.170277	0.07651728	1.01975	-0.2995088	-0.156476
5653	-0.1095502	-0.1503651	-0.1940697	0.3420893	0.1200201	0.8290057	0.2161701	-0.8138485	1.242499
3866	0.1975785	-0.6204619	0.5186058	0.3831621	-1.669834	-0.6056376	0.2941086	0.1434613	-0.2909219
3376	-1.107762	0.1874383	-1.013183	-0.9419826	-1.182456	0.1653328	-0.07653938	0.1746538	0.04266959
4495	0.03953151	0.179802	0.6950507	-0.1776707	-0.4498017	-0.5731336	-0.2548788	-0.3619124	0.2842289
3437	0.376036	0.396141	0.007039994	-0.2552115	0.2437092	-0.5537259	-0.6915901	-0.8503054	-0.2728444
4675	0.1985224	0.5760832	1.303011	0.9863257	-0.1833967	0.2817885	-0.9110819	-1.195073	-0.5383731
1824	-0.9981695	0.3758429	0.946674	0.1664867	-0.2927774	-0.5293912	-0.2605878	-0.6283904	0.9729974
3131	-0.813308	-0.2070467	0.3786209	1.579703	-0.1979779	-0.7946808	-0.5670807	-0.4082954	-0.2412421
2342	-0.4818281	1.426791	1.269642	0.7109033	1.284182	-0.2697751	-0.5900957	-0.6085741	0.881616
4521	0.1921721	-0.9931847	-0.9900156	-0.3921811	-0.2969778	0.5953828	-0.479326	0.520145	-0.2215844
2237	0.01143	-0.9863335	-1.161856	0.6276476	0.7601969	0.4960711	-0.8769952	0.7866803	-0.3792211
6891	0.343025	0.1365839	1.164569	1.262218	0.9100649	-1.498477	0.03910819	-0.8118907	0.1605879
8208	-0.3232746	-0.1135285	-0.9661812	-0.7979076	0.1239025	-0.1504978	-0.2806551	0.7595801	-0.05610982
7060	-0.4504864	0.511606	0.9613561	0.6639037	0.3575437	0.9504448	0.5792925	-0.9122879	-0.0290664
