sig_id	DER001.HCC515.96H.TRCN0000262375..666	DER001.HCC515.96H.TRCN0000196310..666	DER001.HCC515.96H.TRCN0000280031..666	DER001.HCC515.96H.TRCN0000194822..666	DER001.HCC515.96H.TRCN0000002922..666	DER001.HCC515.96H.TRCN0000196572..666	DER001.HCC515.96H.TRCN0000006168..666	DER001.HCC515.96H.TRCN0000006178..666	DER001.HCC515.96H.TRCN0000230573..666
pert_id	TRCN0000262375	TRCN0000196310	TRCN0000280031	TRCN0000194822	TRCN0000002922	TRCN0000196572	TRCN0000006168	TRCN0000006178	TRCN0000230573
pert_iname	EIF2AK3	PTK2	MELK	PIK3C2A	PTP4A1	RIOK3	GNE	PGK1	ALDH9A1
pert_type	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh
cell_id	HCC515	HCC515	HCC515	HCC515	HCC515	HCC515	HCC515	HCC515	HCC515
pert_dose	2	2	2	2	2	2	2	2	2
pert_dose_unit	µL	µL	µL	µL	µL	µL	µL	µL	µL
pert_idose	2 µL	2 µL	2 µL	2 µL	2 µL	2 µL	2 µL	2 µL	2 µL
pert_time	96	96	96	96	96	96	96	96	96
pert_time_unit	h	h	h	h	h	h	h	h	h
pert_itime	96 h	96 h	96 h	96 h	96 h	96 h	96 h	96 h	96 h
distil_id	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:I15|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:I15|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:I15	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:L21|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:L21|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:L21	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:O10|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:O10|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:O10	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:H24|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:H24|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:H24	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:E01|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:E01|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:E01	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:H23|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:H23|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:H23	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:C03|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:C03|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:C03	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:N19|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:N19|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:N19	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:F18|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:F18|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:F18
region	CDS	CDS	CDS	CDS	CDS	CDS	3UTR	3UTR	CDS
NCBI_geneId	9451	5747	9833	5286	7803	8780	10020	5230	223
868	0.146744	0.09412735	0.236406	-0.8326079	-0.9663188	-0.1981528	0.5115462	-0.05745032	-2.592223
1677	0.02888506	0.8122035	-0.1483697	-0.259275	2.158875	-0.5914251	-0.1859519	-0.7752076	0.2897437
7043	-0.06572784	0.2503996	0.4462824	-1.573619	1.47976	1.04427	0.6161253	0.02784956	0.9475874
5613	-0.1792568	-0.8640979	0.03027786	-1.485728	0.8886992	-0.2199781	0.2812625	-0.553158	-0.8658916
595	0.6886806	1.30003	0.1411075	0.9008595	-2.574629	1.141168	-0.1132221	0.9155061	-0.6032723
4793	0.01987888	0.3541394	0.3820485	-0.3605578	1.106949	0.2802685	-0.2611786	-0.8766987	-0.02550277
2736	-0.4236608	-0.5491286	0.1040566	-0.6972229	4.020745	-0.120892	-0.4680715	-0.0714224	0.1044416
5290	-0.07988167	-0.9851588	1.008059	-1.018497	1.212773	-1.209829	0.6447581	-0.9664094	0.2522893
6194	0.7953777	0.008520335	0.9225876	0.587559	-3.11661	-1.100659	0.26755	-0.4185143	0.7245671
1676	-0.3358418	-0.6100692	0.5393438	-1.558675	1.416009	-0.4409723	-0.04904544	-0.1083795	-0.7636678
23512	1.149506	-0.2341229	-0.1603187	0.3764822	-2.335377	0.6573887	-1.242906	1.317471	-3.726033
148022	0.1184507	1.359705	0.4114271	0.858358	-0.2888993	0.578953	-0.2974032	0.8364035	-1.069778
1906	-2.12585	0.1284927	-1.485232	-0.9138064	0.8228213	0.03935668	-1.633548	-0.853999	0.3223382
8878	-1.911148	1.521383	-0.6035436	0.6315334	-4.128774	0.4307474	0.8971266	0.6534923	-2.254504
3091	-0.3719219	-0.794225	0.4662439	-0.4215015	-0.3633583	-0.8307341	-0.8234792	-0.1381401	-1.987264
5743	-0.4665048	-0.03589952	-1.759875	-1.004219	0.6048878	-0.2502014	0.08970916	-0.2679306	4.636898
5321	-0.02815198	-0.3095163	-0.8021146	-1.01147	0.9192846	-0.9881774	-0.4595238	-0.3673218	0.2129537
4144	0.4553153	0.9968638	-0.5532624	-0.2486267	-0.4083588	-1.160452	0.2745899	1.317263e-05	-0.4406835
1981	-0.4500837	0.4130021	-0.5080348	1.847411	2.803038	0.5625589	0.01963505	0.9033134	0.4858473
695	-0.7869815	-0.5690509	-0.872243	-0.3532979	0.9790717	0.08381356	-0.4033226	-1.26949	3.259817
10398	-0.6553972	1.245801	-0.4017895	0.01533268	-0.82748	0.2716591	-0.1128823	-0.464544	-1.080641
5708	0.09772161	0.1297373	-1.504095	0.9125332	0.04546028	-0.03874324	0.2242233	-0.07220667	-0.470722
1213	-0.1030418	0.57373	-0.6718951	2.263685	-2.454466	0.1434901	-0.5666662	0.4415052	-0.1613126
226	0.5295745	0.3686635	-0.4439714	-0.1255246	-2.006003	0.5049053	-0.2491902	-0.2309165	0.8488696
6777	0.6039491	0.3298969	-0.674329	0.2385327	1.03428	-0.5727183	0.2356183	-0.7230691	1.393957
2113	-0.4893273	-0.9917588	-1.068829	-1.34835	1.228377	-0.3157621	-0.3588933	-1.597709	-0.2600316
3329	-1.738875	1.156932	0.3370723	1.600044	-4.692707	1.135277	-0.2559633	1.103197	-3.131544
