genesymbol	entrezgene	A549_LUNG	HCC515_LUNG
AKAP6	9472	-0.267969475180101	-0.0183888218043816
AKAP7	9465	-0.258125302907087	0.0381461675579323
AKAP8	10270	-0.192863303679243	-0.0464164551451079
AKAP8L	26993	-0.324816612862154	-0.0432949719477234
AKAP9	10142	-0.305410844689782	-0.160376878023937
AKD1	221264	-0.220936937824983	0.0394144754676064
AKIRIN1	79647	0.248928427676056	-0.0789685962361484
AKIRIN2	55122	-0.00487115667381322	-0.214720257604508
AKNA	80709	-0.476504267396108	-0.16036373493679
AKNAD1	254268	0.262636667570254	0.302565366322482
AKR1A1	10327	0.0476354764779812	0.21524926686217
AKR1B1	231	0.127417301231343	0.0666009512309323
AKR1B10	57016	0.522547787443423	0.284871485250992
AKR1B15	441282	NA	NA
AKR1C1	1645	0.497960357163393	0.318143210363324
AKR1C2	1646	0.509798992910947	0.280159688508835
AKR1C3	8644	0.500086251509401	0.295573243960341
AKR1C4	1109	NA	NA
AKR1CL1	340811	NA	NA
AKR1D1	6718	NA	NA
AKR1E2	83592	0.463144319311302	0.202802763334073
AKR7A2	8574	0.285512210749402	0.284253760155088
AKR7A3	22977	0.277793932822396	0.198380114509147
AKR7L	246181	0.0979800717941135	0.108961121105334
AKT1	207	-0.335534800430436	-0.0958081766430913
AKT1S1	84335	0.199037268866491	0.0912113819134692
AKT2	208	-0.319240658140089	-0.310116069888366
AKT3	10000	-0.308722902650796	-0.186791197417383
AKTIP	64400	0.266474449017144	0.382682339798089
ALAD	210	-0.293039913912779	0.0325767843794409
ALAS1	211	-0.0856485702785513	0.189383671357106
ALAS2	212	NA	NA
ALB	213	-0.103296450545027	0.176184726089849
ALCAM	214	0.121056047052252	0.212009495880464
ALDH16A1	126133	-0.29611539630515	0.0933241331723305
ALDH18A1	5832	0.286678659733688	0.0904556544025235
ALDH1A1	216	-0.0266328232172634	0.229338656283628
ALDH1A2	8854	-0.302755941086112	-0.0371078636733286
ALDH1A3	220	-0.321980991810214	-0.142436564068443
ALDH1B1	219	-0.0274476946203701	-0.245724800184003
ALDH1L1	10840	-0.0708987407279627	0.228586214544469
ALDH1L2	160428	-0.172238514173998	-0.105810065961869
ALDH2	217	0.105415773347462	0.334437352653671
ALDH3A1	218	0.281381995613495	0.384137936699607
ALDH3A2	224	0.228346353204038	0.307191732998185
ALDH3B1	221	0.228155778440408	0.355295431955774
ALDH3B2	222	0.468352267593254	0.22722261925298
ALDH4A1	8659	0.115483378101974	0.298947731585303
ALDH5A1	7915	-0.00490730016346715	0.175113564487379
ALDH6A1	4329	0.025732521747702	0.186456048695138
ALDH7A1	501	0.344642959823226	0.310750223843203
ALDH8A1	64577	-0.337953128465462	0.0296623048046198
ALDH9A1	223	0.119797596457938	0.260418771614218
ALDOA	226	0.248281130634072	0.00328084312904047
ALDOB	229	-0.207235269474359	0.0834733893557423
ALDOC	230	-0.118351856871781	-0.199424989937324
ALG1	56052	0.169416036209205	0.369614825402302
ALG10	84920	0.0438568389232526	-0.311450093233774
ALG10B	144245	0.0535892949555189	-0.174252692279258
ALG11	440138	0.0166605058445666	-0.111369591825
ALG12	79087	0.247173825541947	0.458580382299547
ALG13	79868	0.0119815668202765	0.291068450840747
ALG14	199857	0.360575667217033	0.258145017537807
ALG1L	200810	0.387864001905748	0.182128687252027
