Event,OS_median_km,OS_cox_u_p,OS_cox_u_hr,OS_cox_u_lower,OS_cox_u_upper
ENSG00000138231.13,0.0120008497636175,3.33137097194562e-05,1.74696528430003,1.34228763334337,2.27364659312837
ENSG00000138246.17,0.0180905069816915,0.000148704802220966,1.60126559295268,1.25550032183995,2.04225475260448
ENSG00000138271.6,NA,NA,NA,NA,NA
ENSG00000138279.16,0.000118926370149874,8.95734272580014e-05,1.65462732180013,1.2860998724048,2.12875503123117
ENSG00000138286.15,0.00266212856525483,1.50561894866686e-06,1.92028920081,1.47201758625177,2.50507239124574
ENSG00000138303.18,1.86073837804557e-06,2.3398936418306e-05,1.75530518566398,1.35246035406988,2.27814167383695
ENSG00000138308.6,NA,NA,NA,NA,NA
ENSG00000138311.17,NA,NA,NA,NA,NA
ENSG00000138315.13,0.667422809962668,0.764102280304521,0.712515330605645,0.0778721194836566,6.51938202933619
ENSG00000138316.11,0.00258925393518661,7.95641900877734e-08,1.97899350514678,1.54244224859038,2.53910011670926
ENSG00000138326.20,0.0818890697437049,0.0100684788683952,1.28933547219254,1.06245561389968,1.56466391452559
ENSG00000138336.9,0.0556290289548841,0.0134260109824293,1.41724686417423,1.07493551194554,1.86856667371264
ENSG00000138346.15,0.00136387010724071,1.20155501466079e-12,2.23759300209767,1.79181899866112,2.79426797392908
ENSG00000138347.15,NA,NA,NA,NA,NA
ENSG00000138356.14,0.00512991253233419,0.62618603777719,1.16988491459445,0.622234320552964,2.19954230775859
ENSG00000138363.15,0.0108419596811796,5.20220399394113e-05,1.51264216172111,1.23787254407463,1.84840218031233
ENSG00000138375.12,0.00590697025895659,0.0101405688317666,1.42543676904885,1.08789741053138,1.86770366662051
ENSG00000138376.11,0.00941443088765359,9.52337404714573e-06,1.76492890502318,1.37249753201137,2.26956622298723
ENSG00000138378.19,0.210127359980872,0.0304020867812633,1.19216675536653,1.01677177802203,1.39781768467847
ENSG00000138379.5,0.352527028352213,3.87937544314149e-08,3.26936764787,2.14292067011705,4.98794237509276
ENSG00000138380.18,0.0429563536194975,0.054265027385687,1.33470456327451,0.994726550783615,1.79088038800456
ENSG00000138381.10,0.000682408919172262,0.00255944301578252,1.47467565654665,1.14571421131545,1.89808965493625
ENSG00000138382.15,0.000540969748355713,0.000138927261800755,1.55527197758829,1.23919014275817,1.95197721544775
ENSG00000138385.16,0.000688330204061116,6.1413615877548e-05,1.57306784218935,1.260430452009,1.96325186541318
ENSG00000138386.17,0.0507659540610059,0.0156529145994413,1.33651166035755,1.05637141877535,1.69094258565089
ENSG00000138395.16,NA,NA,NA,NA,NA
ENSG00000138398.16,0.000144027948814518,0.000947888561905566,1.54193789043123,1.19276882016785,1.99332210713969
ENSG00000138399.18,0.069630972554142,0.00199198156219776,1.40480841444482,1.13247295531654,1.7426347110809
ENSG00000138400.13,0.00563329305404692,0.000527407396720883,2.01415423725519,1.35567345422895,2.99247379875887
ENSG00000138411.13,0.00016174183108264,4.63525233726972e-05,3.50473900251604,1.91682085233079,6.40810822817435
ENSG00000138413.13,0.038655903695461,0.0246656643527592,1.27766187987349,1.03175648098242,1.58217555147074
ENSG00000138430.16,0.00898589831629815,0.00113799888268098,1.42531746938529,1.15134725976383,1.7644805868141
ENSG00000138433.16,0.000319860672136296,0.00279914683518,1.46153556601802,1.13956408669948,1.87447659650486
ENSG00000138434.17,0.0136649725120317,0.00915491409238391,1.41225033339778,1.08936364359678,1.83084043230689
ENSG00000138435.16,0.969543484747818,0.106969228228852,1.40198285369784,0.929652466285255,2.11429108548143
ENSG00000138439.12,0.000699020529561389,2.11996699104204e-05,1.97961906191791,1.44499950331144,2.71203666252342
ENSG00000138442.9,0.0641078952746827,0.000259895822060523,1.52711509460654,1.21674425606721,1.91665627394285
ENSG00000138443.16,0.308841649179332,0.0383883755230255,1.30859727759029,1.0144849899978,1.68797651202353
ENSG00000138448.12,0.0304170110623669,0.0106241857144342,1.34084677811472,1.07067745501594,1.67918925906014
ENSG00000138449.10,0.525934906350992,0.255412011484217,0.929409948234205,0.819252080687234,1.0543798084127
ENSG00000138459.9,0.0353415800781174,0.130733026671851,1.19909951451715,0.947511399445487,1.51749060386687
ENSG00000138463.9,0.0493991532809578,0.014794573055658,1.40130423629547,1.06831951429139,1.83807703256466
ENSG00000138468.16,0.0546749785541547,0.0269979361798793,1.34273903285748,1.03409445742213,1.74350427798789
ENSG00000138472.11,0.230768214506435,0.131132796022233,1.51146535861309,0.884071172522269,2.58409911022165
ENSG00000138483.3,0.798226463276781,0.621023635202902,0.612262290156882,0.0875564245649782,4.28141183026439
ENSG00000138495.6,0.00109335176533421,0.000252533057526826,1.56125709821856,1.22986640580586,1.98194187208543
ENSG00000138496.16,0.0297936840629824,0.0200524587262205,1.22082604050995,1.03184987621622,1.44441188155446
ENSG00000138587.6,0.00121585731020601,0.00124551956491683,1.29718546554077,1.10763113019651,1.51917916184938
ENSG00000138592.14,0.00141541656251676,0.00617935748024345,1.5264996742736,1.12772938257875,2.06627697349606
ENSG00000138593.9,0.0458753506519932,0.0421163346757458,1.26058776954484,1.00828428657878,1.57602527965398
ENSG00000138594.14,2.16372521977259e-05,6.89023792576819e-06,1.77058441572936,1.38031810225055,2.27119326198232
ENSG00000138600.10,0.00523403455616578,0.00103169522940786,1.51546541577035,1.18227328664102,1.94255884180637
ENSG00000138604.10,0.260560461015723,0.459696345214392,1.10732660396779,0.84509093848137,1.45093522131272
ENSG00000138606.19,0.125323204520967,0.886133982102656,0.931603771899537,0.353261060458862,2.45678249023575
ENSG00000138613.14,0.426976963740377,0.306032734088213,1.11688955382199,0.903815563438759,1.38019561279795
ENSG00000138614.15,0.000101859216695033,0.000617282689611802,1.5623228503202,1.21017880582821,2.01693557751755
ENSG00000138615.6,0.858278871582083,0.509712911997269,1.409588069718,0.507997223518571,3.91131768896111
ENSG00000138617.15,0.0462550819167384,0.0719679356704431,1.27014336212502,0.978876816460613,1.6480767888481
ENSG00000138621.12,0.860567603162122,0.564650293343343,0.944781217809465,0.778722909530675,1.14625053225094
ENSG00000138622.4,NA,NA,NA,NA,NA
ENSG00000138623.10,0.150565125305235,0.180387291402618,1.07509426524702,0.967021130336037,1.19524552557128
ENSG00000138629.16,0.0680773305824933,0.282732128697993,1.12268938340829,0.908985792077899,1.3866349315938
