Run,patient
SRR2128921,MMRF_1879_1_BM_CD138pos_T2_TSMRU_L05344
SRR3163667,MMRF_1880_1_BM_CD138pos_T2_TSMRU_L06635
SRR2128922,MMRF_1881_1_BM_CD138pos_T2_TSMRU_L05345
SRR2128923,MMRF_1882_1_BM_CD138pos_T2_TSMRU_L05350
SRR2128924,MMRF_1886_1_BM_CD138pos_T2_TSMRU_L05346
SRR2129742,MMRF_1888_1_BM_CD138pos_T3_TSMRU_L07169
SRR2128925,MMRF_1890_1_BM_CD138pos_T2_TSMRU_L05347
SRR2129744,MMRF_1891_1_BM_CD138pos_T2_TSMRU_L06640
SRR2128926,MMRF_1893_1_BM_CD138pos_T2_TSMRU_L05348
SRR2129745,MMRF_1895_1_BM_CD138pos_T2_TSMRU_L05994
SRR2129746,MMRF_1897_1_BM_CD138pos_T4_TSMRU_L05995
SRR2128927,MMRF_1900_1_BM_CD138pos_T2_TSMRU_L05349
SRR2129748,MMRF_1906_1_BM_CD138pos_T2_TSMRU_L05996
SRR2129749,MMRF_1908_1_BM_CD138pos_T3_TSMRU_L07179
SRR2129750,MMRF_1910_1_BM_CD138pos_T2_TSMRU_L06646
SRR2129751,MMRF_1911_1_BM_CD138pos_T2_TSMRU_L06641
SRR2129753,MMRF_1915_1_BM_CD138pos_T2_TSMRU_L06648
SRR2129754,MMRF_1916_1_BM_CD138pos_T3_TSMRU_L07180
SRR2129755,MMRF_1917_1_BM_CD138pos_T2_TSMRU_L05999
SRR2129756,MMRF_1918_1_BM_CD138pos_T3_TSMRU_L07170
SRR2129757,MMRF_1921_1_BM_CD138pos_T2_TSMRU_L06000
SRR2129758,MMRF_1922_1_BM_CD138pos_T2_TSMRU_L06001
SRR3163686,MMRF_1923_1_BM_CD138pos_T3_TSMRU_L07633
SRR2129759,MMRF_1927_1_BM_CD138pos_T4_TSMRU_L06003
SRR2129761,MMRF_1928_1_BM_CD138pos_T2_TSMRU_L06647
SRR2129762,MMRF_1931_1_BM_CD138pos_T3_TSMRU_L07181
SRR2129763,MMRF_1932_1_BM_CD138pos_T2_TSMRU_L06643
SRR2129764,MMRF_1935_1_BM_CD138pos_T2_TSMRU_L06644
SRR2129765,MMRF_1936_1_BM_CD138pos_T2_TSMRU_L06662
SRR2129766,MMRF_1941_1_BM_CD138pos_T3_TSMRU_L07171
SRR2129767,MMRF_1944_1_BM_CD138pos_T2_TSMRU_L06009
SRR2129768,MMRF_1947_1_BM_CD138pos_T2_TSMRU_L06627
SRR2129769,MMRF_1949_1_BM_CD138pos_T3_TSMRU_L07172
SRR2129770,MMRF_1950_1_BM_CD138pos_T2_TSMRU_L06626
SRR2129771,MMRF_1951_1_BM_CD138pos_T2_TSMRU_L06010
SRR2129772,MMRF_1952_1_BM_CD138pos_T2_TSMRU_L06011
SRR2129774,MMRF_1963_1_BM_CD138pos_T2_TSMRU_L06012
SRR2129775,MMRF_1965_1_BM_CD138pos_T2_TSMRU_L06629
SRR2129777,MMRF_1967_1_BM_CD138pos_T2_TSMRU_L06628
SRR2129778,MMRF_1971_1_BM_CD138pos_T3_TSMRU_L07182
SRR2129779,MMRF_1972_1_BM_CD138pos_T2_TSMRU_L06649
SRR2129780,MMRF_1974_1_BM_CD138pos_T2_TSMRU_L06642
SRR2129781,MMRF_1977_1_BM_CD138pos_T2_TSMRU_L06650
SRR2129782,MMRF_1978_1_BM_CD138pos_T3_TSMRU_L07183
SRR2129783,MMRF_1981_1_BM_CD138pos_T2_TSMRU_L06630
SRR2129784,MMRF_1982_1_BM_CD138pos_T3_TSMRU_L07173
SRR2129785,MMRF_1985_1_BM_CD138pos_T2_TSMRU_L06645
SRR4189748,MMRF_1988_1_BM_CD138pos_T2_TSMRU_L14984
SRR2129786,MMRF_1991_1_BM_CD138pos_T3_TSMRU_L07174
SRR2129787,MMRF_1992_1_BM_CD138pos_T2_TSMRU_L06632
SRR2129789,MMRF_1997_1_BM_CD138pos_T3_TSMRU_L07632
SRR2129790,MMRF_1998_1_BM_CD138pos_T2_TSMRU_L06633
SRR2129791,MMRF_2000_1_BM_CD138pos_T2_TSMRU_L06634
SRR2129792,MMRF_2001_1_BM_CD138pos_T3_TSMRU_L07175
SRR2129793,MMRF_2002_1_BM_CD138pos_T3_TSMRU_L07198
SRR2129794,MMRF_2005_1_BM_CD138pos_T2_TSMRU_L06636
SRR2129795,MMRF_2006_1_BM_CD138pos_T3_TSMRU_L07176
SRR2129796,MMRF_2012_1_BM_CD138pos_T3_TSMRU_L07178
SRR2129797,MMRF_2013_1_BM_CD138pos_T2_TSMRU_L08168
SRR2129798,MMRF_2015_1_BM_CD138pos_T3_TSMRU_L07177
SRR3163695,MMRF_2016_1_BM_CD138pos_T2_TSMRU_L08167
SRR3163694,MMRF_2017_1_BM_CD138pos_T2_TSMRU_L08166
SRR2129799,MMRF_2018_1_BM_CD138pos_T3_TSMRU_L07185
SRR2129800,MMRF_2019_1_BM_CD138pos_T3_TSMRU_L07635
SRR2129801,MMRF_2026_1_BM_CD138pos_T3_TSMRU_L07647
SRR2129802,MMRF_2035_1_BM_CD138pos_T3_TSMRU_L07188
SRR2129803,MMRF_2038_1_BM_CD138pos_T3_TSMRU_L07187
SRR2129804,MMRF_2039_1_BM_CD138pos_T2_TSMRU_L08169
SRR2129805,MMRF_2041_1_BM_CD138pos_T3_TSMRU_L07189
SRR2129806,MMRF_2043_1_BM_CD138pos_T3_TSMRU_L07636
SRR2129807,MMRF_2047_1_BM_CD138pos_T3_TSMRU_L07199
SRR2129808,MMRF_2050_1_BM_CD138pos_T2_TSMRU_L08171
SRR2129809,MMRF_2054_1_BM_CD138pos_T3_TSMRU_L07190
SRR2129810,MMRF_2055_1_BM_CD138pos_T3_TSMRU_L07648
SRR2129811,MMRF_2056_1_BM_CD138pos_T3_TSMRU_L07192
SRR2129812,MMRF_2057_1_BM_CD138pos_T3_TSMRU_L07191
SRR2129813,MMRF_2059_1_BM_CD138pos_T3_TSMRU_L07649
SRR2129814,MMRF_2061_1_BM_CD138pos_T3_TSMRU_L07200
SRR2129815,MMRF_2062_1_BM_CD138pos_T3_TSMRU_L07193
SRR3163696,MMRF_2068_1_BM_CD138pos_T2_TSMRU_L08172
SRR2129817,MMRF_2072_1_BM_CD138pos_T3_TSMRU_L07195
SRR2129818,MMRF_2074_1_BM_CD138pos_T3_TSMRU_L07201
SRR2129819,MMRF_2076_1_BM_CD138pos_T3_TSMRU_L07652
SRR2129820,MMRF_2079_1_BM_CD138pos_T3_TSMRU_L07651
SRR2129821,MMRF_2080_1_BM_CD138pos_T3_TSMRU_L07650
SRR2129822,MMRF_2081_1_BM_CD138pos_T3_TSMRU_L07196
SRR2129823,MMRF_2082_1_BM_CD138pos_T3_TSMRU_L07653
SRR2129824,MMRF_2083_1_BM_CD138pos_T3_TSMRU_L07638
SRR3163688,MMRF_2087_1_BM_CD138pos_T3_TSMRU_L07654
SRR2129825,MMRF_2089_1_BM_CD138pos_T2_TSMRU_L08173
SRR2129826,MMRF_2091_1_BM_CD138pos_T3_TSMRU_L07639
SRR2129827,MMRF_2093_1_BM_CD138pos_T3_TSMRU_L07197
SRR2129828,MMRF_2097_1_BM_CD138pos_T2_TSMRU_L08160
SRR2129829,MMRF_2098_1_BM_CD138pos_T3_TSMRU_L07640
SRR2129830,MMRF_2102_1_BM_CD138pos_T2_TSMRU_L08174
SRR2129831,MMRF_2106_1_BM_CD138pos_T3_TSMRU_L07656
SRR2129832,MMRF_2107_1_BM_CD138pos_T3_TSMRU_L07657
SRR2129833,MMRF_2111_1_BM_CD138pos_T3_TSMRU_L07658
SRR2129834,MMRF_2113_1_BM_CD138pos_T2_TSMRU_L08157
SRR2129835,MMRF_2115_1_BM_CD138pos_T3_TSMRU_L07641
SRR2129836,MMRF_2116_1_BM_CD138pos_T3_TSMRU_L07642
SRR2129837,MMRF_2118_1_BM_CD138pos_T3_TSMRU_L07643
SRR2129838,MMRF_2119_1_BM_CD138pos_T3_TSMRU_L07660
SRR2129839,MMRF_2122_1_BM_CD138pos_T2_TSMRU_L07659
SRR2129840,MMRF_2125_1_BM_CD138pos_T4_TSMRU_L07661
SRR2129841,MMRF_2126_1_BM_CD138pos_T3_TSMRU_L07644
SRR2129842,MMRF_2140_1_BM_CD138pos_T2_TSMRU_L08161
SRR2129843,MMRF_2141_1_BM_CD138pos_T3_TSMRU_L07662
SRR2129844,MMRF_2143_1_BM_CD138pos_T2_TSMRU_L08158
SRR3163693,MMRF_2149_1_BM_CD138pos_T2_TSMRU_L08159
SRR2129845,MMRF_2150_1_BM_CD138pos_T3_TSMRU_L07645
SRR2129846,MMRF_2151_1_BM_CD138pos_T3_TSMRU_L07663
SRR2129847,MMRF_2153_1_BM_CD138pos_T3_TSMRU_L07664
SRR3163511,MMRF_2168_1_BM_CD138pos_T2_TSMRU_L09784
SRR2129848,MMRF_2170_1_BM_CD138pos_T2_TSMRU_L08175
SRR2129849,MMRF_2172_1_BM_CD138pos_T2_TSMRU_L08176
SRR2129850,MMRF_2173_1_BM_CD138pos_T2_TSMRU_L08177
SRR2129851,MMRF_2174_1_BM_CD138pos_T2_TSMRU_L08179
SRR2129852,MMRF_2176_1_BM_CD138pos_T2_TSMRU_L08178
SRR2129853,MMRF_2180_1_BM_CD138pos_T2_TSMRU_L08164
SRR3163512,MMRF_2183_1_BM_CD138pos_T2_TSMRU_L08447
SRR3163513,MMRF_2187_1_BM_CD138pos_T5_TSMRU_L08448
SRR2129854,MMRF_2194_1_BM_CD138pos_T2_TSMRU_L08186
SRR2129855,MMRF_2195_1_BM_CD138pos_T2_TSMRU_L08185
SRR2129856,MMRF_2197_1_BM_CD138pos_T2_TSMRU_L08187
SRR3163515,MMRF_2199_1_BM_CD138pos_T3_TSMRU_L08444
SRR2129857,MMRF_2200_1_BM_CD138pos_T2_TSMRU_L08188
SRR2129858,MMRF_2201_1_BM_CD138pos_T2_TSMRU_L08182
SRR2129859,MMRF_2203_1_BM_CD138pos_T2_TSMRU_L08183
SRR3163516,MMRF_2204_1_BM_CD138pos_T3_TSMRU_L08445
SRR3163517,MMRF_2211_1_BM_CD138pos_T3_TSMRU_L08451
SRR2129860,MMRF_2213_1_BM_CD138pos_T2_TSMRU_L08165
SRR2129861,MMRF_2214_1_BM_CD138pos_T2_TSMRU_L08184
SRR3163518,MMRF_2215_1_BM_CD138pos_T3_TSMRU_L10051
SRR2129862,MMRF_2216_1_BM_CD138pos_T2_TSMRU_L08163
SRR3163519,MMRF_2217_1_BM_CD138pos_T2_TSMRU_L08452
SRR3163520,MMRF_2220_1_BM_CD138pos_T3_TSMRU_L08454
SRR3163521,MMRF_2224_1_BM_CD138pos_T3_TSMRU_L10264
SRR3163522,MMRF_2225_1_BM_CD138pos_T3_TSMRU_L10265
SRR3163523,MMRF_2228_1_BM_CD138pos_T2_TSMRU_L09785
SRR3163524,MMRF_2229_1_BM_CD138pos_T3_TSMRU_L10266
SRR2129863,MMRF_2230_1_BM_CD138pos_T3_TSMRU_L08455
SRR2129864,MMRF_2231_1_BM_CD138pos_T3_TSMRU_L08456
SRR3163525,MMRF_2232_1_BM_CD138pos_T3_TSMRU_L08457
SRR3163526,MMRF_2236_1_BM_CD138pos_T2_TSMRU_L09791
SRR3163527,MMRF_2238_1_BM_CD138pos_T2_TSMRU_L09790
SRR3163528,MMRF_2240_1_BM_CD138pos_T2_TSMRU_L09786
SRR3163529,MMRF_2245_1_BM_CD138pos_T3_TSMRU_L10267
SRR2129865,MMRF_2250_1_BM_CD138pos_T3_TSMRU_L08458
SRR3163530,MMRF_2251_1_BM_CD138pos_T2_TSMRU_L09787
SRR3163531,MMRF_2253_1_BM_CD138pos_T3_TSMRU_L08459
SRR3163532,MMRF_2257_1_BM_CD138pos_T3_TSMRU_L10269
SRR3163533,MMRF_2258_1_BM_CD138pos_T2_TSMRU_L09788
SRR3163534,MMRF_2265_1_BM_CD138pos_T2_TSMRU_L10603
SRR3163535,MMRF_2266_1_BM_CD138pos_T3_TSMRU_L08460
SRR3163536,MMRF_2267_1_BM_CD138pos_T2_TSMRU_L09789
SRR3163537,MMRF_2268_1_BM_CD138pos_T3_TSMRU_L10270
SRR3163538,MMRF_2269_1_BM_CD138pos_T2_TSMRU_L09798
SRR3163539,MMRF_2271_1_BM_CD138pos_T2_TSMRU_L09793
SRR3163540,MMRF_2272_1_BM_CD138pos_T2_TSMRU_L09794
SRR3163541,MMRF_2273_1_BM_CD138pos_T3_TSMRU_L10271
SRR3163542,MMRF_2279_1_BM_CD138pos_T2_TSMRU_L09795
SRR3163543,MMRF_2286_1_BM_CD138pos_T3_TSMRU_L10056
SRR3163544,MMRF_2290_1_BM_CD138pos_T2_TSMRU_L09801
SRR3163545,MMRF_2291_1_BM_CD138pos_T2_TSMRU_L09799
SRR3163546,MMRF_2293_1_BM_CD138pos_T3_TSMRU_L10272
SRR3163547,MMRF_2297_1_BM_CD138pos_T3_TSMRU_L10053
SRR3163548,MMRF_2300_1_BM_CD138pos_T3_TSMRU_L10273
SRR3163549,MMRF_2301_1_BM_CD138pos_T3_TSMRU_L10057
SRR3163550,MMRF_2302_1_BM_CD138pos_T3_TSMRU_L10054
SRR3163551,MMRF_2305_1_BM_CD138pos_T3_TSMRU_L10274
SRR3163552,MMRF_2306_1_BM_CD138pos_T2_TSMRU_L09802
SRR3163553,MMRF_2307_1_BM_CD138pos_T3_TSMRU_L10275
SRR3163554,MMRF_2310_1_BM_CD138pos_T2_TSMRU_L09803
SRR3163555,MMRF_2313_1_BM_CD138pos_T3_TSMRU_L10276
SRR3163556,MMRF_2314_1_BM_CD138pos_T3_TSMRU_L10278
SRR3163557,MMRF_2316_1_BM_CD138pos_T2_TSMRU_L09804
SRR3163558,MMRF_2317_1_BM_CD138pos_T3_TSMRU_L10277
SRR3163559,MMRF_2325_1_BM_CD138pos_T3_TSMRU_L10055
SRR3163560,MMRF_2326_1_BM_CD138pos_T3_TSMRU_L10059
SRR3163561,MMRF_2328_1_BM_CD138pos_T3_TSMRU_L10279
SRR3163562,MMRF_2329_1_BM_CD138pos_T2_TSMRU_L09797
SRR3163563,MMRF_2330_1_BM_CD138pos_T3_TSMRU_L10058
SRR3163564,MMRF_2331_1_BM_CD138pos_T3_TSMRU_L10060
SRR3163565,MMRF_2335_1_BM_CD138pos_T3_TSMRU_L10280
SRR3163566,MMRF_2336_1_BM_CD138pos_T3_TSMRU_L10281
SRR3163567,MMRF_2339_1_BM_CD138pos_T3_TSMRU_L10071
SRR3163568,MMRF_2341_1_BM_CD138pos_T3_TSMRU_L10061
SRR3163569,MMRF_2352_1_BM_CD138pos_T3_TSMRU_L10062
SRR3163570,MMRF_2353_1_BM_CD138pos_T3_TSMRU_L10064
SRR3163571,MMRF_2362_1_BM_CD138pos_T3_TSMRU_L10065
SRR3163573,MMRF_2364_1_BM_CD138pos_T2_TSMRU_L10605
SRR3163574,MMRF_2365_1_BM_CD138pos_T3_TSMRU_L10318
SRR3163575,MMRF_2366_1_BM_CD138pos_T3_TSMRU_L10072
SRR3163576,MMRF_2367_1_BM_CD138pos_T3_TSMRU_L10073
SRR3163577,MMRF_2368_1_BM_CD138pos_T3_TSMRU_L10283
SRR3163578,MMRF_2373_1_BM_CD138pos_T3_TSMRU_L10075
SRR3163579,MMRF_2377_1_BM_CD138pos_T3_TSMRU_L10066
SRR3163580,MMRF_2378_1_BM_CD138pos_T3_TSMRU_L10076
SRR3163581,MMRF_2379_1_BM_CD138pos_T3_TSMRU_L10068
SRR3163582,MMRF_2380_1_BM_CD138pos_T3_TSMRU_L10067
SRR3163583,MMRF_2384_1_BM_CD138pos_T2_TSMRU_L10621
SRR3163584,MMRF_2394_1_BM_CD138pos_T3_TSMRU_L10262
SRR3163585,MMRF_2399_1_BM_CD138pos_T3_TSMRU_L10284
SRR3163586,MMRF_2400_1_BM_CD138pos_T2_TSMRU_L10606
SRR4189169,MMRF_2401_1_BM_CD138pos_T2_TSMRU_L12456
SRR3163587,MMRF_2404_1_BM_CD138pos_T3_TSMRU_L10285
SRR3163588,MMRF_2407_1_BM_CD138pos_T3_TSMRU_L10286
SRR3163589,MMRF_2409_1_BM_CD138pos_T3_TSMRU_L10070
SRR3163590,MMRF_2412_1_BM_CD138pos_T3_TSMRU_L10287
SRR3163591,MMRF_2413_1_BM_CD138pos_T2_TSMRU_L10618
SRR3163592,MMRF_2419_1_BM_CD138pos_T2_TSMRU_L10607
SRR3163593,MMRF_2422_1_BM_CD138pos_T2_TSMRU_L10613
SRR4188981,MMRF_2427_1_BM_CD138pos_T2_TSMRU_L11507
SRR3163594,MMRF_2429_1_BM_CD138pos_T2_TSMRU_L10614
SRR3163595,MMRF_2433_1_BM_CD138pos_T2_TSMRU_L10615
SRR4188973,MMRF_2436_1_BM_CD138pos_T2_TSMRU_L11499
SRR4188974,MMRF_2437_1_BM_CD138pos_T2_TSMRU_L11500
SRR4188975,MMRF_2438_1_BM_CD138pos_T2_TSMRU_L11501
SRR3163596,MMRF_2440_1_BM_CD138pos_T2_TSMRU_L10608
SRR3163597,MMRF_2444_1_BM_CD138pos_T2_TSMRU_L10620
SRR4188976,MMRF_2445_1_BM_CD138pos_T2_TSMRU_L11502
SRR4188977,MMRF_2449_1_BM_CD138pos_T2_TSMRU_L11503
SRR3163598,MMRF_2452_1_BM_CD138pos_T2_TSMRU_L10623
SRR3163599,MMRF_2453_1_BM_CD138pos_T2_TSMRU_L10609
SRR3163600,MMRF_2455_1_BM_CD138pos_T2_TSMRU_L10610
SRR4188978,MMRF_2456_1_BM_CD138pos_T2_TSMRU_L11504
SRR4188979,MMRF_2457_1_BM_CD138pos_T2_TSMRU_L11505
SRR3163601,MMRF_2458_1_BM_CD138pos_T2_TSMRU_L10617
SRR3163602,MMRF_2459_1_BM_CD138pos_T2_TSMRU_L10611
SRR4188980,MMRF_2461_1_BM_CD138pos_T2_TSMRU_L11506
SRR4188970,MMRF_2464_1_BM_CD138pos_T2_TSMRU_L11496
SRR4188996,MMRF_2465_1_BM_CD138pos_T2_TSMRU_L11536
SRR4189151,MMRF_2468_1_BM_CD138pos_T2_TSMRU_L12436
SRR3163603,MMRF_2469_1_BM_CD138pos_T2_TSMRU_L11128
SRR4188982,MMRF_2471_1_BM_CD138pos_T2_TSMRU_L11508
SRR4188983,MMRF_2473_1_BM_CD138pos_T2_TSMRU_L11509
SRR4188984,MMRF_2475_1_BM_CD138pos_T2_TSMRU_L11524
SRR4188971,MMRF_2476_1_BM_CD138pos_T2_TSMRU_L11497
SRR4188972,MMRF_2478_1_BM_CD138pos_T2_TSMRU_L11498
SRR4188985,MMRF_2480_1_BM_CD138pos_T2_TSMRU_L11525
SRR4188991,MMRF_2485_1_BM_CD138pos_T2_TSMRU_L11531
SRR4188992,MMRF_2487_1_BM_CD138pos_T2_TSMRU_L11532
SRR4188997,MMRF_2488_1_BM_CD138pos_T2_TSMRU_L11537
SRR4188993,MMRF_2489_1_BM_CD138pos_T2_TSMRU_L11533
SRR4188998,MMRF_2490_1_BM_CD138pos_T2_TSMRU_L11538
SRR4188986,MMRF_2497_1_BM_CD138pos_T2_TSMRU_L11526
SRR4188994,MMRF_2498_1_BM_CD138pos_T2_TSMRU_L11534
SRR4189138,MMRF_2499_1_BM_CD138pos_T2_TSMRU_L12423
SRR4188987,MMRF_2501_1_BM_CD138pos_T2_TSMRU_L11527
SRR4188988,MMRF_2505_1_BM_CD138pos_T2_TSMRU_L11528
SRR4189139,MMRF_2506_1_BM_CD138pos_T2_TSMRU_L12424
SRR4189783,MMRF_2507_1_BM_CD138pos_T2_TSMRU_L13872
SRR4189146,MMRF_2514_1_BM_CD138pos_T2_TSMRU_L12431
SRR4189152,MMRF_2515_1_BM_CD138pos_T2_TSMRU_L12437
SRR4189147,MMRF_2516_1_BM_CD138pos_T2_TSMRU_L12432
SRR4189272,MMRF_2518_1_BM_CD138pos_T2_TSMRU_L12686
SRR4189271,MMRF_2519_1_BM_CD138pos_T2_TSMRU_L12685
SRR4189137,MMRF_2522_1_BM_CD138pos_T2_TSMRU_L12422
SRR4188990,MMRF_2523_1_BM_CD138pos_T2_TSMRU_L11530
SRR4189145,MMRF_2524_1_BM_CD138pos_T2_TSMRU_L12430
SRR4189148,MMRF_2525_1_BM_CD138pos_T2_TSMRU_L12433
SRR4189273,MMRF_2526_1_BM_CD138pos_T2_TSMRU_L12687
SRR4189140,MMRF_2531_1_BM_CD138pos_T3_TSMRU_L12425
SRR4189150,MMRF_2532_1_BM_CD138pos_T2_TSMRU_L12435
SRR4189482,MMRF_2535_1_BM_CD138pos_T2_TSMRU_L13117
SRR4189162,MMRF_2538_1_BM_CD138pos_T2_TSMRU_L12448
SRR4189153,MMRF_2539_1_BM_CD138pos_T2_TSMRU_L12438
SRR4189141,MMRF_2541_1_BM_CD138pos_T2_TSMRU_L12426
SRR4189274,MMRF_2543_1_BM_CD138pos_T2_TSMRU_L12688
SRR4189163,MMRF_2548_1_BM_CD138pos_T2_TSMRU_L12449
SRR4189154,MMRF_2549_1_BM_CD138pos_T2_TSMRU_L12439
SRR4189142,MMRF_2550_1_BM_CD138pos_T2_TSMRU_L12427
SRR4189164,MMRF_2554_1_BM_CD138pos_T2_TSMRU_L12450
SRR4189155,MMRF_2557_1_BM_CD138pos_T2_TSMRU_L12440
SRR4189143,MMRF_2559_1_BM_CD138pos_T2_TSMRU_L12428
SRR4189144,MMRF_2560_1_BM_CD138pos_T2_TSMRU_L12429
SRR4189156,MMRF_2562_1_BM_CD138pos_T2_TSMRU_L12441
SRR4189204,MMRF_2564_1_BM_CD138pos_T2_TSMRU_L12521
SRR4189276,MMRF_2567_1_BM_CD138pos_T2_TSMRU_L12690
SRR4189157,MMRF_2568_1_BM_CD138pos_T2_TSMRU_L12443
SRR4189158,MMRF_2570_1_BM_CD138pos_T2_TSMRU_L12444
SRR4189277,MMRF_2572_1_BM_CD138pos_T2_TSMRU_L12691
SRR4189250,MMRF_2573_1_BM_CD138pos_T2_TSMRU_L12663
SRR4189251,MMRF_2574_1_BM_CD138pos_T2_TSMRU_L12664
SRR4189159,MMRF_2579_1_BM_CD138pos_T2_TSMRU_L12445
SRR4189278,MMRF_2580_1_BM_CD138pos_T2_TSMRU_L12692
SRR4189160,MMRF_2581_1_BM_CD138pos_T2_TSMRU_L12446
SRR4189262,MMRF_2583_1_BM_CD138pos_T2_TSMRU_L12676
SRR4189165,MMRF_2587_1_BM_CD138pos_T2_TSMRU_L12451
SRR4189161,MMRF_2590_1_BM_CD138pos_T2_TSMRU_L12447
SRR4189170,MMRF_2595_1_BM_CD138pos_T2_TSMRU_L12457
SRR4189254,MMRF_2596_1_BM_CD138pos_T2_TSMRU_L12667
SRR4189256,MMRF_2597_1_BM_CD138pos_T2_TSMRU_L12669
SRR4189171,MMRF_2598_1_BM_CD138pos_T2_TSMRU_L12458
SRR4189255,MMRF_2599_1_BM_CD138pos_T2_TSMRU_L12668
SRR4189281,MMRF_2601_1_BM_CD138pos_T2_TSMRU_L12695
SRR4189280,MMRF_2602_1_BM_CD138pos_T2_TSMRU_L12694
SRR4189263,MMRF_2604_1_BM_CD138pos_T2_TSMRU_L12677
SRR4189252,MMRF_2605_1_BM_CD138pos_T2_TSMRU_L12665
SRR4189282,MMRF_2606_1_BM_CD138pos_T2_TSMRU_L12696
SRR4189257,MMRF_2608_1_BM_CD138pos_T2_TSMRU_L12670
SRR4189253,MMRF_2611_1_BM_CD138pos_T2_TSMRU_L12666
SRR4189283,MMRF_2613_1_BM_CD138pos_T2_TSMRU_L12697
SRR4189205,MMRF_2614_1_BM_CD138pos_T2_TSMRU_L12522
SRR4189258,MMRF_2621_1_BM_CD138pos_T2_TSMRU_L12672
SRR4189167,MMRF_2622_1_BM_CD138pos_T2_TSMRU_L12454
SRR4189259,MMRF_2626_1_BM_CD138pos_T2_TSMRU_L12673
SRR4189261,MMRF_2628_1_BM_CD138pos_T2_TSMRU_L12675
SRR4189265,MMRF_2630_1_BM_CD138pos_T2_TSMRU_L12679
SRR4189260,MMRF_2631_1_BM_CD138pos_T2_TSMRU_L12674
SRR4189284,MMRF_2634_1_BM_CD138pos_T2_TSMRU_L12698
SRR4189264,MMRF_2635_1_BM_CD138pos_T2_TSMRU_L12678
SRR4189472,MMRF_2636_1_BM_CD138pos_T2_TSMRU_L13107
SRR4189473,MMRF_2637_1_BM_CD138pos_T2_TSMRU_L13108
SRR4189474,MMRF_2638_1_BM_CD138pos_T2_TSMRU_L13109
SRR4189475,MMRF_2639_1_BM_CD138pos_T2_TSMRU_L13110
SRR4189476,MMRF_2641_1_BM_CD138pos_T2_TSMRU_L13111
SRR4189477,MMRF_2642_1_BM_CD138pos_T2_TSMRU_L13112
SRR4189478,MMRF_2643_1_BM_CD138pos_T2_TSMRU_L13113
SRR4189479,MMRF_2644_1_BM_CD138pos_T2_TSMRU_L13114
SRR4189480,MMRF_2646_1_BM_CD138pos_T2_TSMRU_L13115
SRR4189792,MMRF_2651_1_BM_CD138pos_T2_TSMRU_L13880
SRR4189797,MMRF_2652_1_BM_CD138pos_T2_TSMRU_L13881
SRR4189804,MMRF_2654_1_BM_CD138pos_T2_TSMRU_L13867
SRR4189821,MMRF_2664_1_BM_CD138pos_T2_TSMRU_L13869
SRR4189834,MMRF_2667_1_BM_CD138pos_T2_TSMRU_L13882
SRR4189843,MMRF_2670_1_BM_CD138pos_T2_TSMRU_L13883
SRR4189852,MMRF_2675_1_BM_CD138pos_T2_TSMRU_L13884
SRR4189857,MMRF_2676_1_BM_CD138pos_T2_TSMRU_L13885
SRR4189862,MMRF_2677_1_BM_CD138pos_T2_TSMRU_L13886
SRR4189867,MMRF_2678_1_BM_CD138pos_T2_TSMRU_L14114
SRR4189876,MMRF_2680_1_BM_CD138pos_T2_TSMRU_L13871
SRR4189881,MMRF_2681_1_BM_CD138pos_T2_TSMRU_L14093
SRR4189886,MMRF_2682_1_BM_CD138pos_T2_TSMRU_L13865
SRR4189901,MMRF_2689_1_BM_CD138pos_T2_TSMRU_L13879
SRR4189906,MMRF_2690_1_BM_CD138pos_T3_TSMRU_L14478
SRR4189911,MMRF_2691_1_BM_CD138pos_T3_TSMRU_L14570
SRR4189916,MMRF_2692_1_BM_CD138pos_T3_TSMRU_L14571
SRR4189921,MMRF_2694_1_BM_CD138pos_T3_TSMRU_L14572
SRR4189926,MMRF_2695_1_BM_CD138pos_T3_TSMRU_L14479
SRR4189931,MMRF_2696_1_BM_CD138pos_T3_TSMRU_L14573
SRR4189935,MMRF_2697_1_BM_CD138pos_T3_TSMRU_L14581
SRR4189939,MMRF_2698_1_BM_CD138pos_T3_TSMRU_L14574
SRR4189944,MMRF_2699_1_BM_CD138pos_T3_TSMRU_L14480
SRR4189949,MMRF_2700_1_BM_CD138pos_T3_TSMRU_L14576
SRR4189958,MMRF_2702_1_BM_CD138pos_T3_TSMRU_L14575
SRR4189971,MMRF_2705_1_BM_CD138pos_T3_TSMRU_L14577
SRR4189976,MMRF_2706_1_BM_CD138pos_T3_TSMRU_L14578
SRR4189989,MMRF_2709_1_BM_CD138pos_T3_TSMRU_L14579
SRR4189993,MMRF_2711_1_BM_CD138pos_T3_TSMRU_L14481
SRR4190006,MMRF_2716_1_BM_CD138pos_T3_TSMRU_L14580
SRR4190010,MMRF_2717_1_BM_CD138pos_T3_TSMRU_L14567
SRR4190014,MMRF_2718_1_BM_CD138pos_T3_TSMRU_L14475
SRR4190019,MMRF_2719_1_BM_CD138pos_T3_TSMRU_L14568
SRR4190023,MMRF_2720_1_BM_CD138pos_T3_TSMRU_L14476
SRR4190026,MMRF_2721_1_BM_CD138pos_T3_TSMRU_L14477
SRR4190031,MMRF_2722_1_BM_CD138pos_T3_TSMRU_L14569
