Run,patient
SRR1606161,MMRF_1261_1_BM_CD138pos_T3_TSMRU_L00123
SRR1606162,MMRF_1266_1_BM_CD138pos_T2_TSMRU_K03697
SRR1606163,MMRF_1267_1_BM_CD138pos_T2_TSMRU_K03698
SRR1606164,MMRF_1269_1_BM_CD138pos_T2_TSMRU_L00037
SRR1606165,MMRF_1270_1_BM_CD138pos_T3_TSMRU_L01034
SRR1606166,MMRF_1274_1_BM_CD138pos_T2_TSMRU_K03703
SRR1567021,MMRF_1277_1_BM_CD138pos_T2_TSMRU_L01340
SRR1606167,MMRF_1281_1_BM_CD138pos_T2_TSMRU_K03699
SRR1606168,MMRF_1284_1_BM_CD138pos_T3_TSMRU_L01044
SRR1606169,MMRF_1285_1_BM_CD138pos_T2_TSMRU_K03702
SRR1567022,MMRF_1286_1_BM_CD138pos_T2_TSMRU_L02837
SRR4189493,MMRF_1289_1_BM_CD138pos_T1_TSMRU_L13129
SRR1606170,MMRF_1290_1_BM_CD138pos_T2_TSMRU_K03701
SRR3163614,MMRF_1293_1_BM_CD138pos_T3_TSMRU_L01347
SRR1606171,MMRF_1295_1_BM_CD138pos_T2_TSMRU_K03700
SRR4189485,MMRF_1296_1_BM_CD138pos_T1_TSMRU_L13120
SRR1606172,MMRF_1300_1_BM_CD138pos_T3_TSMRU_L01038
SRR1606174,MMRF_1304_1_BM_CD138pos_T6_TSMRU_L00119
SRR1606175,MMRF_1307_1_BM_CD138pos_T3_TSMRU_L00042
SRR1567023,MMRF_1308_1_BM_CD138pos_T1_TSMRU_L02335
SRR1567024,MMRF_1309_1_BM_CD138pos_T2_TSMRU_L02832
SRR1606176,MMRF_1310_1_BM_CD138pos_T4_TSMRU_L00044
SRR1606177,MMRF_1311_1_BM_CD138pos_T5_TSMRU_L00040
SRR1606178,MMRF_1312_1_BM_CD138pos_T3_TSMRU_L00124
SRR1606179,MMRF_1314_1_BM_CD138pos_T4_TSMRU_L00041
SRR1567025,MMRF_1318_1_BM_CD138pos_T2_TSMRU_L01870
SRR1606180,MMRF_1320_1_BM_CD138pos_T3_TSMRU_L01046
SRR1567026,MMRF_1323_1_BM_CD138pos_T3_TSMRU_L01035
SRR1567027,MMRF_1324_1_BM_CD138pos_T3_TSMRU_L01339
SRR1606181,MMRF_1325_1_BM_CD138pos_T3_TSMRU_L00803
SRR1606182,MMRF_1327_1_BM_CD138pos_T2_TSMRU_L00034
SRR1606183,MMRF_1328_1_BM_CD138pos_T6_TSMRU_L00120
SRR1606185,MMRF_1331_1_BM_CD138pos_T3_TSMRU_L01040
SRR1606186,MMRF_1332_1_BM_CD138pos_T3_TSMRU_L00043
SRR4189488,MMRF_1335_1_BM_CD138pos_T1_TSMRU_L13123
SRR1606187,MMRF_1338_1_BM_CD138pos_T3_TSMRU_L00395
SRR1606188,MMRF_1342_1_BM_CD138pos_T3_TSMRU_L00396
