hgnc_symbol	entrezgene_id	ensembl_gene_id	exp_num_xpr	cell_num_xpr	cell_name_xpr	exp_num_sh	cell_num_sh	cell_name_sh	exp_num_oe	cell_num_oe	cell_name_oe
PBXIP1	57326	ENSG00000163346	18	9	U251MG|ES2|YAPC|AGS|A375|HT29|A549|BICR6|PC3	27	1	NA	8	5	U251MG|AGS|PC3|A375|HS944T
PC	5091	ENSG00000173599	20	10	U251MG|MCF7|PC3|YAPC|AGS|A549|HT29|BICR6|A375|ES2	30	10	MCF7|U251MG|DANG|AGS|HCC1806|ES2|PC3|BICR6|YAPC|NA	9	7	PC3|A375|AGS|U251MG|IPC298|MCF7|HT29
PCAT19	100505495	ENSG00000267107-bioMart	NA	NA	NA	NA	NA	NA	4	4	A549|A375|U251MG|HS944T
PCBD1	5092	ENSG00000166228	NA	NA	NA	54	15	ES2|U251MG|PC3|BICR6|A549|KELLY|A375|LCLC103H|MCF7|AGS|YAPC|HCC1806|SNU761|HT29|KYSE30	8	4	U251MG|A549|AGS|PC3
PCBP1	5093	ENSG00000169564	NA	NA	NA	10	8	A375|HS944T|YAPC|U251MG|ES2|AGS|A549|BICR6	NA	NA	NA
PCCA	5095	ENSG00000175198	18	9	HT29|A549|U251MG|YAPC|BICR6|PC3|AGS|ES2|A375	NA	NA	NA	NA	NA	NA
PCCB	5096	ENSG00000114054	95	19	AGS|HT29|A375|ES2|U251MG|LCLC103H|IPC298|HS944T|SNU761|A549|YAPC|BICR6|MCF7|SNGM|PC3|DANG|HCC1806|KELLY|KYSE30	71	15	AGS|A549|A375|PC3|MCF7|HT29|ES2|BICR6|U251MG|KYSE30|YAPC|KELLY|DANG|LCLC103H|HCC1806	21	11	A375|HT29|BICR6|ES2|IPC298|MCF7|A549|U251MG|AGS|LCLC103H|PC3
PCDH15	65217	ENSG00000150275-bioMart	NA	NA	NA	24	1	NA	NA	NA	NA
PCDH17	27253	ENSG00000118946	18	9	PC3|BICR6|A549|AGS|A375|YAPC|ES2|U251MG|HT29	NA	NA	NA	NA	NA	NA
PCDHA10	56139	ENSG00000250120	NA	NA	NA	24	1	NA	9	6	U251MG|A549|A375|MCF7|BICR6|AGS
PCDHGB1	56104	ENSG00000254221-bioMart	NA	NA	NA	NA	NA	NA	8	6	A375|AGS|LCLC103H|A549|SNGM|PC3
PCGF1	84759	ENSG00000115289	NA	NA	NA	36	11	YAPC|ES2|AGS|MCF7|PC3|U251MG|HT29|HS944T|A549|A375|NA	NA	NA	NA
PCGF2	7703	ENSG00000277258	18	9	ES2|U251MG|A375|A549|BICR6|HT29|YAPC|AGS|PC3	37	8	PC3|YAPC|U251MG|ES2|A375|HT29|KELLY|NA	9	6	ES2|MCF7|PC3|SNU761|U251MG|A549
PCGF3	10336	ENSG00000185619	NA	NA	NA	27	9	MCF7|SNU761|ES2|U251MG|BICR6|PC3|YAPC|AGS|NA	9	5	ES2|HT29|A549|YAPC|AGS
PCGF5	84333	ENSG00000180628-bioMart	NA	NA	NA	27	8	AGS|PC3|ES2|YAPC|BICR6|HT29|MCF7|NA	10	7	A375|IPC298|A549|MCF7|PC3|ES2|U251MG
PCGF6	84108	ENSG00000156374-bioMart	NA	NA	NA	24	1	NA	1	1	ES2
PCID2	55795	ENSG00000126226	18	9	U251MG|YAPC|PC3|BICR6|ES2|AGS|A375|HT29|A549	NA	NA	NA	NA	NA	NA
PCK1	5105	ENSG00000124253	20	10	PC3|BICR6|MCF7|A375|ES2|AGS|A549|U251MG|HT29|YAPC	44	13	A375|MCF7|AGS|BICR6|U251MG|PC3|HT29|ES2|YAPC|A549|SNU761|HCC1806|NA	NA	NA	NA
PCK2	5106	ENSG00000100889	13	10	BICR6|ES2|AGS|U251MG|YAPC|PC3|HS944T|HT29|A375|A549	87	16	ES2|U251MG|DANG|AGS|BICR6|PC3|YAPC|HT29|MCF7|HCC1806|A549|HS944T|KYSE30|A375|LCLC103H|NA	8	6	AGS|A549|YAPC|HS944T|BICR6|U251MG
PCLO	27445	ENSG00000186472	NA	NA	NA	12	9	A375|A549|BICR6|YAPC|U251MG|SNU761|PC3|MCF7|AGS	NA	NA	NA
PCM1	5108	ENSG00000078674	NA	NA	NA	48	15	A549|U251MG|ES2|YAPC|HT29|A375|MCF7|AGS|SNU761|PC3|IPC298|KYSE30|BICR6|SNGM|DANG	NA	NA	NA
PCMT1	5110	ENSG00000120265	NA	NA	NA	47	12	A375|PC3|MCF7|LCLC103H|HT29|U251MG|AGS|A549|ES2|KYSE30|BICR6|YAPC	NA	NA	NA
PCNA	5111	ENSG00000132646	NA	NA	NA	27	10	YAPC|BICR6|U251MG|DANG|A375|A549|AGS|ES2|HT29|SNU761	8	7	BICR6|HT29|MCF7|A549|ES2|U251MG|YAPC
PCNX3	399909	ENSG00000197136-bioMart	18	9	BICR6|HT29|AGS|PC3|A549|YAPC|ES2|A375|U251MG	NA	NA	NA	NA	NA	NA
PCSK1	5122	ENSG00000175426	18	9	U251MG|YAPC|PC3|ES2|A549|A375|BICR6|HT29|AGS	NA	NA	NA	NA	NA	NA
PCSK6	5046	ENSG00000140479	18	9	A549|HT29|BICR6|A375|U251MG|YAPC|AGS|PC3|ES2	NA	NA	NA	NA	NA	NA
PCSK7	9159	ENSG00000160613	NA	NA	NA	30	13	HT29|PC3|MCF7|ES2|YAPC|U251MG|DANG|A375|BICR6|A549|AGS|HS944T|IPC298	NA	NA	NA
PCSK9	255738	ENSG00000169174-bioMart	18	9	HT29|A375|A549|ES2|U251MG|PC3|BICR6|YAPC|AGS	32	11	PC3|HT29|U251MG|A375|MCF7|ES2|LCLC103H|A549|IPC298|AGS|NA	NA	NA	NA
PCTP	58488	ENSG00000141179	20	10	BICR6|MCF7|A375|HT29|AGS|U251MG|YAPC|PC3|A549|ES2	NA	NA	NA	NA	NA	NA
PCYT1B	9468	ENSG00000102230	18	9	U251MG|HT29|BICR6|A549|PC3|AGS|YAPC|A375|ES2	NA	NA	NA	NA	NA	NA
PDAP1	11333	ENSG00000106244	NA	NA	NA	36	10	HT29|U251MG|PC3|ES2|A549|AGS|A375|BICR6|MCF7|NA	9	7	A375|MCF7|SNGM|BICR6|U251MG|PC3|YAPC
PDCD1	5133	ENSG00000188389	18	9	A549|ES2|YAPC|U251MG|PC3|BICR6|AGS|HT29|A375	NA	NA	NA	NA	NA	NA
PDCD10	11235	ENSG00000114209	18	9	PC3|A375|HT29|AGS|A549|BICR6|ES2|U251MG|YAPC	NA	NA	NA	NA	NA	NA
PDCD1LG2	80380	ENSG00000197646	18	9	YAPC|BICR6|A375|AGS|ES2|U251MG|HT29|A549|PC3	8	6	A375|AGS|A549|BICR6|MCF7|YAPC	4	3	U251MG|PC3|BICR6
PDCD2	5134	ENSG00000071994	NA	NA	NA	27	9	MCF7|YAPC|PC3|BICR6|A549|AGS|U251MG|KELLY|NA	NA	NA	NA
PDCD6	10016	ENSG00000249915	18	9	YAPC|A549|HT29|BICR6|A375|PC3|U251MG|ES2|AGS	NA	NA	NA	NA	NA	NA
PDE10A	10846	ENSG00000112541	18	9	U251MG|PC3|A549|A375|YAPC|ES2|HT29|AGS|BICR6	NA	NA	NA	NA	NA	NA
PDE11A	50940	ENSG00000128655	20	10	ES2|PC3|AGS|HT29|A375|A549|BICR6|YAPC|U251MG|MCF7	NA	NA	NA	NA	NA	NA
PDE12	201626	ENSG00000174840	NA	NA	NA	10	8	HT29|MCF7|A375|ES2|A549|BICR6|AGS|U251MG	NA	NA	NA
PDE1A	5136	ENSG00000115252	20	10	A375|MCF7|PC3|YAPC|AGS|BICR6|HT29|A549|ES2|U251MG	NA	NA	NA	NA	NA	NA
PDE1B	5153	ENSG00000123360	18	9	PC3|U251MG|YAPC|HT29|A375|BICR6|AGS|ES2|A549	NA	NA	NA	NA	NA	NA
PDE1C	5137	ENSG00000154678	20	10	MCF7|BICR6|PC3|HT29|U251MG|ES2|YAPC|A549|AGS|A375	NA	NA	NA	NA	NA	NA
PDE2A	5138	ENSG00000186642	20	10	ES2|A375|YAPC|A549|HT29|PC3|AGS|MCF7|U251MG|BICR6	NA	NA	NA	NA	NA	NA
