hgnc_symbol	entrezgene_id	ensembl_gene_id	exp_num_xpr	cell_num_xpr	cell_name_xpr	exp_num_sh	cell_num_sh	cell_name_sh	exp_num_oe	cell_num_oe	cell_name_oe
CFTR	1080	ENSG00000001626	20	10	HT29|MCF7|A549|PC3|AGS|ES2|U251MG|A375|YAPC|BICR6	27	1	NA	8	6	A549|ES2|AGS|MCF7|PC3|YAPC
CGA	1081	ENSG00000135346	20	10	ES2|HT29|MCF7|BICR6|A549|A375|PC3|AGS|U251MG|YAPC	NA	NA	NA	NA	NA	NA
CGREF1	10669	ENSG00000138028	NA	NA	NA	6	5	MCF7|YAPC|PC3|A549|ES2	1	1	A375
CGRRF1	10668	ENSG00000100532	NA	NA	NA	49	15	AGS|A549|U251MG|A375|BICR6|YAPC|KELLY|HCC1806|HT29|ES2|LCLC103H|MCF7|SNGM|SNU761|PC3	2	2	A375|AGS
CH25H	9023	ENSG00000138135	20	10	A549|ES2|HT29|PC3|MCF7|A375|BICR6|AGS|U251MG|YAPC	NA	NA	NA	NA	NA	NA
CHAC1	79094	ENSG00000128965	NA	NA	NA	47	12	BICR6|MCF7|YAPC|A549|PC3|HS944T|A375|HT29|U251MG|AGS|ES2|KYSE30	1	1	HCC1806
CHAF1B	8208	ENSG00000159259	NA	NA	NA	33	14	AGS|SNGM|A549|HT29|PC3|U251MG|DANG|YAPC|KELLY|BICR6|MCF7|ES2|LCLC103H|NA	9	8	YAPC|A375|ES2|AGS|MCF7|BICR6|PC3|U251MG
CHAT	1103	ENSG00000070748	18	9	U251MG|YAPC|PC3|ES2|BICR6|AGS|A549|HT29|A375	NA	NA	NA	NA	NA	NA
CHCHD4	131474	bioMart	20	10	AGS|YAPC|MCF7|HT29|ES2|U251MG|A549|BICR6|PC3|A375	NA	NA	NA	NA	NA	NA
CHCHD7	79145	ENSG00000170791	NA	NA	NA	50	13	A549|A375|PC3|AGS|YAPC|U251MG|MCF7|ES2|SNGM|IPC298|BICR6|HT29|HCC1806	1	1	HT29
CHD1	1105	ENSG00000153922	26	10	A375|BICR6|AGS|MCF7|ES2|U251MG|HT29|A549|YAPC|PC3	30	9	YAPC|A549|U251MG|PC3|A375|HT29|ES2|BICR6|NA	9	9	HT29|YAPC|HS944T|AGS|A549|A375|PC3|MCF7|BICR6
CHD2	1106	ENSG00000173575	26	10	A375|PC3|YAPC|MCF7|U251MG|AGS|BICR6|A549|HT29|ES2	NA	NA	NA	NA	NA	NA
CHD3	1107	ENSG00000170004	74	19	A375|SNGM|KELLY|ES2|PC3|IPC298|HS944T|U251MG|SNU761|AGS|A549|BICR6|YAPC|KYSE30|HT29|DANG|MCF7|LCLC103H|HCC1806	NA	NA	NA	NA	NA	NA
CHD4	1108	ENSG00000111642	26	10	A375|BICR6|A549|AGS|PC3|MCF7|HT29|YAPC|U251MG|ES2	6	5	A375|MCF7|A549|YAPC|PC3	4	3	A375|HCC44|KELLY
CHD5	26038	ENSG00000116254	26	10	A375|MCF7|HT29|A549|U251MG|PC3|ES2|YAPC|BICR6|AGS	NA	NA	NA	NA	NA	NA
CHD6	84181	bioMart	26	10	A375|AGS|MCF7|BICR6|ES2|U251MG|PC3|HT29|YAPC|A549	NA	NA	NA	NA	NA	NA
CHD7	55636	ENSG00000171316	26	10	A375|ES2|HT29|YAPC|BICR6|MCF7|AGS|PC3|A549|U251MG	NA	NA	NA	NA	NA	NA
CHD8	57680	ENSG00000100888	50	19	A375|PC3|U251MG|BICR6|HS944T|AGS|LCLC103H|SNGM|KYSE30|HCC1806|IPC298|ES2|A549|SNU761|MCF7|KELLY|HT29|YAPC|DANG	30	11	PC3|A375|HT29|MCF7|IPC298|AGS|BICR6|ES2|U251MG|A549|HS944T	2	2	MCF7|PC3
CHD9	80205	ENSG00000177200	26	10	A375|MCF7|YAPC|AGS|ES2|U251MG|PC3|A549|HT29|BICR6	NA	NA	NA	NA	NA	NA
CHEK1	1111	ENSG00000149554	32	19	KELLY|U251MG|SNGM|YAPC|KYSE30|MCF7|HCC1806|A375|IPC298|DANG|BICR6|A549|SNU761|ES2|PC3|HT29|AGS|LCLC103H|HS944T	193	12	A549|MCF7|A375|BICR6|AGS|ES2|U251MG|YAPC|PC3|HCC1806|LCLC103H|NA	4	3	YAPC|HT29|A375
CHEK2	11200	ENSG00000183765	12	3	ES2|A549|HCC44	221	18	AGS|A549|ES2|HT29|SNU761|PC3|BICR6|MCF7|YAPC|LCLC103H|U251MG|HCC1806|DANG|KYSE30|A375|SNGM|KELLY|NA	1	1	YAPC
CHERP	10523	ENSG00000085872	NA	NA	NA	42	14	BICR6|IPC298|HT29|PC3|KELLY|ES2|A549|LCLC103H|YAPC|AGS|MCF7|HS944T|U251MG|A375	1	1	ES2
CHI3L1	1116	ENSG00000133048	20	10	BICR6|ES2|HT29|U251MG|PC3|MCF7|A549|AGS|YAPC|A375	NA	NA	NA	NA	NA	NA
CHI3L2	1117	ENSG00000064886	20	10	AGS|ES2|HT29|MCF7|A375|YAPC|A549|PC3|BICR6|U251MG	NA	NA	NA	NA	NA	NA
CHIA	27159	ENSG00000134216	20	10	HT29|U251MG|BICR6|YAPC|MCF7|PC3|ES2|AGS|A375|A549	NA	NA	NA	NA	NA	NA
CHIC2	26511	ENSG00000109220	NA	NA	NA	38	11	YAPC|ES2|AGS|HT29|LCLC103H|DANG|U251MG|PC3|BICR6|A375|A549	1	1	ES2
CHIT1	1118	ENSG00000133063	18	9	U251MG|ES2|PC3|A375|AGS|A549|YAPC|BICR6|HT29	NA	NA	NA	NA	NA	NA
CHKA	1119	ENSG00000110721	20	10	PC3|A549|ES2|U251MG|MCF7|BICR6|AGS|A375|YAPC|HT29	26	1	NA	9	6	AGS|ES2|BICR6|A549|MCF7|PC3
CHKB	1120	ENSG00000100288	20	10	U251MG|A549|PC3|YAPC|MCF7|A375|AGS|HT29|ES2|BICR6	34	1	NA	NA	NA	NA
CHMP1A	5119	ENSG00000131165	20	10	ES2|HT29|A375|BICR6|YAPC|PC3|A549|U251MG|AGS|MCF7	NA	NA	NA	NA	NA	NA
