hgnc_symbol	entrezgene_id	ensembl_gene_id	exp_num_xpr	cell_num_xpr	cell_name_xpr	exp_num_sh	cell_num_sh	cell_name_sh	exp_num_oe	cell_num_oe	cell_name_oe
CBLC	23624	ENSG00000142273	NA	NA	NA	41	11	LCLC103H|PC3|YAPC|HT29|ES2|A549|MCF7|AGS|KYSE30|A375|NA	4	4	HCC44|HT29|U251MG|AGS
CBR1	873	ENSG00000159228	NA	NA	NA	106	14	BICR6|A549|YAPC|PC3|AGS|U251MG|MCF7|HT29|ES2|HS944T|A375|SNU761|IPC298|NA	2	2	THP1|BICR6
CBR3	874	ENSG00000159231	44	19	U251MG|A549|HS944T|LCLC103H|ES2|IPC298|SNGM|AGS|PC3|MCF7|A375|KELLY|DANG|KYSE30|YAPC|HCC1806|SNU761|BICR6|HT29	94	14	MCF7|ES2|U251MG|A549|AGS|PC3|BICR6|A375|HS944T|KELLY|HT29|YAPC|DANG|IPC298	2	2	HCC44|U251MG
CBS	875	ENSG00000160200	18	9	BICR6|ES2|AGS|A375|PC3|U251MG|A549|HT29|YAPC	36	14	BICR6|KYSE30|AGS|YAPC|A375|U251MG|SNU761|PC3|DANG|MCF7|HCC1806|ES2|HT29|IPC298	1	1	U251MG
CBX1	10951	ENSG00000108468	74	19	A375|SNU761|DANG|ES2|SNGM|HS944T|U251MG|AGS|A549|LCLC103H|PC3|IPC298|KYSE30|HCC1806|BICR6|KELLY|HT29|MCF7|YAPC	8	6	A375|K562|ES2|YAPC|HT29|PC3	44	11	A375|AGS|PC3|HT29|A549|BICR6|MCF7|U251MG|IPC298|ES2|HCC1806
CBX2	84733	ENSG00000173894	26	10	A375|AGS|U251MG|BICR6|YAPC|PC3|A549|HT29|ES2|MCF7	NA	NA	NA	NA	NA	NA
CBX3	11335	ENSG00000122565	25	10	A375|U251MG|MCF7|ES2|A549|YAPC|HT29|PC3|AGS|BICR6	8	6	A375|A549|YAPC|AGS|HT29|IPC298	75	14	A375|ES2|YAPC|U251MG|MCF7|AGS|PC3|BICR6|SNU761|KYSE30|HT29|SNGM|A549|HCC1806
CBX4	8535	ENSG00000141582	25	10	A375|HT29|A549|AGS|ES2|BICR6|U251MG|MCF7|YAPC|PC3	24	1	NA	9	5	U251MG|AGS|YAPC|PC3|BICR6
CBX5	23468	ENSG00000094916	26	10	A375|MCF7|BICR6|ES2|A549|YAPC|PC3|HT29|U251MG|AGS	NA	NA	NA	NA	NA	NA
CBX6	23466	ENSG00000183741	26	10	A375|MCF7|ES2|BICR6|HT29|YAPC|U251MG|AGS|A549|PC3	36	12	HT29|U251MG|BICR6|DANG|PC3|AGS|A549|YAPC|A375|KYSE30|HCC1806|NA	9	5	BICR6|U251MG|AGS|ES2|HT29
CBX7	23492	ENSG00000100307	26	10	A375|A549|PC3|AGS|MCF7|U251MG|HT29|YAPC|BICR6|ES2	32	8	PC3|A375|A549|IPC298|ES2|BICR6|HCC1806|NA	9	7	A549|U251MG|ES2|AGS|YAPC|PC3|HCC1806
CBX8	57332	ENSG00000141570	26	10	A375|AGS|A549|HT29|BICR6|MCF7|YAPC|PC3|ES2|U251MG	NA	NA	NA	NA	NA	NA
CC2D2A	57545	bioMart	20	10	A375|ES2|BICR6|AGS|YAPC|HT29|PC3|A549|MCF7|U251MG	NA	NA	NA	NA	NA	NA
CCDC116	164592	bioMart	20	10	AGS|MCF7|PC3|HT29|A375|U251MG|A549|BICR6|ES2|YAPC	NA	NA	NA	NA	NA	NA
CCDC121	79635	ENSG00000176714	20	10	MCF7|HT29|A549|ES2|YAPC|A375|U251MG|AGS|BICR6|PC3	NA	NA	NA	NA	NA	NA
CCDC122	160857	bioMart	20	10	U251MG|PC3|AGS|A375|ES2|A549|MCF7|YAPC|HT29|BICR6	NA	NA	NA	NA	NA	NA
CCDC134	79879	ENSG00000100147	20	10	MCF7|A549|ES2|YAPC|U251MG|PC3|AGS|A375|BICR6|HT29	NA	NA	NA	NA	NA	NA
CCDC141	285025	bioMart	20	10	A375|PC3|HT29|AGS|YAPC|BICR6|U251MG|ES2|MCF7|A549	NA	NA	NA	NA	NA	NA
CCDC158	339965	bioMart	20	10	PC3|A375|HT29|MCF7|AGS|A549|ES2|YAPC|BICR6|U251MG	NA	NA	NA	NA	NA	NA
CCDC181	57821	ENSG00000117477	20	10	A375|BICR6|PC3|AGS|A549|YAPC|HT29|ES2|U251MG|MCF7	NA	NA	NA	NA	NA	NA
CCDC50	152137	bioMart	20	10	PC3|BICR6|YAPC|AGS|ES2|U251MG|MCF7|HT29|A375|A549	NA	NA	NA	NA	NA	NA
CCDC51	79714	ENSG00000164051	20	10	PC3|A549|BICR6|A375|YAPC|U251MG|HT29|AGS|ES2|MCF7	NA	NA	NA	NA	NA	NA
CCDC62	84660	bioMart	20	10	A549|MCF7|BICR6|ES2|A375|YAPC|AGS|U251MG|HT29|PC3	NA	NA	NA	NA	NA	NA
CCDC7	79741	ENSG00000216937	20	10	A375|AGS|PC3|MCF7|HT29|A549|BICR6|YAPC|U251MG|ES2	NA	NA	NA	NA	NA	NA
CCDC71	64925	ENSG00000177352	20	10	U251MG|YAPC|BICR6|A375|PC3|A549|HT29|ES2|MCF7|AGS	NA	NA	NA	NA	NA	NA
CCDC77	84318	bioMart	20	10	A375|A549|AGS|YAPC|U251MG|HT29|MCF7|ES2|BICR6|PC3	NA	NA	NA	NA	NA	NA
CCDC85B	11007	ENSG00000175602	44	19	IPC298|A549|KYSE30|HS944T|HT29|LCLC103H|YAPC|ES2|DANG|HCC1806|A375|MCF7|AGS|U251MG|KELLY|BICR6|SNGM|PC3|SNU761	52	13	ES2|YAPC|HT29|MCF7|A375|U251MG|A549|AGS|HS944T|SNGM|DANG|BICR6|PC3	53	16	A375|ES2|PC3|A549|U251MG|SNU761|MCF7|HT29|IPC298|KELLY|YAPC|LCLC103H|BICR6|AGS|HCC1806|HS944T
CCDC86	79080	ENSG00000110104	44	19	PC3|A549|SNGM|ES2|HCC1806|U251MG|DANG|YAPC|HS944T|A375|HT29|MCF7|AGS|KELLY|LCLC103H|IPC298|KYSE30|SNU761|BICR6	50	12	U251MG|HT29|A549|ES2|BICR6|A375|PC3|AGS|MCF7|YAPC|DANG|SNGM	30	9	HCC44|AGS|MCF7|BICR6|A375|A549|PC3|ES2|YAPC
CCDC92	80212	ENSG00000119242	NA	NA	NA	40	13	A375|PC3|HT29|A549|MCF7|U251MG|AGS|BICR6|YAPC|ES2|KYSE30|SNGM|KELLY	2	2	MCF7|A549
CCKAR	886	ENSG00000163394	44	19	IPC298|LCLC103H|A549|HT29|U251MG|KYSE30|ES2|MCF7|SNGM|SNU761|HCC1806|A375|AGS|PC3|BICR6|YAPC|HS944T|DANG|KELLY	NA	NA	NA	NA	NA	NA
CCKBR	887	ENSG00000110148	44	19	U251MG|A375|AGS|A549|SNU761|ES2|DANG|SNGM|IPC298|HS944T|MCF7|LCLC103H|PC3|HCC1806|KYSE30|YAPC|BICR6|KELLY|HT29	NA	NA	NA	NA	NA	NA
CCL1	6346	ENSG00000108702	20	10	ES2|A375|AGS|BICR6|HT29|MCF7|YAPC|PC3|U251MG|A549	NA	NA	NA	NA	NA	NA
CCL11	6356	ENSG00000172156	20	10	BICR6|ES2|U251MG|YAPC|AGS|A549|A375|MCF7|HT29|PC3	NA	NA	NA	NA	NA	NA
CCL13	6357	ENSG00000181374	20	10	BICR6|MCF7|A375|ES2|HT29|U251MG|AGS|YAPC|A549|PC3	NA	NA	NA	NA	NA	NA
CCL17	6361	ENSG00000102970	20	10	MCF7|BICR6|A549|U251MG|PC3|YAPC|ES2|AGS|A375|HT29	NA	NA	NA	NA	NA	NA
CCL18	6362	ENSG00000275385	20	10	YAPC|ES2|A375|MCF7|U251MG|A549|AGS|HT29|PC3|BICR6	NA	NA	NA	NA	NA	NA
CCL19	6363	ENSG00000172724	20	10	PC3|A375|HT29|AGS|MCF7|A549|U251MG|BICR6|ES2|YAPC	NA	NA	NA	NA	NA	NA
CCL2	6347	ENSG00000108691	NA	NA	NA	37	10	PC3|YAPC|U251MG|AGS|SNU761|HT29|MCF7|A549|ES2|NA	9	7	A375|BICR6|ES2|A549|PC3|HT29|U251MG
CCL20	6364	ENSG00000115009	20	10	A549|ES2|U251MG|BICR6|AGS|HT29|A375|MCF7|PC3|YAPC	39	13	A549|HS944T|IPC298|ES2|A375|YAPC|BICR6|KELLY|U251MG|MCF7|AGS|HCC1806|NA	8	5	AGS|A549|A375|YAPC|ES2
CCL21	6366	ENSG00000137077	20	10	U251MG|HT29|MCF7|ES2|A549|BICR6|A375|PC3|AGS|YAPC	NA	NA	NA	NA	NA	NA
CCL22	6367	ENSG00000102962	20	10	PC3|MCF7|HT29|U251MG|BICR6|A549|YAPC|ES2|A375|AGS	NA	NA	NA	NA	NA	NA
CCL23	6368	ENSG00000274736	20	10	A549|AGS|ES2|HT29|U251MG|A375|YAPC|MCF7|BICR6|PC3	NA	NA	NA	NA	NA	NA
CCL24	6369	ENSG00000106178	20	10	A549|A375|U251MG|YAPC|ES2|AGS|MCF7|HT29|BICR6|PC3	NA	NA	NA	NA	NA	NA
CCL28	56477	bioMart	20	10	ES2|AGS|HT29|A375|U251MG|PC3|MCF7|YAPC|A549|BICR6	NA	NA	NA	NA	NA	NA
CCL3	6348	bioMart	40	10	AGS|HT29|YAPC|MCF7|A375|BICR6|PC3|A549|U251MG|ES2	NA	NA	NA	NA	NA	NA
CCL4	6351	ENSG00000275302	20	10	U251MG|A375|A549|PC3|BICR6|HT29|ES2|MCF7|YAPC|AGS	5	1	NA	NA	NA	NA
CCL5	6352	ENSG00000271503	20	10	AGS|PC3|MCF7|YAPC|ES2|A375|A549|U251MG|HT29|BICR6	NA	NA	NA	NA	NA	NA
CCL7	6354	ENSG00000108688	20	10	U251MG|HT29|YAPC|AGS|A549|BICR6|MCF7|A375|ES2|PC3	NA	NA	NA	NA	NA	NA
CCL8	6355	ENSG00000108700	20	10	AGS|PC3|A375|MCF7|YAPC|BICR6|HT29|A549|ES2|U251MG	NA	NA	NA	NA	NA	NA
CCM2L	140706	bioMart	20	10	HT29|AGS|A375|YAPC|U251MG|PC3|A549|MCF7|ES2|BICR6	NA	NA	NA	NA	NA	NA
CCNA1	8900	ENSG00000133101	44	19	ES2|DANG|KELLY|A549|U251MG|A375|YAPC|SNU761|HCC1806|LCLC103H|AGS|SNGM|KYSE30|BICR6|HT29|HS944T|MCF7|IPC298|PC3	27	1	NA	9	8	A549|MCF7|A375|AGS|ES2|HT29|U251MG|BICR6
CCNA2	890	ENSG00000145386	622	19	ES2|HT29|PC3|KELLY|U251MG|SNU761|LCLC103H|AGS|A549|MCF7|KYSE30|HCC1806|YAPC|HS944T|BICR6|A375|IPC298|SNGM|DANG	105	16	IPC298|HT29|A375|ES2|A549|MCF7|YAPC|AGS|U251MG|PC3|BICR6|DANG|HCC1806|SNGM|HS944T|NA	1	1	BICR6
CCNB1	891	ENSG00000134057	63	19	HT29|ES2|U251MG|SNGM|HCC1806|BICR6|A375|YAPC|A549|HS944T|IPC298|PC3|KYSE30|LCLC103H|AGS|SNU761|KELLY|MCF7|DANG	33	12	A549|ES2|A375|HT29|IPC298|PC3|SNGM|YAPC|MCF7|AGS|U251MG|NA	9	7	LCLC103H|MCF7|ES2|BICR6|PC3|SNU761|A549
CCNB2	9133	ENSG00000157456	NA	NA	NA	70	13	A549|HT29|PC3|AGS|YAPC|ES2|U251MG|A375|MCF7|KELLY|BICR6|SNU761|HS944T	10	9	U251MG|ES2|A549|MCF7|HT29|YAPC|A375|HS944T|PC3
CCNC	892	ENSG00000112237	20	10	PC3|HT29|A549|YAPC|BICR6|ES2|MCF7|AGS|A375|U251MG	30	9	U251MG|YAPC|A549|BICR6|A375|MCF7|AGS|ES2|NA	9	4	MCF7|PC3|A549|AGS
CCND1	595	ENSG00000110092	11	3	A549|ES2|HCC44	111	18	ES2|HCC44|A375|PC3|YAPC|A549|MCF7|U251MG|SNU761|IPC298|HCC1806|KELLY|BICR6|HT29|DANG|KYSE30|SNGM|NA	17	8	A375|A549|AGS|ES2|PC3|MCF7|KYSE30|HT29
CCND2	894	ENSG00000118971	20	10	ES2|AGS|HT29|U251MG|A375|MCF7|PC3|A549|BICR6|YAPC	36	13	MCF7|YAPC|ES2|PC3|LCLC103H|BICR6|HS944T|HT29|A549|AGS|SNU761|U251MG|A375	4	3	U251MG|HT29|MCF7
CCND3	896	ENSG00000112576	86	19	MCF7|HT29|HCC1806|ES2|PC3|DANG|IPC298|KYSE30|HS944T|A375|AGS|KELLY|A549|U251MG|YAPC|SNGM|SNU761|BICR6|LCLC103H	48	11	ES2|A375|A549|HT29|SNGM|BICR6|YAPC|U251MG|PC3|AGS|SNU761	8	5	A549|ES2|A375|MCF7|PC3
CCNE1	898	ENSG00000105173	31	11	HCC44|A549|ES2|PC3|YAPC|BICR6|A375|U251MG|AGS|MCF7|HT29	52	10	A375|MCF7|A549|YAPC|BICR6|U251MG|HT29|PC3|ES2|AGS	17	8	K562|A375|A549|ES2|U251MG|AGS|PC3|HT29
CCNE2	9134	ENSG00000175305	NA	NA	NA	24	1	NA	9	8	ES2|YAPC|KELLY|IPC298|KYSE30|SNU761|U251MG|BICR6
CCNF	899	ENSG00000162063	NA	NA	NA	39	12	A375|PC3|HT29|ES2|AGS|YAPC|SNGM|U251MG|A549|BICR6|MCF7|KYSE30	1	1	BICR6
CCNG1	900	ENSG00000113328	NA	NA	NA	38	11	PC3|BICR6|A375|IPC298|HT29|U251MG|AGS|A549|YAPC|ES2|NA	9	4	A375|HT29|PC3|MCF7
CCNG2	901	ENSG00000138764	NA	NA	NA	33	11	DANG|BICR6|ES2|AGS|A375|HS944T|U251MG|HT29|PC3|YAPC|NA	1	1	HT29
CCNH	902	ENSG00000134480	86	19	YAPC|DANG|KYSE30|A549|PC3|BICR6|ES2|MCF7|A375|LCLC103H|AGS|HS944T|HCC1806|IPC298|U251MG|SNGM|SNU761|HT29|KELLY	27	1	NA	9	7	U251MG|A375|A549|PC3|ES2|BICR6|YAPC
CCNK	8812	ENSG00000090061	NA	NA	NA	10	8	A375|YAPC|MCF7|ES2|BICR6|U251MG|A549|SNU761	1	1	ES2
CCNL1	57018	ENSG00000163660	NA	NA	NA	24	1	NA	9	7	BICR6|HS944T|A375|YAPC|A549|HT29|U251MG
CCNT1	904	ENSG00000129315	18	9	BICR6|A549|PC3|U251MG|YAPC|A375|ES2|AGS|HT29	10	6	HT29|BICR6|PC3|U251MG|ES2|A549	11	8	ES2|MCF7|A549|BICR6|KELLY|HT29|A375|AGS
CCNT2	905	ENSG00000082258	20	10	ES2|BICR6|YAPC|AGS|U251MG|MCF7|A549|A375|PC3|HT29	NA	NA	NA	NA	NA	NA
CCP110	9738	ENSG00000103540	NA	NA	NA	47	15	YAPC|AGS|ES2|KELLY|A549|PC3|U251MG|HT29|IPC298|HCC1806|SNU761|BICR6|HS944T|A375|KYSE30	1	1	ES2
CCR1	1230	ENSG00000163823	18	9	A375|A549|AGS|ES2|BICR6|PC3|HT29|U251MG|YAPC	NA	NA	NA	NA	NA	NA
CCR2	729230	ENSG00000121807	20	10	AGS|A549|A375|PC3|MCF7|HT29|ES2|U251MG|YAPC|BICR6	NA	NA	NA	NA	NA	NA
CCR3	1232	ENSG00000183625	20	10	A549|MCF7|AGS|A375|HT29|YAPC|U251MG|ES2|PC3|BICR6	NA	NA	NA	NA	NA	NA
CCR4	1233	ENSG00000183813	18	9	AGS|BICR6|A549|YAPC|HT29|PC3|U251MG|A375|ES2	NA	NA	NA	NA	NA	NA
CCR5	1234	ENSG00000160791	20	10	HT29|MCF7|PC3|ES2|A549|BICR6|AGS|A375|YAPC|U251MG	NA	NA	NA	NA	NA	NA
CCR6	1235	ENSG00000112486	20	10	PC3|AGS|U251MG|YAPC|A549|A375|MCF7|BICR6|ES2|HT29	NA	NA	NA	NA	NA	NA
CCR7	1236	ENSG00000126353	20	10	ES2|PC3|YAPC|A375|U251MG|MCF7|AGS|A549|BICR6|HT29	NA	NA	NA	NA	NA	NA
CCR9	10803	ENSG00000173585	20	10	AGS|U251MG|A549|A375|ES2|PC3|BICR6|YAPC|HT29|MCF7	NA	NA	NA	NA	NA	NA
CCRL2	9034	ENSG00000121797	20	10	ES2|PC3|A549|AGS|A375|BICR6|YAPC|HT29|U251MG|MCF7	24	1	NA	9	6	YAPC|U251MG|PC3|SNGM|MCF7|BICR6
CCSER1	401145	bioMart	20	10	A375|HT29|BICR6|PC3|MCF7|AGS|A549|U251MG|YAPC|ES2	NA	NA	NA	NA	NA	NA
CCT7	10574	ENSG00000135624	NA	NA	NA	48	13	SNGM|AGS|A375|HT29|PC3|BICR6|A549|ES2|U251MG|YAPC|SNU761|MCF7|LCLC103H	1	1	A549
CCT8	10694	ENSG00000156261	NA	NA	NA	46	15	A549|ES2|A375|BICR6|PC3|HS944T|KELLY|YAPC|MCF7|KYSE30|IPC298|SNU761|DANG|HT29|U251MG	9	7	U251MG|PC3|A549|A375|DANG|AGS|ES2
CD101	9398	ENSG00000134256	20	10	A549|BICR6|AGS|MCF7|ES2|U251MG|YAPC|HT29|A375|PC3	NA	NA	NA	NA	NA	NA
CD109	135228	bioMart	20	10	MCF7|AGS|HT29|U251MG|A375|A549|PC3|YAPC|BICR6|ES2	NA	NA	NA	NA	NA	NA
CD14	929	ENSG00000170458	20	10	AGS|A375|BICR6|A549|MCF7|YAPC|HT29|ES2|U251MG|PC3	46	12	MCF7|YAPC|ES2|AGS|A549|HT29|KELLY|U251MG|IPC298|A375|PC3|BICR6	10	8	U251MG|HT29|A549|MCF7|BICR6|AGS|SNGM|A375
CD151	977	ENSG00000177697	20	10	A375|U251MG|BICR6|YAPC|HT29|MCF7|PC3|A549|AGS|ES2	NA	NA	NA	NA	NA	NA
CD160	11126	ENSG00000117281	20	10	U251MG|ES2|A549|PC3|AGS|MCF7|A375|YAPC|HT29|BICR6	NA	NA	NA	NA	NA	NA
CD163	9332	ENSG00000177575	20	10	AGS|A549|YAPC|U251MG|BICR6|MCF7|ES2|PC3|HT29|A375	NA	NA	NA	NA	NA	NA
CD177	57126	ENSG00000204936	20	10	U251MG|MCF7|ES2|YAPC|A549|A375|AGS|PC3|BICR6|HT29	NA	NA	NA	NA	NA	NA
CD180	4064	ENSG00000134061	20	10	PC3|HT29|A549|AGS|A375|BICR6|MCF7|U251MG|ES2|YAPC	NA	NA	NA	NA	NA	NA
CD19	930	ENSG00000177455	20	10	AGS|HT29|MCF7|PC3|A549|ES2|U251MG|YAPC|A375|BICR6	89	17	HT29|U251MG|YAPC|PC3|ES2|BICR6|A549|MCF7|SNU761|AGS|A375|KELLY|HS944T|SNGM|KYSE30|IPC298|NA	9	5	PC3|BICR6|A549|HT29|ES2
CD1A	909	ENSG00000158477	20	10	BICR6|A549|U251MG|PC3|ES2|A375|YAPC|HT29|MCF7|AGS	NA	NA	NA	NA	NA	NA
CD1B	910	ENSG00000158485	20	10	PC3|BICR6|A375|MCF7|AGS|ES2|U251MG|YAPC|HT29|A549	NA	NA	NA	NA	NA	NA
CD1C	911	ENSG00000158481	20	10	YAPC|HT29|AGS|MCF7|U251MG|BICR6|PC3|A375|A549|ES2	12	10	ES2|HCC44|MCF7|DANG|AGS|YAPC|A549|BICR6|PC3|A375	8	6	A375|THP1|HT29|MCF7|PC3|A549
CD1D	912	ENSG00000158473	20	10	A549|MCF7|ES2|YAPC|PC3|U251MG|BICR6|AGS|A375|HT29	NA	NA	NA	NA	NA	NA
CD1E	913	ENSG00000158488	20	10	HT29|MCF7|ES2|YAPC|A375|A549|U251MG|BICR6|PC3|AGS	NA	NA	NA	NA	NA	NA
CD2	914	ENSG00000116824	20	10	HT29|YAPC|ES2|U251MG|AGS|A375|MCF7|PC3|BICR6|A549	5	1	NA	NA	NA	NA
CD200	4345	ENSG00000091972	20	10	HT29|YAPC|A549|MCF7|U251MG|A375|BICR6|AGS|PC3|ES2	NA	NA	NA	NA	NA	NA
CD200R1	131450	bioMart	20	10	AGS|ES2|A375|HT29|YAPC|U251MG|PC3|BICR6|MCF7|A549	NA	NA	NA	NA	NA	NA
CD207	50489	ENSG00000116031	20	10	AGS|BICR6|ES2|A375|YAPC|U251MG|MCF7|HT29|A549|PC3	NA	NA	NA	NA	NA	NA
CD209	30835	ENSG00000090659	20	10	ES2|HT29|MCF7|AGS|PC3|U251MG|A549|BICR6|YAPC|A375	NA	NA	NA	NA	NA	NA
CD22	933	ENSG00000012124	20	10	U251MG|ES2|AGS|BICR6|YAPC|PC3|HT29|A375|A549|MCF7	NA	NA	NA	NA	NA	NA
CD226	10666	ENSG00000150637	20	10	PC3|HT29|U251MG|A549|MCF7|BICR6|AGS|ES2|A375|YAPC	NA	NA	NA	NA	NA	NA
CD24	100133941	bioMart	20	10	YAPC|BICR6|ES2|PC3|U251MG|HT29|A375|AGS|A549|MCF7	30	12	YAPC|U251MG|ES2|PC3|A375|AGS|A549|BICR6|MCF7|HT29|HS944T|DANG	1	1	HT29
CD244	51744	ENSG00000122223	20	10	ES2|AGS|YAPC|U251MG|HT29|MCF7|A375|A549|PC3|BICR6	NA	NA	NA	NA	NA	NA
CD247	919	ENSG00000198821	20	10	A549|PC3|YAPC|U251MG|HT29|MCF7|A375|AGS|BICR6|ES2	NA	NA	NA	NA	NA	NA
CD248	57124	ENSG00000174807	20	10	U251MG|HT29|PC3|A375|ES2|A549|AGS|MCF7|BICR6|YAPC	NA	NA	NA	NA	NA	NA
CD27	939	ENSG00000139193	20	10	MCF7|YAPC|ES2|PC3|HT29|AGS|BICR6|A549|U251MG|A375	NA	NA	NA	NA	NA	NA
CD274	29126	bioMart	20	10	PC3|BICR6|HT29|ES2|MCF7|U251MG|AGS|YAPC|A549|A375	NA	NA	NA	NA	NA	NA
CD276	80381	bioMart	20	10	PC3|AGS|MCF7|A375|YAPC|ES2|U251MG|A549|BICR6|HT29	NA	NA	NA	NA	NA	NA
CD28	940	ENSG00000178562	20	10	ES2|A549|MCF7|U251MG|AGS|A375|PC3|HT29|BICR6|YAPC	NA	NA	NA	NA	NA	NA
CD2AP	23607	ENSG00000198087	20	10	U251MG|A375|ES2|HT29|YAPC|PC3|MCF7|A549|AGS|BICR6	NA	NA	NA	NA	NA	NA
CD2BP2	10421	ENSG00000169217	NA	NA	NA	36	12	IPC298|ES2|AGS|HT29|A549|A375|MCF7|HCC1806|YAPC|PC3|U251MG|NA	8	7	A375|YAPC|BICR6|MCF7|DANG|HT29|ES2
CD300A	11314	ENSG00000167851	20	10	A549|A375|MCF7|PC3|HT29|U251MG|ES2|BICR6|AGS|YAPC	NA	NA	NA	NA	NA	NA
CD300C	10871	ENSG00000167850	20	10	YAPC|AGS|HT29|PC3|ES2|MCF7|U251MG|A375|A549|BICR6	NA	NA	NA	NA	NA	NA
CD300E	342510	bioMart	20	10	A549|U251MG|HT29|AGS|BICR6|MCF7|ES2|A375|YAPC|PC3	NA	NA	NA	NA	NA	NA
CD300LB	124599	bioMart	20	10	MCF7|HT29|U251MG|PC3|AGS|YAPC|ES2|A375|BICR6|A549	NA	NA	NA	NA	NA	NA
CD300LD	100131439	bioMart	20	10	AGS|A549|PC3|HT29|U251MG|ES2|YAPC|BICR6|MCF7|A375	NA	NA	NA	NA	NA	NA
CD300LF	146722	bioMart	20	10	MCF7|BICR6|U251MG|ES2|A375|HT29|AGS|PC3|YAPC|A549	NA	NA	NA	NA	NA	NA
CD300LG	146894	bioMart	20	10	ES2|A375|BICR6|A549|MCF7|U251MG|PC3|AGS|HT29|YAPC	NA	NA	NA	NA	NA	NA
CD302	9936	ENSG00000241399	20	10	YAPC|HT29|PC3|ES2|U251MG|A549|MCF7|AGS|A375|BICR6	NA	NA	NA	NA	NA	NA
CD320	51293	ENSG00000167775	44	19	U251MG|KYSE30|HCC1806|IPC298|DANG|A549|SNU761|ES2|A375|HS944T|LCLC103H|AGS|YAPC|SNGM|MCF7|PC3|BICR6|KELLY|HT29	53	11	MCF7|HT29|AGS|BICR6|A375|A549|ES2|PC3|U251MG|KELLY|YAPC	7	6	PC3|U251MG|HT29|YAPC|A375|MCF7
CD33	945	ENSG00000105383	20	10	AGS|PC3|HT29|U251MG|YAPC|A375|MCF7|BICR6|ES2|A549	NA	NA	NA	NA	NA	NA
CD34	947	ENSG00000174059	20	10	A375|AGS|MCF7|YAPC|A549|BICR6|HT29|PC3|ES2|U251MG	NA	NA	NA	NA	NA	NA
CD36	948	ENSG00000135218	20	10	PC3|AGS|A549|A375|BICR6|HT29|ES2|YAPC|MCF7|U251MG	NA	NA	NA	NA	NA	NA
CD37	951	ENSG00000104894	20	10	AGS|HT29|MCF7|PC3|YAPC|BICR6|U251MG|ES2|A549|A375	NA	NA	NA	NA	NA	NA
CD38	952	ENSG00000004468	20	10	HT29|U251MG|AGS|A375|ES2|YAPC|A549|MCF7|BICR6|PC3	NA	NA	NA	NA	NA	NA
CD3D	915	ENSG00000167286	20	10	A375|A549|AGS|HT29|MCF7|BICR6|U251MG|YAPC|PC3|ES2	8	6	A375|ES2|BICR6|KELLY|HT29|MCF7	4	2	A375|PC3
CD3E	916	ENSG00000198851	20	10	AGS|A375|PC3|HT29|BICR6|U251MG|MCF7|YAPC|ES2|A549	NA	NA	NA	NA	NA	NA
CD3G	917	ENSG00000160654	20	10	HT29|PC3|AGS|MCF7|BICR6|A549|ES2|YAPC|A375|U251MG	NA	NA	NA	NA	NA	NA
CD4	920	ENSG00000010610	20	10	BICR6|A549|A375|PC3|ES2|MCF7|U251MG|YAPC|AGS|HT29	NA	NA	NA	NA	NA	NA
CD40	958	ENSG00000101017	44	19	IPC298|PC3|A375|BICR6|HT29|MCF7|SNGM|A549|KELLY|ES2|SNU761|KYSE30|YAPC|DANG|HS944T|LCLC103H|AGS|U251MG|HCC1806	32	6	A375|A549|ES2|MCF7|HT29|NA	12	7	HCC44|A375|AGS|MCF7|HS944T|HT29|YAPC
CD40LG	959	ENSG00000102245	20	10	U251MG|HT29|YAPC|MCF7|A549|AGS|BICR6|A375|PC3|ES2	NA	NA	NA	NA	NA	NA
CD44	960	ENSG00000026508	NA	NA	NA	75	14	ES2|A375|A549|BICR6|HT29|PC3|U251MG|IPC298|AGS|SNU761|YAPC|MCF7|SNGM|HS944T	4	4	HCC44|MCF7|U251MG|HT29
CD46	4179	ENSG00000117335	20	10	A375|MCF7|A549|YAPC|ES2|BICR6|U251MG|HT29|PC3|AGS	27	1	NA	NA	NA	NA
CD47	961	ENSG00000196776	20	10	BICR6|A549|U251MG|HT29|MCF7|YAPC|PC3|A375|ES2|AGS	NA	NA	NA	NA	NA	NA
CD48	962	ENSG00000117091	20	10	HT29|U251MG|AGS|PC3|MCF7|A549|A375|YAPC|ES2|BICR6	NA	NA	NA	NA	NA	NA
CD5	921	ENSG00000110448	20	10	AGS|ES2|BICR6|PC3|A375|HT29|MCF7|A549|U251MG|YAPC	NA	NA	NA	NA	NA	NA
CD52	1043	ENSG00000169442	20	10	U251MG|AGS|PC3|HT29|ES2|MCF7|BICR6|A375|YAPC|A549	NA	NA	NA	NA	NA	NA
CD53	963	ENSG00000143119	20	10	YAPC|U251MG|AGS|HT29|A549|PC3|A375|ES2|BICR6|MCF7	NA	NA	NA	NA	NA	NA
CD55	1604	ENSG00000196352	18	9	YAPC|PC3|BICR6|U251MG|AGS|HT29|A549|A375|ES2	27	1	NA	9	7	ES2|SNU761|HS944T|BICR6|U251MG|HT29|A549
