ID	Geneid	hgnc_symbol	entrezgene_id	biotype
CDH4 (1002)	ENSG00000179242	CDH4	1002	protein_coding
GNE (10020)	ENSG00000159921	GNE	10020	protein_coding
HCN4 (10021)	ENSG00000138622	HCN4	10021	protein_coding
INSL5 (10022)	ENSG00000172410	INSL5	10022	protein_coding
FRAT1 (10023)	ENSG00000165879	FRAT1	10023	protein_coding
TROAP (10024)	ENSG00000135451	TROAP	10024	protein_coding
MED16 (10025)	ENSG00000175221	MED16	10025	protein_coding
PIGK (10026)	ENSG00000142892	PIGK	10026	protein_coding
ARHGEF33 (100271715)	ENSG00000214694	ARHGEF33	100271715	protein_coding
ERVV-2 (100271846)	ENSG00000268964	ERVV-2	100271846	protein_coding
MEF2B (100271849)	ENSG00000213999	MEF2B	100271849	protein_coding
RASA4B (100271927)	ENSG00000170667	RASA4B	100271927	protein_coding
CMC4 (100272147)	ENSG00000182712	CMC4	100272147	protein_coding
USP17L10 (100287144)	ENSG00000231396	USP17L10	100287144	protein_coding
ZNF729 (100287226)	ENSG00000196350	ZNF729	100287226	protein_coding
USP17L13 (100287238)	ENSG00000232399	USP17L13	100287238	protein_coding
MANSC4 (100287284)	ENSG00000205693	MANSC4	100287284	protein_coding
SMKR1 (100287482)	ENSG00000240204	SMKR1	100287482	protein_coding
ANKRD66 (100287718)	ENSG00000230062	ANKRD66	100287718	protein_coding
TTC34 (100287898)	ENSG00000215912	TTC34	100287898	protein_coding
TIMM23 (100287932)	ENSG00000265354	TIMM23	100287932	protein_coding
KRTAP22-2 (100288287)	ENSG00000206106	KRTAP22-2	100288287	protein_coding
KRTAP21-3 (100288323)	ENSG00000231068	KRTAP21-3	100288323	protein_coding
NPIPA5 (100288332)	ENSG00000183793	NPIPA5	100288332	protein_coding
MTRNR2L7 (100288485)	ENSG00000256892	MTRNR2L7	100288485	protein_coding
DUX4 (100288687)	ENSG00000260596	DUX4	100288687	protein_coding
TMEM239 (100288797)	ENSG00000198326	TMEM239	100288797	protein_coding
FRG2C (100288801)	ENSG00000172969	FRG2C	100288801	protein_coding
DEFB4B (100289462)	ENSG00000177257	DEFB4B	100289462	protein_coding
ZNF605 (100289635)	ENSG00000196458	ZNF605	100289635	protein_coding
ZNF783 (100289678)	ENSG00000204946	ZNF783	100289678	protein_coding
ZNF587B (100293516)	ENSG00000269343	ZNF587B	100293516	protein_coding
CDH5 (1003)	ENSG00000179776	CDH5	1003	protein_coding
PET117 (100303755)	ENSG00000232838	PET117	100303755	protein_coding
ANKRD61 (100310846)	ENSG00000157999	ANKRD61	100310846	protein_coding
SAP25 (100316904)	ENSG00000205307	SAP25	100316904	protein_coding
CHAF1A (10036)	ENSG00000167670	CHAF1A	10036	protein_coding
PARP2 (10038)	ENSG00000129484	PARP2	10038	protein_coding
ZBED6 (100381270)	ENSG00000257315	ZBED6	100381270	protein_coding
PARP3 (10039)	ENSG00000041880	PARP3	10039	protein_coding
CDH6 (1004)	ENSG00000113361	CDH6	1004	protein_coding
TOM1L1 (10040)	ENSG00000141198	TOM1L1	10040	protein_coding
HMGXB4 (10042)	ENSG00000100281	HMGXB4	10042	protein_coding
MSANTD7 (100421372)	ENSG00000284024	AC069544.2	100421372	protein_coding
IGLL5 (100423062)	ENSG00000254709	IGLL5	100423062	protein_coding
TOM1 (10043)	ENSG00000100284	TOM1	10043	protein_coding
KLRF2 (100431172)	ENSG00000256797	KLRF2	100431172	protein_coding
SH2D3C (10044)	ENSG00000095370	SH2D3C	10044	protein_coding
SH2D3A (10045)	ENSG00000125731	SH2D3A	10045	protein_coding
MAMLD1 (10046)	ENSG00000013619	MAMLD1	10046	protein_coding
MTRNR2L1 (100462977)	ENSG00000256618	MTRNR2L1	100462977	protein_coding
MTRNR2L3 (100462983)	ENSG00000256222	MTRNR2L3	100462983	protein_coding
MTRNR2L4 (100463285)	ENSG00000232196	MTRNR2L4	100463285	protein_coding
MTRNR2L5 (100463289)	ENSG00000249860	MTRNR2L5	100463289	protein_coding
