Cell.type,Immunity,Name_in_19cell,hgnc_symbol,entrezgene_id,ensembl_gene_id
Natural killer T cell,Innate,NKT activated,CNPY4,245812,ENSG00000166997
Natural killer T cell,Innate,NKT activated,CRTC2,200186,ENSG00000160741
Natural killer T cell,Innate,NKT activated,ISM2,145501,ENSG00000100593
Natural killer T cell,Innate,NKT activated,CD109,135228,ENSG00000156535
Natural killer T cell,Innate,NKT activated,HSPB6,126393,ENSG00000004776
Natural killer T cell,Innate,NKT activated,TSLP,85480,ENSG00000145777
Natural killer T cell,Innate,NKT activated,NFATC2IP,84901,ENSG00000176953
Natural killer T cell,Innate,NKT activated,KIRREL3,84623,ENSG00000149571
Natural killer T cell,Innate,NKT activated,CRTC3,64784,ENSG00000140577
Natural killer T cell,Innate,NKT activated,CCDC88A,55704,ENSG00000115355
Natural killer T cell,Innate,NKT activated,TREM2,54209,ENSG00000095970
Natural killer T cell,Innate,NKT activated,UBASH3A,53347,ENSG00000160185
Natural killer T cell,Innate,NKT activated,CLEC1A,51267,ENSG00000150048
Natural killer T cell,Innate,NKT activated,YBX2,51087,ENSG00000006047
Natural killer T cell,Innate,NKT activated,KDM4C,23081,ENSG00000107077
Natural killer T cell,Innate,NKT activated,LILRB5,10990,ENSG00000105609
Natural killer T cell,Innate,NKT activated,CNPY3,10695,ENSG00000137161
Natural killer T cell,Innate,NKT activated,PDPN,10630,ENSG00000162493
Natural killer T cell,Innate,NKT activated,BTN2A2,10385,ENSG00000124508
Natural killer T cell,Innate,NKT activated,KLRG1,10219,ENSG00000139187
Natural killer T cell,Innate,NKT activated,NCR1,9437,ENSG00000189430
Natural killer T cell,Innate,NKT activated,CD101,9398,ENSG00000134256
Natural killer T cell,Innate,NKT activated,IL32,9235,ENSG00000008517
Natural killer T cell,Innate,NKT activated,SLC7A7,9056,ENSG00000155465
Natural killer T cell,Innate,NKT activated,FOSL1,8061,ENSG00000175592
Natural killer T cell,Innate,NKT activated,VCAM1,7412,ENSG00000162692
Natural killer T cell,Innate,NKT activated,THBD,7056,ENSG00000178726
Natural killer T cell,Innate,NKT activated,SPP1,6696,ENSG00000118785
Natural killer T cell,Innate,NKT activated,SDCBP,6386,ENSG00000137575
Natural killer T cell,Innate,NKT activated,MICB,4277,ENSG00000204516
Natural killer T cell,Innate,NKT activated,LAMP2,3920,ENSG00000005893
Natural killer T cell,Innate,NKT activated,KLRC1,3821,ENSG00000134545
Natural killer T cell,Innate,NKT activated,KIR3DL2,3812,ENSG00000240403
Natural killer T cell,Innate,NKT activated,KIR3DL1,3811,ENSG00000167633
Natural killer T cell,Innate,NKT activated,KIR2DS4,3809,ENSG00000221957
Natural killer T cell,Innate,NKT activated,KIR2DL3,3804,ENSG00000243772
Natural killer T cell,Innate,NKT activated,KIR2DL1,3802,ENSG00000125498
Natural killer T cell,Innate,NKT activated,ITIH2,3698,ENSG00000151655
Natural killer T cell,Innate,NKT activated,ICAM2,3384,ENSG00000108622
Natural killer T cell,Innate,NKT activated,HSPA4,3308,ENSG00000170606
Natural killer T cell,Innate,NKT activated,FUT4,2526,ENSG00000196371
Natural killer T cell,Innate,NKT activated,CSF2,1437,ENSG00000164400
Natural killer T cell,Innate,NKT activated,CREB1,1385,ENSG00000118260
Neutrophil,Innate,Neutrophils,C1orf183,55924,ENSG00000197852
Neutrophil,Innate,Neutrophils,APOBEC3A,200315,ENSG00000128383
Neutrophil,Innate,Neutrophils,BTNL8,79908,ENSG00000113303
Neutrophil,Innate,Neutrophils,STEAP4,79689,ENSG00000127954
Neutrophil,Innate,Neutrophils,MMP25,64386,ENSG00000008516
Neutrophil,Innate,Neutrophils,VNN3,55350,ENSG00000093134
Neutrophil,Innate,Neutrophils,CHST15,51363,ENSG00000182022
Neutrophil,Innate,Neutrophils,CREB5,9586,ENSG00000146592
Neutrophil,Innate,Neutrophils,MGAM,8972,ENSG00000257335
Neutrophil,Innate,Neutrophils,TNFRSF10C,8794,ENSG00000173535
Neutrophil,Innate,Neutrophils,S100A12,6283,ENSG00000163221
Neutrophil,Innate,Neutrophils,MAK,4117,ENSG00000111837
Neutrophil,Innate,Neutrophils,CXCR2,3579,ENSG00000180871
Neutrophil,Innate,Neutrophils,CXCR1,3577,ENSG00000163464
Neutrophil,Innate,Neutrophils,HAL,3034,ENSG00000084110
Neutrophil,Innate,Neutrophils,FFAR2,2867,ENSG00000126262
Neutrophil,Innate,Neutrophils,CDA,978,ENSG00000158825
Neutrophil,Innate,Neutrophils,CASP5,838,ENSG00000137757
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,SEPX1,51734,ENSG00000198736
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,CD300LF,146722,ENSG00000186074
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,SIRPA,140885,ENSG00000198053
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,RETNLB,84666,ENSG00000163515
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,ABTB1,80325,ENSG00000114626
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,PROK2,60675,ENSG00000163421
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,PHRF1,57661,ENSG00000070047
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,RNF141,50862,ENSG00000110315
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,HIGD1A,25994,ENSG00000181061
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,KRT23,25984,ENSG00000108244
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,CBX6,23466,ENSG00000183741
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,GABARAP,11337,ENSG00000170296
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,TMED2,10959,ENSG00000086598
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,DDX17,10521,ENSG00000100201
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,KLHL21,9903,ENSG00000162413
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,SERTAD2,9792,ENSG00000179833
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,PDIA4,9601,ENSG00000155660
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,MAGED1,9500,ENSG00000179222
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,OFD1,8481,ENSG00000046651
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,OGT,8473,ENSG00000147162
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,SEC14L1,6397,ENSG00000129657
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,RALB,5899,ENSG00000144118
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,NUCB2,4925,ENSG00000070081
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,ITGA2B,3674,ENSG00000005961
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,IL3RA,3563,ENSG00000185291
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,IGF1,3479,ENSG00000017427
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,IDH3A,3419,ENSG00000166411
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,GPX1,2876,ENSG00000233276
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,FCAR,2204,ENSG00000186431
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,ENG,2022,ENSG00000106991
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,EMP3,2014,ENSG00000142227
Plasmacytoid dendritic cell,Innate,Plasmacytoid dendritic cells,DAB2,1601,ENSG00000153071
Type 17 T helper cell,Adaptive,T helper 17,GPR44,11251,ENSG00000183134
Type 17 T helper cell,Adaptive,T helper 17,C2CD4B,388125,ENSG00000205502
Type 17 T helper cell,Adaptive,T helper 17,ILDR1,286676,ENSG00000145103
Type 17 T helper cell,Adaptive,T helper 17,SH2D6,284948,ENSG00000152292
Type 17 T helper cell,Adaptive,T helper 17,C2CD4A,145741,ENSG00000198535
Type 17 T helper cell,Adaptive,T helper 17,IL17RE,132014,ENSG00000163701
Type 17 T helper cell,Adaptive,T helper 17,ANKRD22,118932,ENSG00000152766
Type 17 T helper cell,Adaptive,T helper 17,IL17F,112744,ENSG00000112116
Type 17 T helper cell,Adaptive,T helper 17,CCDC65,85478,ENSG00000139537
Type 17 T helper cell,Adaptive,T helper 17,IL17RC,84818,ENSG00000163702
Type 17 T helper cell,Adaptive,T helper 17,ADAMTS12,81792,ENSG00000151388
Type 17 T helper cell,Adaptive,T helper 17,LONRF3,79836,ENSG00000175556
Type 17 T helper cell,Adaptive,T helper 17,TNIP2,79155,ENSG00000168884
Type 17 T helper cell,Adaptive,T helper 17,IFT80,57560,ENSG00000068885
Type 17 T helper cell,Adaptive,T helper 17,IL23A,51561,ENSG00000110944
Type 17 T helper cell,Adaptive,T helper 17,IL17C,27189,ENSG00000124391
Type 17 T helper cell,Adaptive,T helper 17,IL17RA,23765,ENSG00000177663
Type 17 T helper cell,Adaptive,T helper 17,CAMTA1,23261,ENSG00000171735
Type 17 T helper cell,Adaptive,T helper 17,CCR9,10803,ENSG00000173585
Type 17 T helper cell,Adaptive,T helper 17,B3GALT2,8707,ENSG00000162630
Type 17 T helper cell,Adaptive,T helper 17,ABCB1,5243,ENSG00000085563
Type 17 T helper cell,Adaptive,T helper 17,IL17A,3605,ENSG00000112115
Type 17 T helper cell,Adaptive,T helper 17,CEACAM3,1084,ENSG00000170956
Type 17 T helper cell,Adaptive,T helper 17,CD40,958,ENSG00000101017
Type 17 T helper cell,Adaptive,T helper 17,CA2,760,ENSG00000104267
Type 17 T helper cell,Adaptive,T helper 17,ANK1,286,ENSG00000029534
Type 17 T helper cell,Adaptive,T helper 17,ABCA1,19,ENSG00000165029
