Cell.type,Immunity,Name_in_19cell,hgnc_symbol,entrezgene_id,ensembl_gene_id
Activated CD8 T cell,Adaptive,CD8 T cell activated,CD3E,916,ENSG00000198851
Activated CD8 T cell,Adaptive,CD8 T cell activated,CD3D,915,ENSG00000167286
Activated dendritic cell,Innate,Dendritic cells activated,ATP5B,506,ENSG00000110955
Activated dendritic cell,Innate,Dendritic cells activated,ATP5L,10632,ENSG00000167283
Activated dendritic cell,Innate,Dendritic cells activated,CCL3L3,414062,ENSG00000276085
Activated dendritic cell,Innate,Dendritic cells activated,TREML1,340205,ENSG00000161911
Activated dendritic cell,Innate,Dendritic cells activated,TREML4,285852,ENSG00000188056
Activated dendritic cell,Innate,Dendritic cells activated,CLEC4C,170482,ENSG00000198178
Activated dendritic cell,Innate,Dendritic cells activated,SLAMF9,89886,ENSG00000162723
Activated dendritic cell,Innate,Dendritic cells activated,SPCS3,60559,ENSG00000129128
Activated dendritic cell,Innate,Dendritic cells activated,TREM1,54210,ENSG00000124731
Activated dendritic cell,Innate,Dendritic cells activated,SLC25A37,51312,ENSG00000147454
Activated dendritic cell,Innate,Dendritic cells activated,CD207,50489,ENSG00000116031
Activated dendritic cell,Innate,Dendritic cells activated,XPO6,23214,ENSG00000169180
Activated dendritic cell,Innate,Dendritic cells activated,UBD,10537,ENSG00000213886
Activated dendritic cell,Innate,Dendritic cells activated,ACTR3,10096,ENSG00000115091
Activated dendritic cell,Innate,Dendritic cells activated,SRA1,10011,ENSG00000213523
Activated dendritic cell,Innate,Dendritic cells activated,CD302,9936,ENSG00000241399
Activated dendritic cell,Innate,Dendritic cells activated,SNURF,8926,ENSG00000273173
Activated dendritic cell,Innate,Dendritic cells activated,CCNA1,8900,ENSG00000133101
Activated dendritic cell,Innate,Dendritic cells activated,VNN2,8875,ENSG00000112303
Activated dendritic cell,Innate,Dendritic cells activated,SIGLEC5,8778,ENSG00000105501
Activated dendritic cell,Innate,Dendritic cells activated,TNFRSF6B,8771,ENSG00000243509
Activated dendritic cell,Innate,Dendritic cells activated,TNFSF14,8740,ENSG00000125735
Activated dendritic cell,Innate,Dendritic cells activated,TNFAIP2,7127,ENSG00000185215
Activated dendritic cell,Innate,Dendritic cells activated,SLA,6503,ENSG00000155926
Activated dendritic cell,Innate,Dendritic cells activated,RAB1A,5861,ENSG00000138069
Activated dendritic cell,Innate,Dendritic cells activated,NOS2,4843,ENSG00000007171
Activated dendritic cell,Innate,Dendritic cells activated,HLA-DQA2,3118,ENSG00000237541
Activated dendritic cell,Innate,Dendritic cells activated,CEACAM8,1088,ENSG00000124469
Activated dendritic cell,Innate,Dendritic cells activated,CAPG,822,ENSG00000042493
Activated dendritic cell,Innate,Dendritic cells activated,C1QC,714,ENSG00000159189
Activated dendritic cell,Innate,Dendritic cells activated,C1QB,713,ENSG00000173369
Activated dendritic cell,Innate,Dendritic cells activated,BCL2L1,598,ENSG00000171552
Activated dendritic cell,Innate,Dendritic cells activated,ATP6V1A,523,ENSG00000114573
Activated dendritic cell,Innate,Dendritic cells activated,RHOA,387,ENSG00000067560
Activated dendritic cell,Innate,Dendritic cells activated,ABCD1,215,ENSG00000101986
CD56bright natural killer cell,Innate,NK resting,C11orf75,56935,ENSG00000166002
CD56bright natural killer cell,Innate,NK resting,ClQA,712,ENSG00000173372
CD56bright natural killer cell,Innate,NK resting,ClQB,713,ENSG00000173369
CD56bright natural killer cell,Innate,NK resting,CTPS,1503,ENSG00000171793
CD56bright natural killer cell,Innate,NK resting,FAM119A,151194,ENSG00000144401
CD56bright natural killer cell,Innate,NK resting,FAM179A,165186,ENSG00000189350
CD56bright natural killer cell,Innate,NK resting,HDGFRP2,84717,ENSG00000167674
CD56bright natural killer cell,Innate,NK resting,CREB3L4,148327,ENSG00000143578
CD56bright natural killer cell,Innate,NK resting,MYL6B,140465,ENSG00000196465
CD56bright natural killer cell,Innate,NK resting,CDHR1,92211,ENSG00000148600
CD56bright natural killer cell,Innate,NK resting,ELMOD3,84173,ENSG00000115459
CD56bright natural killer cell,Innate,NK resting,NAA16,79612,ENSG00000172766
CD56bright natural killer cell,Innate,NK resting,BCL11B,64919,ENSG00000127152
CD56bright natural killer cell,Innate,NK resting,MLST8,64223,ENSG00000167965
CD56bright natural killer cell,Innate,NK resting,C5orf15,56951,ENSG00000113583
CD56bright natural killer cell,Innate,NK resting,DCAF12,25853,ENSG00000198876
CD56bright natural killer cell,Innate,NK resting,HEY1,23462,ENSG00000164683
CD56bright natural killer cell,Innate,NK resting,HCP5,10866,ENSG00000206337
CD56bright natural killer cell,Innate,NK resting,EIF3M,10480,ENSG00000149100
CD56bright natural killer cell,Innate,NK resting,FST,10468,ENSG00000134363
CD56bright natural killer cell,Innate,NK resting,HS3ST1,9957,ENSG00000002587
CD56bright natural killer cell,Innate,NK resting,HS2ST1,9653,ENSG00000153936
CD56bright natural killer cell,Innate,NK resting,COX7A2L,9167,ENSG00000115944
CD56bright natural killer cell,Innate,NK resting,DYNLL1,8655,ENSG00000088986
CD56bright natural killer cell,Innate,NK resting,GPR137B,7107,ENSG00000077585
CD56bright natural killer cell,Innate,NK resting,KRT86,3892,ENSG00000170442
CD56bright natural killer cell,Innate,NK resting,HOXA1,3198,ENSG00000105991
CD56bright natural killer cell,Innate,NK resting,HDC,3067,ENSG00000140287
CD56bright natural killer cell,Innate,NK resting,GMPR,2766,ENSG00000137198
CD56bright natural killer cell,Innate,NK resting,GATA2,2624,ENSG00000179348
CD56bright natural killer cell,Innate,NK resting,CYP27B1,1594,ENSG00000111012
CD56bright natural killer cell,Innate,NK resting,CTSD,1509,ENSG00000117984
CD56bright natural killer cell,Innate,NK resting,CSTB,1476,ENSG00000160213
CD56bright natural killer cell,Innate,NK resting,CSTA,1475,ENSG00000121552
CD56bright natural killer cell,Innate,NK resting,CSNK2A2,1459,ENSG00000070770
CD56bright natural killer cell,Innate,NK resting,CSF1,1435,ENSG00000184371
CD56bright natural killer cell,Innate,NK resting,CLIC2,1193,ENSG00000155962
CD56bright natural killer cell,Innate,NK resting,CDH3,1001,ENSG00000062038
CD56bright natural killer cell,Innate,NK resting,ENTPD5,957,ENSG00000187097
CD56bright natural killer cell,Innate,NK resting,ABAT,18,ENSG00000183044
Central memory CD4 T cell,Adaptive,CD4 T cell resting,ANXA2P2,304,ENSG00000231991
Central memory CD4 T cell,Adaptive,CD4 T cell resting,ATHL1,80162,ENSG00000142102
Central memory CD4 T cell,Adaptive,CD4 T cell resting,PKM2,5315,ENSG00000067225
Central memory CD4 T cell,Adaptive,CD4 T cell resting,ABHD3,171586,ENSG00000158201
Central memory CD4 T cell,Adaptive,CD4 T cell resting,SFXN3,81855,ENSG00000107819
Central memory CD4 T cell,Adaptive,CD4 T cell resting,AHNAK,79026,ENSG00000124942
Central memory CD4 T cell,Adaptive,CD4 T cell resting,ELMO2,63916,ENSG00000062598
Central memory CD4 T cell,Adaptive,CD4 T cell resting,SIRPG,55423,ENSG00000089012
Central memory CD4 T cell,Adaptive,CD4 T cell resting,BZW2,28969,ENSG00000136261
Central memory CD4 T cell,Adaptive,CD4 T cell resting,GLIPR1,11010,ENSG00000139278
Central memory CD4 T cell,Adaptive,CD4 T cell resting,IFITM2,10581,ENSG00000185201
Central memory CD4 T cell,Adaptive,CD4 T cell resting,TRADD,8717,ENSG00000102871
Central memory CD4 T cell,Adaptive,CD4 T cell resting,VIM,7431,ENSG00000026025
Central memory CD4 T cell,Adaptive,CD4 T cell resting,STX4,6810,ENSG00000103496
Central memory CD4 T cell,Adaptive,CD4 T cell resting,NDUFB9,4715,ENSG00000147684
Central memory CD4 T cell,Adaptive,CD4 T cell resting,SMAD4,4089,ENSG00000141646
Central memory CD4 T cell,Adaptive,CD4 T cell resting,LSP1,4046,ENSG00000130592
Central memory CD4 T cell,Adaptive,CD4 T cell resting,ITGB2,3689,ENSG00000160255
Central memory CD4 T cell,Adaptive,CD4 T cell resting,ITGB1,3688,ENSG00000150093
Central memory CD4 T cell,Adaptive,CD4 T cell resting,GSS,2937,ENSG00000100983
Central memory CD4 T cell,Adaptive,CD4 T cell resting,XRCC6,2547,ENSG00000196419
Central memory CD4 T cell,Adaptive,CD4 T cell resting,FYN,2534,ENSG00000010810
Central memory CD4 T cell,Adaptive,CD4 T cell resting,CYLD,1540,ENSG00000083799
Central memory CD4 T cell,Adaptive,CD4 T cell resting,COL4A1,1282,ENSG00000187498
Central memory CD4 T cell,Adaptive,CD4 T cell resting,CD63,967,ENSG00000135404
Central memory CD4 T cell,Adaptive,CD4 T cell resting,KLF5,688,ENSG00000102554
Central memory CD4 T cell,Adaptive,CD4 T cell resting,BMI1,648,ENSG00000168283
Central memory CD4 T cell,Adaptive,CD4 T cell resting,AQP3,360,ENSG00000165272
Central memory CD8 T cell,Adaptive,CD8 T cell resting,ULBP1,80329,ENSG00000111981
Central memory CD8 T cell,Adaptive,CD8 T cell resting,RNF128,79589,ENSG00000133135
Central memory CD8 T cell,Adaptive,CD8 T cell resting,NOL11,25926,ENSG00000130935
Central memory CD8 T cell,Adaptive,CD8 T cell resting,TOX4,9878,ENSG00000092203
Central memory CD8 T cell,Adaptive,CD8 T cell resting,TNFRSF11A,8792,ENSG00000141655
Central memory CD8 T cell,Adaptive,CD8 T cell resting,ADAM12,8038,ENSG00000148848
Central memory CD8 T cell,Adaptive,CD8 T cell resting,UBA52,7311,ENSG00000221983
Central memory CD8 T cell,Adaptive,CD8 T cell resting,SIGLEC1,6614,ENSG00000088827
Central memory CD8 T cell,Adaptive,CD8 T cell resting,RARA,5914,ENSG00000131759
Central memory CD8 T cell,Adaptive,CD8 T cell resting,NTRK1,4914,ENSG00000198400
Central memory CD8 T cell,Adaptive,CD8 T cell resting,IL1RN,3557,ENSG00000136689
Central memory CD8 T cell,Adaptive,CD8 T cell resting,GUSB,2990,ENSG00000169919
Central memory CD8 T cell,Adaptive,CD8 T cell resting,GM2A,2760,ENSG00000196743
Central memory CD8 T cell,Adaptive,CD8 T cell resting,GLUD1,2746,ENSG00000148672
Central memory CD8 T cell,Adaptive,CD8 T cell resting,FKBP4,2288,ENSG00000004478
Central memory CD8 T cell,Adaptive,CD8 T cell resting,FGF7,2252,ENSG00000140285
Central memory CD8 T cell,Adaptive,CD8 T cell resting,FCGR3B,2215,ENSG00000162747
Central memory CD8 T cell,Adaptive,CD8 T cell resting,FCER1G,2207,ENSG00000158869
Central memory CD8 T cell,Adaptive,CD8 T cell resting,F13A1,2162,ENSG00000124491
Central memory CD8 T cell,Adaptive,CD8 T cell resting,ADCY9,115,ENSG00000162104
Central memory CD8 T cell,Adaptive,CD8 T cell resting,ACTN4,81,ENSG00000130402
Eosinophil,Innate,Eosinophils,EMR3,84658,ENSG00000131355
Eosinophil,Innate,Eosinophils,KRT18P50,442236,ENSG00000219941
Eosinophil,Innate,Eosinophils,PKD2L2,27039,ENSG00000078795
Eosinophil,Innate,Eosinophils,DAPK2,23604,ENSG00000035664
Eosinophil,Innate,Eosinophils,RRP12,23223,ENSG00000052749
Eosinophil,Innate,Eosinophils,ST3GAL6,10402,ENSG00000064225
Eosinophil,Innate,Eosinophils,P2RY14,9934,ENSG00000174944
Eosinophil,Innate,Eosinophils,DEPDC5,9681,ENSG00000100150
Eosinophil,Innate,Eosinophils,GPR65,8477,ENSG00000140030
Eosinophil,Innate,Eosinophils,NR4A3,8013,ENSG00000119508
Eosinophil,Innate,Eosinophils,PDE6C,5146,ENSG00000095464
Eosinophil,Innate,Eosinophils,LRMP,4033,ENSG00000118308
Eosinophil,Innate,Eosinophils,IL5RA,3568,ENSG00000091181
Eosinophil,Innate,Eosinophils,GIPR,2696,ENSG00000010310
Eosinophil,Innate,Eosinophils,FOSB,2354,ENSG00000125740
Eosinophil,Innate,Eosinophils,GPR183,1880,ENSG00000169508
Eosinophil,Innate,Eosinophils,DACH1,1602,ENSG00000276644
Gamma delta T cell,Adaptive,T gamma delta,MEIS3P1,4213,ENSG00000179277
Gamma delta T cell,Adaptive,T gamma delta,LCORL,254251,ENSG00000178177
Gamma delta T cell,Adaptive,T gamma delta,KRT80,144501,ENSG00000167767
Gamma delta T cell,Adaptive,T gamma delta,C1orf54,79630,ENSG00000118292
Gamma delta T cell,Adaptive,T gamma delta,KLHL7,55975,ENSG00000122550
Gamma delta T cell,Adaptive,T gamma delta,KLRF1,51348,ENSG00000150045
Gamma delta T cell,Adaptive,T gamma delta,CD209,30835,ENSG00000090659
Gamma delta T cell,Adaptive,T gamma delta,DBNL,28988,ENSG00000136279
Gamma delta T cell,Adaptive,T gamma delta,CARD8,22900,ENSG00000105483
Gamma delta T cell,Adaptive,T gamma delta,BTN3A2,11118,ENSG00000186470
Gamma delta T cell,Adaptive,T gamma delta,MFAP3L,9848,ENSG00000198948
Gamma delta T cell,Adaptive,T gamma delta,MINPP1,9562,ENSG00000107789
Gamma delta T cell,Adaptive,T gamma delta,FADD,8772,ENSG00000168040
Gamma delta T cell,Adaptive,T gamma delta,CCL18,6362,ENSG00000275385
Gamma delta T cell,Adaptive,T gamma delta,CCL13,6357,ENSG00000181374
Gamma delta T cell,Adaptive,T gamma delta,RPS24,6229,ENSG00000138326
Gamma delta T cell,Adaptive,T gamma delta,RPS9,6203,ENSG00000170889
Gamma delta T cell,Adaptive,T gamma delta,RPS7,6201,ENSG00000171863
Gamma delta T cell,Adaptive,T gamma delta,MAPK7,5598,ENSG00000166484
Gamma delta T cell,Adaptive,T gamma delta,MPL,4352,ENSG00000117400
Gamma delta T cell,Adaptive,T gamma delta,LMNB1,4001,ENSG00000113368
Gamma delta T cell,Adaptive,T gamma delta,LGALS1,3956,ENSG00000100097
Gamma delta T cell,Adaptive,T gamma delta,LAMC1,3915,ENSG00000135862
Gamma delta T cell,Adaptive,T gamma delta,IL10RB,3588,ENSG00000243646
Gamma delta T cell,Adaptive,T gamma delta,FABP5,2171,ENSG00000164687
