Cell.type,hgnc_symbol,entrezgene_id,ensembl_gene_id,name
CD8 T cells,VAMP2,6844,ENSG00000220205,CD8T_pmid24138885
CD8 T cells,ZEB1,6935,ENSG00000148516,CD8T_pmid24138885
CD8 T cells,ZFP36L2,678,ENSG00000152518,CD8T_pmid24138885
CD8 T cells,ZNF22,7570,ENSG00000165512,CD8T_pmid24138885
CD8 T cells,ZNF609,23060,ENSG00000180357,CD8T_pmid24138885
CD8 T cells,ZNF91,7644,ENSG00000167232,CD8T_pmid24138885
Macrophages,APOE,348,ENSG00000130203,Macro_pmid24138885
Macrophages,ATG7,10533,ENSG00000197548,Macro_pmid24138885
Macrophages,BCAT1,586,ENSG00000060982,Macro_pmid24138885
Macrophages,CCL7,6354,ENSG00000108688,Macro_pmid24138885
Macrophages,CD163,9332,ENSG00000177575,Macro_pmid24138885
Macrophages,CD68,968,ENSG00000129226,Macro_pmid24138885
Macrophages,CD84,8832,ENSG00000066294,Macro_pmid24138885
Macrophages,CHI3L1,1116,ENSG00000133048,Macro_pmid24138885
Macrophages,CHIT1,1118,ENSG00000133063,Macro_pmid24138885
Macrophages,CLEC5A,23601,ENSG00000258227,Macro_pmid24138885
Macrophages,COL8A2,1296,ENSG00000171812,Macro_pmid24138885
Macrophages,COLEC12,81035,ENSG00000158270,Macro_pmid24138885
Macrophages,CTSK,1513,ENSG00000143387,Macro_pmid24138885
Macrophages,CXCL5,6374,ENSG00000163735,Macro_pmid24138885
Macrophages,CYBB,1536,ENSG00000165168,Macro_pmid24138885
Macrophages,DNASE2B,58511,ENSG00000137976,Macro_pmid24138885
Macrophages,EMP1,2012,ENSG00000134531,Macro_pmid24138885
Macrophages,FDX1,2230,ENSG00000137714,Macro_pmid24138885
Macrophages,FN1,2335,ENSG00000115414,Macro_pmid24138885
Macrophages,GM2A,2760,ENSG00000196743,Macro_pmid24138885
Macrophages,GPC4,2239,ENSG00000076716,Macro_pmid24138885
Macrophages,KAL1,3730,ENSG00000011201,Macro_pmid24138885
Macrophages,MARCO,8685,ENSG00000019169,Macro_pmid24138885
Macrophages,ME1,4199,ENSG00000065833,Macro_pmid24138885
Macrophages,MS4A4A,51338,ENSG00000110079,Macro_pmid24138885
Macrophages,MSR1,4481,ENSG00000038945,Macro_pmid24138885
Macrophages,PCOLCE2,26577,ENSG00000163710,Macro_pmid24138885
Macrophages,PTGDS,5730,ENSG00000107317,Macro_pmid24138885
Macrophages,RAI14,26064,ENSG00000039560,Macro_pmid24138885
Macrophages,SCARB2,950,ENSG00000138760,Macro_pmid24138885
Macrophages,SCG5,6447,ENSG00000166922,Macro_pmid24138885
Macrophages,SGMS1,259230,ENSG00000198964,Macro_pmid24138885
Macrophages,SULT1C2,6819,ENSG00000198203,Macro_pmid24138885
NK cells,ADARB1,104,ENSG00000197381,NK_pmid24138885
NK cells,ALDH1B1,219,ENSG00000137124,NK_pmid24138885
NK cells,APBB2,323,ENSG00000163697,NK_pmid24138885
NK cells,ATL2,64225,ENSG00000119787,NK_pmid24138885
NK cells,BCL2,596,ENSG00000171791,NK_pmid24138885
NK cells,CDC5L,988,ENSG00000096401,NK_pmid24138885
NK cells,FGF18,8817,ENSG00000156427,NK_pmid24138885
NK cells,FUT5,2527,ENSG00000130383,NK_pmid24138885
NK cells,FZR1,51343,ENSG00000105325,NK_pmid24138885
NK cells,GAGE2A,729447,ENSG00000189064,NK_pmid24138885
NK cells,IGFBP5,3488,ENSG00000115461,NK_pmid24138885
NK cells,KANK2,25959,ENSG00000197256,NK_pmid24138885
NK cells,LDB3,11155,ENSG00000122367,NK_pmid24138885
NK cells,MAPRE3,22924,ENSG00000084764,NK_pmid24138885
NK cells,MCM3AP,8888,ENSG00000160294,NK_pmid24138885
NK cells,MRC2,9902,ENSG00000011028,NK_pmid24138885
NK cells,NCR1,9437,ENSG00000189430,NK_pmid24138885
NK cells,PDLIM4,8572,ENSG00000131435,NK_pmid24138885
NK cells,PRX,57716,ENSG00000105227,NK_pmid24138885
NK cells,PSMD4,5710,ENSG00000159352,NK_pmid24138885
NK cells,SGMS1,259230,ENSG00000198964,NK_pmid24138885
NK cells,SLC30A5,64924,ENSG00000145740,NK_pmid24138885
NK cells,SMEK1,55671,ENSG00000100796,NK_pmid24138885
NK cells,SPN,6693,ENSG00000197471,NK_pmid24138885
NK cells,TBXA2R,6915,ENSG00000006638,NK_pmid24138885
NK cells,TCTN2,79867,ENSG00000168778,NK_pmid24138885
NK cells,TINAGL1,64129,ENSG00000142910,NK_pmid24138885
NK cells,TRPV6,55503,ENSG00000165125,NK_pmid24138885
NK cells,XCL1,6375,ENSG00000143184,NK_pmid24138885
NK cells,XCL2,6846,ENSG00000143185,NK_pmid24138885
NK cells,ZNF205,7755,ENSG00000122386,NK_pmid24138885
NK cells,ZNF528,84436,ENSG00000167555,NK_pmid24138885
NK cells,ZNF747,65988,ENSG00000169955,NK_pmid24138885
