fileName,targetName
ENCFF355WVE.bed.gz,HNRNPUL1
ENCFF890KEE.bed.gz,HNRNPL
ENCFF074EQM.bed.gz,DDX59
ENCFF546ZFM.bed.gz,MTPAP
ENCFF889CCS.bed.gz,GPKOW
ENCFF124YKO.bed.gz,KHDRBS1
ENCFF875QBF.bed.gz,GEMIN5
ENCFF391KVJ.bed.gz,UCHL5
ENCFF055TAZ.bed.gz,ZC3H11A
ENCFF130JJX.bed.gz,EIF3D
ENCFF241SUC.bed.gz,GTF2F1
ENCFF004IIT.bed.gz,TRA2A
ENCFF693EMF.bed.gz,SMNDC1
ENCFF061DTB.bed.gz,NKRF
ENCFF159VOF.bed.gz,U2AF2
ENCFF342PGS.bed.gz,HNRNPM
ENCFF890VLH.bed.gz,IGF2BP1
ENCFF928OEC.bed.gz,EIF3H
ENCFF014MZO.bed.gz,POLR2G
ENCFF764MPF.bed.gz,SUGP2
ENCFF400CFS.bed.gz,RBM5
ENCFF837ZOX.bed.gz,SLTM
ENCFF261SMW.bed.gz,DDX6
ENCFF977MKB.bed.gz,IGF2BP2
ENCFF878JOG.bed.gz,HNRNPM
ENCFF387ZAH.bed.gz,TIAL1
ENCFF926QBW.bed.gz,UTP18
ENCFF888SME.bed.gz,DDX52
ENCFF938JQE.bed.gz,WRN
ENCFF736YDH.bed.gz,APOBEC3C
ENCFF956PEQ.bed.gz,PABPC4
ENCFF975HKC.bed.gz,PABPN1
ENCFF336WDV.bed.gz,FUS
ENCFF358QSY.bed.gz,WDR43
ENCFF958EFT.bed.gz,PHF6
ENCFF800GPC.bed.gz,DDX21
ENCFF929AVT.bed.gz,ABCF1
ENCFF207UUG.bed.gz,ZC3H8
ENCFF777FHS.bed.gz,FUS
ENCFF149CJJ.bed.gz,FXR2
ENCFF565RQI.bed.gz,SSB
ENCFF969AOQ.bed.gz,PUM1
ENCFF514KIW.bed.gz,AATF
ENCFF955VYD.bed.gz,NIP7
ENCFF793EJK.bed.gz,ZNF800
ENCFF579NNP.bed.gz,ZNF800
ENCFF108TOJ.bed.gz,PCBP1
ENCFF934PXE.bed.gz,SAFB
ENCFF241KPE.bed.gz,SDAD1
ENCFF963CVD.bed.gz,G3BP1
ENCFF410XHF.bed.gz,HLTF
ENCFF788LMZ.bed.gz,STAU2
ENCFF937QJB.bed.gz,EXOSC5
ENCFF400KYS.bed.gz,AQR
ENCFF575BCP.bed.gz,AKAP1
ENCFF075TIW.bed.gz,YBX3
ENCFF159HMF.bed.gz,HNRNPC
ENCFF215XPR.bed.gz,WDR3
ENCFF930HHV.bed.gz,BCLAF1
ENCFF257KKQ.bed.gz,DDX52
ENCFF146YPF.bed.gz,DDX51
ENCFF075XTM.bed.gz,SDAD1
ENCFF485KCC.bed.gz,PRPF4
ENCFF151ZTH.bed.gz,AKAP1
ENCFF034YUT.bed.gz,FTO
ENCFF046VQV.bed.gz,MATR3
ENCFF092XHF.bed.gz,NIPBL
ENCFF324PNB.bed.gz,SSB
ENCFF431WWR.bed.gz,WDR43
ENCFF832JDM.bed.gz,UTP3
ENCFF901ABJ.bed.gz,SUPV3L1
ENCFF351RHN.bed.gz,AQR
ENCFF456SOS.bed.gz,UTP18
ENCFF146YIO.bed.gz,GRWD1
ENCFF553APP.bed.gz,KHSRP
ENCFF431FMQ.bed.gz,PCBP1
ENCFF242FDW.bed.gz,UPF1
ENCFF153CMF.bed.gz,CPEB4
ENCFF469SRC.bed.gz,SAFB
ENCFF534ONM.bed.gz,EIF3G
