barcode	files_size	analysis_id	aliquot_id	participant_id	sample_id	published	uploaded	modified
TCGA-A7-A26F-01B-04R-A22O-07	14352880339	4adf6d8c-f514-4e3e-8f16-b357548443f4	1B907925-B33C-4E4A-96E0-65F15B4712B9	3b7b9c1e-a84c-47ed-983c-9e4b00cbf01a	29619d1e-e8b4-411e-bbba-07f2cfb69e8a	12/7/2013	12/6/2013	12/7/2013
TCGA-A7-A26I-01A-11R-A169-07	9927801419	e6159aa0-d64b-4be0-94b4-557c5cc9828b	5610fa97-eac4-4306-aead-983ee6570baf	b2ecbc0f-2c30-4200-8d5e-7b95424bcadb	e2b02d95-df95-48ad-b26f-3eb15201969d	5/31/2012	5/31/2012	5/16/2013
TCGA-A7-A26I-01B-06R-A22O-07	4263789196	3d84f6bd-14f5-4ad5-85e2-fd9965289bae	E5949631-EBAF-4EC2-AAC8-B0A6FD51D946	b2ecbc0f-2c30-4200-8d5e-7b95424bcadb	db744038-c9e0-46c9-a38d-7220ad10f125	12/6/2013	12/6/2013	12/6/2013
TCGA-A7-A26I-01B-06R-A22O-07	16975790480	4b04c415-b11e-40ba-9df0-fe81081d0b27	E5949631-EBAF-4EC2-AAC8-B0A6FD51D946	b2ecbc0f-2c30-4200-8d5e-7b95424bcadb	db744038-c9e0-46c9-a38d-7220ad10f125	12/6/2013	12/6/2013	12/6/2013
TCGA-A7-A26I-01B-06R-A22O-07	9794359761	4c02f059-59bb-457b-a7bb-ed12fc4bc90f	E5949631-EBAF-4EC2-AAC8-B0A6FD51D946	b2ecbc0f-2c30-4200-8d5e-7b95424bcadb	db744038-c9e0-46c9-a38d-7220ad10f125	12/6/2013	12/6/2013	12/6/2013
TCGA-A7-A26J-01A-11R-A169-07	9550912996	e927a088-a7f2-4b2a-bc07-fe4e2ee7910e	ed40061b-ad15-4f91-94ae-ae276394f42d	6cb6f179-defd-4661-af0a-c353b74c0c49	31a140ce-bcb7-46b4-8105-626c9db1e183	5/16/2012	5/16/2012	5/16/2013
TCGA-A7-A26J-01A-11R-A277-07	8085087683	566b5ae2-e552-4a6a-9f93-5b6adfc56f68	00683b30-d386-48a8-ad29-4f4698864c66	6cb6f179-defd-4661-af0a-c353b74c0c49	31a140ce-bcb7-46b4-8105-626c9db1e183	1/13/2014	1/13/2014	1/13/2014
TCGA-AC-A2QH-01A-11R-A18M-07	3123582111	a49620a4-f921-451d-902e-b0b0aa7a7a45	d848ad65-9261-4854-a6bd-e76484c6a337	67c5f371-3fa9-47c5-8b15-c2dd9acc8519	fd735dc5-2ec3-43bd-b1b1-8fa811be0633	8/2/2012	8/2/2012	5/16/2013
TCGA-AC-A2QH-01B-04R-A22O-07	14348282461	26866c62-a2d0-4aa8-be11-fb1acdf8e6a2	EEEF0334-DE2A-4206-84AD-CD18E349635E	67c5f371-3fa9-47c5-8b15-c2dd9acc8519	11f78e42-43e5-4bd5-9f88-e5a195aece83	12/6/2013	12/6/2013	12/6/2013
TCGA-AC-A2QH-01B-04R-A22O-07	10818648838	b3421bba-6497-4af3-93cc-8178e4d4bdfd	EEEF0334-DE2A-4206-84AD-CD18E349635E	67c5f371-3fa9-47c5-8b15-c2dd9acc8519	11f78e42-43e5-4bd5-9f88-e5a195aece83	12/6/2013	12/6/2013	12/6/2013
TCGA-AC-A2QH-01B-04R-A22O-07	8338241253	d163510d-9619-4972-94ed-36db50a95dc5	EEEF0334-DE2A-4206-84AD-CD18E349635E	67c5f371-3fa9-47c5-8b15-c2dd9acc8519	11f78e42-43e5-4bd5-9f88-e5a195aece83	12/6/2013	12/6/2013	12/6/2013
TCGA-AC-A3OD-01A-11R-A21T-07	12443182997	76b69154-6d52-4ee1-998e-5af056ce2b6a	7C521EF7-4ADF-46EF-ADE0-088CBE02223D	f2622cdb-ac92-42b3-a1ca-67e133c3dd4a	42c7e92b-6820-4562-9e32-a424a99a6cba	12/23/2012	12/23/2012	5/16/2013
TCGA-AC-A3OD-01B-06R-A22O-07	8380892657	1d5f44b5-6913-4de6-80d8-b4c16ce448ee	89A6D94D-59FC-45AA-859A-3B24E6691FE8	f2622cdb-ac92-42b3-a1ca-67e133c3dd4a	18140097-dcf9-4882-baa9-5f6c93585c4b	12/6/2013	12/6/2013	12/6/2013
TCGA-AC-A3OD-01B-06R-A22O-07	18165188105	45b71cc0-b511-46d8-b5ff-b60db6c95233	89A6D94D-59FC-45AA-859A-3B24E6691FE8	f2622cdb-ac92-42b3-a1ca-67e133c3dd4a	18140097-dcf9-4882-baa9-5f6c93585c4b	12/6/2013	12/6/2013	12/6/2013
TCGA-AC-A3OD-01B-06R-A22O-07	11733673933	9b056273-f976-49d5-b239-82ab89ac2429	89A6D94D-59FC-45AA-859A-3B24E6691FE8	f2622cdb-ac92-42b3-a1ca-67e133c3dd4a	18140097-dcf9-4882-baa9-5f6c93585c4b	12/6/2013	12/6/2013	12/6/2013
TCGA-AC-A3QQ-01A-11R-A22K-07	5799070655	0d21135d-e301-4b67-8842-31031ad2d6e4	bf9ca847-f30f-4dcf-bb91-a483be8db666	95cef916-5545-455b-920c-773a54fc7676	1f617c60-d09c-4de3-9973-cf655bea3046	4/27/2013	4/27/2013	5/16/2013
TCGA-AC-A3QQ-01B-06R-A22O-07	8928133568	8c087ba9-f37e-46aa-bd1b-ba43cd5a746b	40263202-5826-4059-B7F4-56B1BE17B65E	95cef916-5545-455b-920c-773a54fc7676	e05d13a2-8613-47d8-966c-e02544c4261f	12/6/2013	12/6/2013	12/6/2013
TCGA-AC-A3QQ-01B-06R-A22O-07	4836934905	93e0d0e9-4ff1-416d-875b-6a38b95a180e	40263202-5826-4059-B7F4-56B1BE17B65E	95cef916-5545-455b-920c-773a54fc7676	e05d13a2-8613-47d8-966c-e02544c4261f	12/6/2013	12/6/2013	12/6/2013
