Run	Sample	tissue
SRR8613814	FUSCCTNBC495	Primary_breast_tumor_tissue
SRR8518122	FUSCCTNBC248	Primary_breast_tumor_tissue
SRR8518123	FUSCCTNBC182	Primary_breast_tumor_tissue
SRR8518124	FUSCCTNBC203	Primary_breast_tumor_tissue
SRR8518125	FUSCCTNBC202	Primary_breast_tumor_tissue
SRR8518126	FUSCCTNBC252	Primary_breast_tumor_tissue
SRR8518127	FUSCCTNBC187	Primary_breast_tumor_tissue
SRR8518128	FUSCCTNBC303	Primary_breast_tumor_tissue
SRR8518129	FUSCCTNBC247	Primary_breast_tumor_tissue
SRR8518130	FUSCCTNBC140	Primary_breast_tumor_tissue
SRR8518131	FUSCCTNBC140	Paired_normal_breast_tissue
SRR8518132	FUSCCTNBC229	Paired_normal_breast_tissue
SRR8518133	FUSCCTNBC179	Primary_breast_tumor_tissue
SRR8518134	FUSCCTNBC011	Paired_normal_breast_tissue
SRR8518135	FUSCCTNBC229	Primary_breast_tumor_tissue
SRR8518136	FUSCCTNBC179	Paired_normal_breast_tissue
SRR8518137	FUSCCTNBC011	Primary_breast_tumor_tissue
SRR8518138	FUSCCTNBC285	Primary_breast_tumor_tissue
SRR8518139	FUSCCTNBC131	Primary_breast_tumor_tissue
SRR8518140	FUSCCTNBC041	Paired_normal_breast_tissue
SRR8518141	FUSCCTNBC041	Primary_breast_tumor_tissue
SRR8518142	FUSCCTNBC036	Paired_normal_breast_tissue
SRR8518143	FUSCCTNBC036	Primary_breast_tumor_tissue
SRR8518144	FUSCCTNBC102	Primary_breast_tumor_tissue
SRR8518145	FUSCCTNBC058	Primary_breast_tumor_tissue
SRR8518146	FUSCCTNBC197	Primary_breast_tumor_tissue
SRR8518147	FUSCCTNBC176	Paired_normal_breast_tissue
SRR8518148	FUSCCTNBC103	Paired_normal_breast_tissue
SRR8518149	FUSCCTNBC170	Primary_breast_tumor_tissue
SRR8518150	FUSCCTNBC045	Paired_normal_breast_tissue
SRR8518151	FUSCCTNBC367	Primary_breast_tumor_tissue
SRR8518152	FUSCCTNBC359	Primary_breast_tumor_tissue
SRR8518153	FUSCCTNBC196	Paired_normal_breast_tissue
SRR8518154	FUSCCTNBC330	Primary_breast_tumor_tissue
SRR8518155	FUSCCTNBC329	Primary_breast_tumor_tissue
SRR8518156	FUSCCTNBC339	Primary_breast_tumor_tissue
SRR8518157	FUSCCTNBC333	Primary_breast_tumor_tissue
SRR8518158	FUSCCTNBC119	Primary_breast_tumor_tissue
SRR8518159	FUSCCTNBC340	Primary_breast_tumor_tissue
SRR8518160	FUSCCTNBC354	Primary_breast_tumor_tissue
SRR8518161	FUSCCTNBC352	Primary_breast_tumor_tissue
SRR8518162	FUSCCTNBC238	Primary_breast_tumor_tissue
SRR8518163	FUSCCTNBC081	Primary_breast_tumor_tissue
SRR8518164	FUSCCTNBC261	Primary_breast_tumor_tissue
SRR8518165	FUSCCTNBC028	Primary_breast_tumor_tissue
SRR8518166	FUSCCTNBC232	Primary_breast_tumor_tissue
SRR8518167	FUSCCTNBC226	Primary_breast_tumor_tissue
SRR8518168	FUSCCTNBC227	Primary_breast_tumor_tissue
SRR8518169	FUSCCTNBC216	Primary_breast_tumor_tissue
SRR8518170	FUSCCTNBC225	Primary_breast_tumor_tissue
SRR8518171	FUSCCTNBC212	Primary_breast_tumor_tissue
SRR8518172	FUSCCTNBC214	Primary_breast_tumor_tissue
SRR8518173	FUSCCTNBC208	Primary_breast_tumor_tissue
SRR8518174	FUSCCTNBC210	Primary_breast_tumor_tissue
SRR8518175	FUSCCTNBC335	Primary_breast_tumor_tissue
SRR8518176	FUSCCTNBC030	Paired_normal_breast_tissue
SRR8518177	FUSCCTNBC246	Primary_breast_tumor_tissue
SRR8518178	FUSCCTNBC334	Primary_breast_tumor_tissue
SRR8518179	FUSCCTNBC213	Primary_breast_tumor_tissue
SRR8518180	FUSCCTNBC236	Primary_breast_tumor_tissue
SRR8518181	FUSCCTNBC198	Primary_breast_tumor_tissue
SRR8518182	FUSCCTNBC016	Primary_breast_tumor_tissue
SRR8518183	FUSCCTNBC102	Paired_normal_breast_tissue
SRR8518184	FUSCCTNBC217	Primary_breast_tumor_tissue
SRR8518185	FUSCCTNBC263	Primary_breast_tumor_tissue
SRR8518186	FUSCCTNBC044	Primary_breast_tumor_tissue
SRR8518187	FUSCCTNBC006	Primary_breast_tumor_tissue
SRR8518188	FUSCCTNBC195	Primary_breast_tumor_tissue
SRR8518189	FUSCCTNBC194	Primary_breast_tumor_tissue
SRR8518190	FUSCCTNBC191	Primary_breast_tumor_tissue
SRR8518191	FUSCCTNBC188	Primary_breast_tumor_tissue
SRR8518192	FUSCCTNBC177	Primary_breast_tumor_tissue
SRR8518193	FUSCCTNBC174	Primary_breast_tumor_tissue
SRR8518194	FUSCCTNBC068	Primary_breast_tumor_tissue
SRR8518195	FUSCCTNBC057	Primary_breast_tumor_tissue
SRR8518196	FUSCCTNBC048	Primary_breast_tumor_tissue
SRR8518197	FUSCCTNBC031	Primary_breast_tumor_tissue
SRR8518198	FUSCCTNBC178	Primary_breast_tumor_tissue
SRR8518199	FUSCCTNBC027	Primary_breast_tumor_tissue
SRR8518200	FUSCCTNBC038	Primary_breast_tumor_tissue
SRR8518201	FUSCCTNBC039	Primary_breast_tumor_tissue
SRR8518202	FUSCCTNBC033	Primary_breast_tumor_tissue
SRR8518203	FUSCCTNBC034	Primary_breast_tumor_tissue
SRR8518204	FUSCCTNBC040	Primary_breast_tumor_tissue
SRR8518205	FUSCCTNBC130	Primary_breast_tumor_tissue
SRR8518206	FUSCCTNBC215	Paired_normal_breast_tissue
SRR8518207	FUSCCTNBC309	Paired_normal_breast_tissue
SRR8518208	FUSCCTNBC241	Primary_breast_tumor_tissue
SRR8518209	FUSCCTNBC245	Primary_breast_tumor_tissue
SRR8518210	FUSCCTNBC204	Primary_breast_tumor_tissue
SRR8518211	FUSCCTNBC121	Primary_breast_tumor_tissue
SRR8518212	FUSCCTNBC164	Primary_breast_tumor_tissue
SRR8518213	FUSCCTNBC183	Primary_breast_tumor_tissue
SRR8518214	FUSCCTNBC220	Primary_breast_tumor_tissue
SRR8518215	FUSCCTNBC186	Primary_breast_tumor_tissue
SRR8518216	FUSCCTNBC268	Primary_breast_tumor_tissue
SRR8518217	FUSCCTNBC003	Paired_normal_breast_tissue
SRR8518218	FUSCCTNBC282	Paired_normal_breast_tissue
SRR8518219	FUSCCTNBC012	Primary_breast_tumor_tissue
SRR8518220	FUSCCTNBC173	Primary_breast_tumor_tissue
SRR8518221	FUSCCTNBC159	Paired_normal_breast_tissue
SRR8518222	FUSCCTNBC159	Primary_breast_tumor_tissue
SRR8518223	FUSCCTNBC079	Paired_normal_breast_tissue
SRR8518224	FUSCCTNBC068	Paired_normal_breast_tissue
SRR8518225	FUSCCTNBC050	Primary_breast_tumor_tissue
SRR8518226	FUSCCTNBC048	Paired_normal_breast_tissue
SRR8518227	FUSCCTNBC008	Paired_normal_breast_tissue
SRR8518228	FUSCCTNBC309	Primary_breast_tumor_tissue
SRR8518229	FUSCCTNBC357	Primary_breast_tumor_tissue
SRR8518230	FUSCCTNBC138	Primary_breast_tumor_tissue
SRR8518231	FUSCCTNBC136	Primary_breast_tumor_tissue
SRR8518232	FUSCCTNBC271	Primary_breast_tumor_tissue
SRR8518233	FUSCCTNBC243	Primary_breast_tumor_tissue
SRR8518234	FUSCCTNBC335	Paired_normal_breast_tissue
SRR8518235	FUSCCTNBC343	Primary_breast_tumor_tissue
SRR8518236	FUSCCTNBC079	Primary_breast_tumor_tissue
SRR8518237	FUSCCTNBC343	Paired_normal_breast_tissue
SRR8518238	FUSCCTNBC088	Primary_breast_tumor_tissue
SRR8518239	FUSCCTNBC256	Primary_breast_tumor_tissue
SRR8518240	FUSCCTNBC258	Primary_breast_tumor_tissue
SRR8518241	FUSCCTNBC025	Primary_breast_tumor_tissue
SRR8518242	FUSCCTNBC026	Primary_breast_tumor_tissue
SRR8518243	FUSCCTNBC239	Primary_breast_tumor_tissue
SRR8518244	FUSCCTNBC240	Primary_breast_tumor_tissue
SRR8518245	FUSCCTNBC015	Primary_breast_tumor_tissue
SRR8518246	FUSCCTNBC018	Primary_breast_tumor_tissue
SRR8518247	FUSCCTNBC019	Primary_breast_tumor_tissue
SRR8518248	FUSCCTNBC021	Primary_breast_tumor_tissue
SRR8518249	FUSCCTNBC442	Paired_normal_breast_tissue
SRR8518250	FUSCCTNBC351	Paired_normal_breast_tissue
SRR8518251	FUSCCTNBC374	Paired_normal_breast_tissue
SRR8518252	FUSCCTNBC001	Primary_breast_tumor_tissue
SRR8518253	FUSCCTNBC380	Primary_breast_tumor_tissue
SRR8518254	FUSCCTNBC166	Paired_normal_breast_tissue
SRR8518255	FUSCCTNBC166	Primary_breast_tumor_tissue
SRR8518256	FUSCCTNBC149	Paired_normal_breast_tissue
SRR8518257	FUSCCTNBC149	Primary_breast_tumor_tissue
SRR8518258	FUSCCTNBC260	Primary_breast_tumor_tissue
SRR8518259	FUSCCTNBC154	Paired_normal_breast_tissue
SRR8518260	FUSCCTNBC262	Primary_breast_tumor_tissue
SRR8518261	FUSCCTNBC181	Primary_breast_tumor_tissue
SRR8518262	FUSCCTNBC274	Primary_breast_tumor_tissue
SRR8518263	FUSCCTNBC150	Primary_breast_tumor_tissue
SRR8518264	FUSCCTNBC148	Primary_breast_tumor_tissue
SRR8518265	FUSCCTNBC273	Primary_breast_tumor_tissue
SRR8518266	FUSCCTNBC272	Primary_breast_tumor_tissue
SRR8518267	FUSCCTNBC384	Paired_normal_breast_tissue
SRR8518268	FUSCCTNBC084	Primary_breast_tumor_tissue
SRR8518269	FUSCCTNBC125	Paired_normal_breast_tissue
SRR8518270	FUSCCTNBC116	Primary_breast_tumor_tissue
SRR8518271	FUSCCTNBC116	Paired_normal_breast_tissue
SRR8518272	FUSCCTNBC113	Primary_breast_tumor_tissue
SRR8518273	FUSCCTNBC013	Paired_normal_breast_tissue
SRR8518274	FUSCCTNBC129	Primary_breast_tumor_tissue
SRR8518275	FUSCCTNBC130	Paired_normal_breast_tissue
SRR8518276	FUSCCTNBC344	Primary_breast_tumor_tissue
SRR8518277	FUSCCTNBC231	Primary_breast_tumor_tissue
SRR8518278	FUSCCTNBC242	Paired_normal_breast_tissue
SRR8518279	FUSCCTNBC129	Paired_normal_breast_tissue
SRR8518280	FUSCCTNBC050	Paired_normal_breast_tissue
SRR8518281	FUSCCTNBC087	Paired_normal_breast_tissue
SRR8518282	FUSCCTNBC095	Paired_normal_breast_tissue
SRR8518283	FUSCCTNBC097	Paired_normal_breast_tissue
SRR8518284	FUSCCTNBC080	Paired_normal_breast_tissue
SRR8518285	FUSCCTNBC005	Primary_breast_tumor_tissue
SRR8518286	FUSCCTNBC008	Primary_breast_tumor_tissue
SRR8518287	FUSCCTNBC080	Primary_breast_tumor_tissue
SRR8518288	FUSCCTNBC087	Primary_breast_tumor_tissue
SRR8518289	FUSCCTNBC017	Primary_breast_tumor_tissue
SRR8518290	FUSCCTNBC155	Primary_breast_tumor_tissue
SRR8518291	FUSCCTNBC123	Primary_breast_tumor_tissue
SRR8518292	FUSCCTNBC103	Primary_breast_tumor_tissue
SRR8518293	FUSCCTNBC113	Paired_normal_breast_tissue
SRR8518294	FUSCCTNBC154	Primary_breast_tumor_tissue
SRR8518295	FUSCCTNBC295	Primary_breast_tumor_tissue
SRR8518296	FUSCCTNBC306	Primary_breast_tumor_tissue
SRR8518297	FUSCCTNBC110	Primary_breast_tumor_tissue
SRR8518298	FUSCCTNBC107	Primary_breast_tumor_tissue
SRR8518299	FUSCCTNBC100	Primary_breast_tumor_tissue
SRR8518300	FUSCCTNBC118	Primary_breast_tumor_tissue
SRR8518301	FUSCCTNBC085	Primary_breast_tumor_tissue
SRR8518302	FUSCCTNBC296	Primary_breast_tumor_tissue
SRR8518303	FUSCCTNBC370	Primary_breast_tumor_tissue
SRR8518304	FUSCCTNBC016	Paired_normal_breast_tissue
SRR8518305	FUSCCTNBC215	Primary_breast_tumor_tissue
SRR8518306	FUSCCTNBC023	Paired_normal_breast_tissue
SRR8518307	FUSCCTNBC196	Primary_breast_tumor_tissue
SRR8518308	FUSCCTNBC298	Primary_breast_tumor_tissue
SRR8518309	FUSCCTNBC380	Paired_normal_breast_tissue
SRR8518310	FUSCCTNBC233	Paired_normal_breast_tissue
SRR8518311	FUSCCTNBC078	Primary_breast_tumor_tissue
SRR8518312	FUSCCTNBC076	Primary_breast_tumor_tissue
SRR8518313	FUSCCTNBC046	Primary_breast_tumor_tissue
SRR8518314	FUSCCTNBC201	Primary_breast_tumor_tissue
SRR8518315	FUSCCTNBC009	Primary_breast_tumor_tissue
SRR8518316	FUSCCTNBC004	Primary_breast_tumor_tissue
SRR8518317	FUSCCTNBC134	Paired_normal_breast_tissue
SRR8518318	FUSCCTNBC168	Paired_normal_breast_tissue
SRR8518319	FUSCCTNBC017	Paired_normal_breast_tissue
SRR8518320	FUSCCTNBC137	Paired_normal_breast_tissue
SRR8518321	FUSCCTNBC178	Paired_normal_breast_tissue
SRR8518322	FUSCCTNBC155	Paired_normal_breast_tissue
SRR8518323	FUSCCTNBC137	Primary_breast_tumor_tissue
SRR8518324	FUSCCTNBC134	Primary_breast_tumor_tissue
SRR8518325	FUSCCTNBC145	Primary_breast_tumor_tissue
SRR8518326	FUSCCTNBC143	Primary_breast_tumor_tissue
SRR8518327	FUSCCTNBC147	Primary_breast_tumor_tissue
SRR8518328	FUSCCTNBC146	Primary_breast_tumor_tissue
SRR8518329	FUSCCTNBC237	Primary_breast_tumor_tissue
SRR8518330	FUSCCTNBC234	Primary_breast_tumor_tissue
SRR8518331	FUSCCTNBC142	Primary_breast_tumor_tissue
SRR8518332	FUSCCTNBC135	Primary_breast_tumor_tissue
SRR8518333	FUSCCTNBC236	Paired_normal_breast_tissue
SRR8518334	FUSCCTNBC213	Paired_normal_breast_tissue
SRR8518335	FUSCCTNBC099	Paired_normal_breast_tissue
SRR8518336	FUSCCTNBC198	Paired_normal_breast_tissue
SRR8518337	FUSCCTNBC097	Primary_breast_tumor_tissue
SRR8518338	FUSCCTNBC095	Primary_breast_tumor_tissue
SRR8518339	FUSCCTNBC005	Paired_normal_breast_tissue
SRR8518340	FUSCCTNBC099	Primary_breast_tumor_tissue
SRR8518341	FUSCCTNBC298	Paired_normal_breast_tissue
SRR8518342	FUSCCTNBC297	Primary_breast_tumor_tissue
SRR8518343	FUSCCTNBC289	Primary_breast_tumor_tissue
SRR8518344	FUSCCTNBC297	Paired_normal_breast_tissue
SRR8518345	FUSCCTNBC086	Primary_breast_tumor_tissue
SRR8518346	FUSCCTNBC042	Paired_normal_breast_tissue
SRR8518347	FUSCCTNBC370	Paired_normal_breast_tissue
SRR8518348	FUSCCTNBC289	Paired_normal_breast_tissue
SRR8518349	FUSCCTNBC300	Primary_breast_tumor_tissue
SRR8518350	FUSCCTNBC269	Primary_breast_tumor_tissue
SRR8518351	FUSCCTNBC257	Primary_breast_tumor_tissue
SRR8518352	FUSCCTNBC257	Paired_normal_breast_tissue
SRR8518353	FUSCCTNBC056	Primary_breast_tumor_tissue
SRR8518354	FUSCCTNBC435	Primary_breast_tumor_tissue
SRR8518355	FUSCCTNBC249	Paired_normal_breast_tissue
SRR8518356	FUSCCTNBC032	Primary_breast_tumor_tissue
SRR8518357	FUSCCTNBC249	Primary_breast_tumor_tissue
SRR8518358	FUSCCTNBC435	Paired_normal_breast_tissue
SRR8518359	FUSCCTNBC186	Paired_normal_breast_tissue
SRR8518360	FUSCCTNBC184	Primary_breast_tumor_tissue
SRR8518361	FUSCCTNBC047	Primary_breast_tumor_tissue
SRR8518362	FUSCCTNBC284	Primary_breast_tumor_tissue
SRR8518363	FUSCCTNBC441	Paired_normal_breast_tissue
SRR8518364	FUSCCTNBC266	Paired_normal_breast_tissue
SRR8518365	FUSCCTNBC292	Primary_breast_tumor_tissue
SRR8518366	FUSCCTNBC044	Paired_normal_breast_tissue
SRR8518367	FUSCCTNBC443	Primary_breast_tumor_tissue
SRR8518368	FUSCCTNBC383	Primary_breast_tumor_tissue
SRR8518369	FUSCCTNBC376	Primary_breast_tumor_tissue
SRR8518370	FUSCCTNBC204	Paired_normal_breast_tissue
SRR8518371	FUSCCTNBC246	Paired_normal_breast_tissue
SRR8518372	FUSCCTNBC123	Paired_normal_breast_tissue
SRR8518373	FUSCCTNBC268	Paired_normal_breast_tissue
SRR8518374	FUSCCTNBC171	Primary_breast_tumor_tissue
SRR8518375	FUSCCTNBC023	Primary_breast_tumor_tissue
SRR8518376	FUSCCTNBC205	Primary_breast_tumor_tissue
SRR8518377	FUSCCTNBC065	Primary_breast_tumor_tissue
SRR8518378	FUSCCTNBC205	Paired_normal_breast_tissue
SRR8518379	FUSCCTNBC183	Paired_normal_breast_tissue
SRR8518380	FUSCCTNBC125	Primary_breast_tumor_tissue
SRR8518381	FUSCCTNBC356	Primary_breast_tumor_tissue
SRR8518382	FUSCCTNBC255	Paired_normal_breast_tissue
SRR8518383	FUSCCTNBC072	Primary_breast_tumor_tissue
SRR8518384	FUSCCTNBC073	Primary_breast_tumor_tissue
SRR8518385	FUSCCTNBC066	Primary_breast_tumor_tissue
SRR8518386	FUSCCTNBC070	Primary_breast_tumor_tissue
SRR8518387	FUSCCTNBC264	Primary_breast_tumor_tissue
SRR8518388	FUSCCTNBC293	Primary_breast_tumor_tissue
SRR8518389	FUSCCTNBC295	Paired_normal_breast_tissue
SRR8518390	FUSCCTNBC266	Primary_breast_tumor_tissue
SRR8518391	FUSCCTNBC310	Primary_breast_tumor_tissue
SRR8518393	FUSCCTNBC283	Primary_breast_tumor_tissue
SRR8518394	FUSCCTNBC283	Paired_normal_breast_tissue
SRR8518395	FUSCCTNBC290	Primary_breast_tumor_tissue
SRR8518396	FUSCCTNBC291	Primary_breast_tumor_tissue
SRR8518397	FUSCCTNBC052	Primary_breast_tumor_tissue
SRR8518398	FUSCCTNBC288	Primary_breast_tumor_tissue
SRR8518399	FUSCCTNBC282	Primary_breast_tumor_tissue
SRR8518400	FUSCCTNBC030	Primary_breast_tumor_tissue
SRR8518401	FUSCCTNBC003	Primary_breast_tumor_tissue
SRR8518402	FUSCCTNBC334	Paired_normal_breast_tissue
SRR8518403	FUSCCTNBC442	Primary_breast_tumor_tissue
SRR8518404	FUSCCTNBC441	Primary_breast_tumor_tissue
SRR8518405	FUSCCTNBC374	Primary_breast_tumor_tissue
SRR8518406	FUSCCTNBC351	Primary_breast_tumor_tissue
SRR8518407	FUSCCTNBC180	Primary_breast_tumor_tissue
SRR8518408	FUSCCTNBC264	Paired_normal_breast_tissue
SRR8518409	FUSCCTNBC242	Primary_breast_tumor_tissue
SRR8518410	FUSCCTNBC176	Primary_breast_tumor_tissue
SRR8518411	FUSCCTNBC445	Primary_breast_tumor_tissue
SRR8518412	FUSCCTNBC167	Primary_breast_tumor_tissue
SRR8518413	FUSCCTNBC169	Primary_breast_tumor_tissue
SRR8518414	FUSCCTNBC090	Primary_breast_tumor_tissue
SRR8518415	FUSCCTNBC093	Primary_breast_tumor_tissue
SRR8518416	FUSCCTNBC096	Primary_breast_tumor_tissue
SRR8518417	FUSCCTNBC156	Primary_breast_tumor_tissue
SRR8518418	FUSCCTNBC158	Primary_breast_tumor_tissue
SRR8518419	FUSCCTNBC161	Primary_breast_tumor_tissue
SRR8518420	FUSCCTNBC163	Primary_breast_tumor_tissue
SRR8518421	FUSCCTNBC165	Primary_breast_tumor_tissue
SRR8518422	FUSCCTNBC057	Paired_normal_breast_tissue
SRR8518423	FUSCCTNBC321	Primary_breast_tumor_tissue
SRR8518424	FUSCCTNBC326	Primary_breast_tumor_tissue
SRR8518425	FUSCCTNBC307	Primary_breast_tumor_tissue
SRR8518426	FUSCCTNBC312	Primary_breast_tumor_tissue
SRR8518427	FUSCCTNBC301	Primary_breast_tumor_tissue
SRR8518428	FUSCCTNBC305	Primary_breast_tumor_tissue
SRR8518429	FUSCCTNBC317	Primary_breast_tumor_tissue
SRR8518430	FUSCCTNBC320	Primary_breast_tumor_tissue
SRR8518431	FUSCCTNBC313	Primary_breast_tumor_tissue
SRR8518432	FUSCCTNBC032	Paired_normal_breast_tissue
SRR8518433	FUSCCTNBC173	Paired_normal_breast_tissue
SRR8518434	FUSCCTNBC348	Paired_normal_breast_tissue
